Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																				
Дата голосования: 04.12.2011																																				
																																				
Наименование Избирательной комиссии:    Рамонская																																				
																																				
Сводная таблица результатов выборов																																				
																																				
		Сумма	УИК №3201	УИК №3202	УИК №3203	УИК №3204	УИК №3205	УИК №3206	УИК №3207	УИК №3208	УИК №3209	УИК №3210	УИК №3211	УИК №3212	УИК №3213	УИК №3214	УИК №3215	УИК №3216	УИК №3217	УИК №3218	УИК №3219	УИК №3220	УИК №3221	УИК №3222	УИК №3223	УИК №3224	УИК №3225	УИК №3226	УИК №3227	УИК №3228	УИК №3229					
1	"Число избирателей, внесенных в список избирателей"	26431	2866	1928	1669	368	794	1266	2284	1075	1308	318	720	632	373	370	215	287	954	412	262	2123	214	169	635	661	363	784	462	2355	564					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	23910	2200	1600	1500	330	750	1100	1850	850	1100	280	700	630	350	350	200	250	900	400	240	2150	220	180	580	650	350	750	450	2300	700					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	15911	1804	1298	1276	246	435	540	1375	535	769	180	445	354	195	238	126	103	467	251	174	1434	141	106	315	298	213	427	220	1460	486					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	3462	293	160	198	50	94	214	112	154	144	57	107	96	57	85	47	123	103	44	53	230	54	24	195	149	81	268	128	142	0					
6	Число погашенных избирательных бюллетеней	4537	103	142	26	34	221	346	363	161	187	43	148	180	98	27	27	24	330	105	13	486	25	50	70	203	56	55	102	698	214					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3462	293	160	198	50	94	214	112	154	144	57	107	96	57	85	47	123	103	44	53	230	54	24	195	149	81	268	128	142	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	15901	1804	1296	1275	246	435	540	1375	535	769	180	445	354	194	238	126	103	467	251	174	1430	141	106	315	298	213	427	220	1458	486					
9	Число недействительных избирательных бюллетеней	316	22	11	8	5	7	7	10	16	11	6	92	6	5	4	2	3	11	11	2	29	1	1	9	9	2	2	0	15	9					
10	Число действительных избирательных бюллетеней	19047	2075	1445	1465	291	522	747	1477	673	902	231	460	444	246	319	171	223	559	284	225	1631	194	129	501	438	292	693	348	1585	477					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	445	40	15	15	10	25	25	37	15	16	5	22	15	5	13	10	10	13	10	10	25	10	10	15	10	10	15	10	29	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	371	38	15	11	5	22	24	37	11	16	5	22	11	4	10	7	10	12	5	8	21	4	3	4	10	8	13	10	25	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	480	29	17	14	15	11	17	10	73	6	6	4	1	4	8	3	11	5	6	2	11	3	1	4	0	1	10	1	36	171					
14	Число погашенных неиспользованных открепительных удостоверений	74	2	0	4	5	3	1	0	4	0	0	0	4	1	3	3	0	1	5	2	4	6	7	11	0	2	2	0	4	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	5	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0					
