Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва														
Дата голосования: 02.12.2007														
														
Наименование Избирательной комиссии:    Краснобродская городская														
														
Сводная таблица результатов выборов														
														
		Сумма	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422					
1	"Число избирателей, внесенных в списки избирателей"	12192	2287	2118	2625	2588	904	833	837					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	12000	2150	2100	2650	2600	900	800	800					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	9759	1896	1740	2118	1970	668	659	708					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	340	85	71	48	59	30	30	17					
6	Число погашенных избирательных бюллетеней	1901	169	289	484	571	202	111	75					
7	Число избирательных бюллетеней в переносных ящиках для голосования	340	85	71	48	59	30	30	17					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	9759	1896	1740	2118	1970	668	659	708					
9	Число недействительных избирательных бюллетеней	202	37	39	52	71	3	0	0					
10	Число действительных избирательных бюллетеней	9897	1944	1772	2114	1958	695	689	725					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	397	77	80	80	100	20	20	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	144	31	35	37	25	4	6	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	92	24	16	12	11	5	15	9					
14	Число погашенных неиспользованных открепительных удостоверений	253	46	45	43	75	16	14	14					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	3	2	0	1	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0					
														
18	1.Политическая партия «Аграрная партия России»	101	17	14	36	16	6	3	9					
		1.00%	0.86%	0.77%	1.66%	0.79%	0.86%	0.44%	1.24%					
19	2.Всероссийская политическая партия «Гражданская Сила»	31	7	5	6	6	2	2	3					
		0.31%	0.35%	0.28%	0.28%	0.30%	0.29%	0.29%	0.41%					
20	3.Политическая партия «Демократическая партия России»	13	3	6	2	0	0	1	1					
		0.13%	0.15%	0.33%	0.09%	0.00%	0.00%	0.15%	0.14%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	622	119	105	121	154	39	51	33					
		6.16%	6.01%	5.80%	5.59%	7.59%	5.59%	7.40%	4.55%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	16	6	3	3	3	0	1	0					
		0.16%	0.30%	0.17%	0.14%	0.15%	0.00%	0.15%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	15	3	1	2	6	2	0	1					
		0.15%	0.15%	0.06%	0.09%	0.30%	0.29%	0.00%	0.14%					
24	7.Политическая партия «Либерально-демократическая партия России»	701	143	129	199	134	31	28	37					
		6.94%	7.22%	7.12%	9.19%	6.60%	4.44%	4.06%	5.10%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	305	68	72	67	62	13	19	4					
		3.02%	3.43%	3.98%	3.09%	3.06%	1.86%	2.76%	0.55%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	33	9	5	10	5	1	3	0					
		0.33%	0.45%	0.28%	0.46%	0.25%	0.14%	0.44%	0.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	8025	1561	1427	1658	1565	599	579	636					
		79.46%	78.80%	78.80%	76.55%	77.13%	85.82%	84.03%	87.72%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	35	8	5	10	7	2	2	1					
		0.35%	0.40%	0.28%	0.46%	0.34%	0.29%	0.29%	0.14%					
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
