Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва														
Дата голосования: 04.12.2011														
														
Наименование Избирательной комиссии:    Краснобродская городская														
														
Сводная таблица результатов выборов														
														
		Сумма	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434					
1	"Число избирателей, внесенных в список избирателей"	11754	2016	2362	2694	2259	837	908	678					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	12000	2100	2300	2700	2400	850	950	700					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	8598	1283	1598	2228	1708	592	683	506					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	387	52	83	64	82	39	41	26					
6	Число погашенных избирательных бюллетеней	3015	765	619	408	610	219	226	168					
7	Число избирательных бюллетеней в переносных ящиках для голосования	387	52	83	64	82	39	41	26					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	8590	1283	1598	2220	1708	592	683	506					
9	Число недействительных избирательных бюллетеней	114	15	34	24	24	7	9	1					
10	Число действительных избирательных бюллетеней	8863	1320	1647	2260	1766	624	715	531					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	244	45	55	44	35	20	28	17					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	228	42	55	44	31	15	24	17					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	108	17	28	22	14	1	15	11					
14	Число погашенных неиспользованных открепительных удостоверений	16	3	0	0	4	5	4	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	6	3	1	1	1	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0					
														
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	522	154	92	37	193	7	26	13					
		5.81%	11.54%	5.47%	1.62%	10.78%	1.11%	3.59%	2.44%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1116	208	116	369	244	67	71	41					
		12.43%	15.58%	6.90%	16.16%	13.63%	10.62%	9.81%	7.71%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	58	12	10	14	14	1	6	1					
		0.65%	0.90%	0.59%	0.61%	0.78%	0.16%	0.83%	0.19%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	803	205	111	140	203	37	58	49					
		8.95%	15.36%	6.60%	6.13%	11.34%	5.86%	8.01%	9.21%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	94	23	19	31	14	1	5	1					
		1.05%	1.72%	1.13%	1.36%	0.78%	0.16%	0.69%	0.19%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	6238	712	1290	1661	1090	511	548	426					
		69.49%	53.33%	76.74%	72.72%	60.89%	80.98%	75.69%	80.08%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	32	6	9	8	8	0	1	0					
		0.36%	0.45%	0.54%	0.35%	0.45%	0.00%	0.14%	0.00%					
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
