Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																															
Дата голосования: 18.09.2016																															
																															
Наименование Избирательной комиссии:    Гдовская																															
																															
Сводная таблица итогов голосования по федеральному избирательному округу																															
																															
		Сумма	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	10174	1292	1298	1005	938	326	209	445	125	776	249	661	524	251	250	300	209	506	344	168	298									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	7850	1000	1000	800	750	250	150	350	100	600	190	500	380	190	190	230	160	400	280	130	200									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	2850	396	342	264	184	89	72	118	46	290	76	152	99	88	52	95	43	213	100	65	66									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1123	35	19	12	40	50	28	70	28	15	63	159	163	41	85	73	50	22	39	31	100									
6	Число погашенных избирательных бюллетеней	3877	569	639	524	526	111	50	162	26	295	51	189	118	61	53	62	67	165	141	34	34									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1123	35	19	12	40	50	28	70	28	15	63	159	163	41	85	73	50	22	39	31	100									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	2850	396	342	264	184	89	72	118	46	290	76	152	99	88	52	95	43	213	100	65	66									
9	Число недействительных избирательных бюллетеней	76	12	0	5	3	4	4	2	1	14	4	6	6	1	3	4	1	3	2	1	0									
10	Число действительных избирательных бюллетеней	3897	419	361	271	221	135	96	186	73	291	135	305	256	128	134	164	92	232	137	95	166									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	250	15	15	15	15	14	10	14	10	20	10	20	15	10	8	8	8	15	10	8	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	17	1	3	1	0	0	0	0	1	4	0	0	0	1	0	1	0	4	0	0	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	74	11	4	0	0	1	2	0	2	2	0	14	1	12	5	7	1	9	0	3	0									
14	Число погашенных неиспользованных открепительных удостоверений	233	14	12	14	15	14	10	14	9	16	10	20	15	9	8	7	8	11	10	8	9									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	5	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																															
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	41	5	3	5	2	3	2	2	1	3	0	1	3	0	1	1	0	5	1	3	0									
		1.03%	1.16%	0.83%	1.81%	0.89%	2.16%	2.00%	1.06%	1.35%	0.98%	0.00%	0.32%	1.15%	0.00%	0.73%	0.60%	0.00%	2.13%	0.72%	3.13%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	102	17	15	4	8	4	0	4	3	8	3	8	3	5	2	2	0	2	0	6	8									
		2.57%	3.94%	4.16%	1.45%	3.57%	2.88%	0.00%	2.13%	4.05%	2.62%	2.16%	2.57%	1.15%	3.88%	1.46%	1.19%	0.00%	0.85%	0.00%	6.25%	4.82%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	110	16	5	5	5	0	2	12	2	13	1	3	6	7	8	3	2	5	8	0	7									
		2.77%	3.71%	1.39%	1.81%	2.23%	0.00%	2.00%	6.38%	2.70%	4.26%	0.72%	0.96%	2.29%	5.43%	5.84%	1.79%	2.15%	2.13%	5.76%	0.00%	4.22%									
