Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																			
Дата голосования: 02.12.2007																																																			
																																																			
Наименование Избирательной комиссии:    Калининская																																																			
																																																			
Сводная таблица результатов выборов																																																			
																																																			
		Сумма	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995	УИК №996	УИК №997	УИК №998	УИК №999	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008					
1	"Число избирателей, внесенных в списки избирателей"	29774	1101	967	670	1058	716	1169	1208	951	1014	1030	1108	861	931	1111	1154	219	825	818	504	441	248	502	1510	460	892	398	266	391	114	517	485	341	575	334	278	689	571	712	335	503	308	411	609	469					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	28654	1100	940	650	1018	671	1120	1167	907	970	987	1102	802	852	1042	1100	220	768	767	472	430	245	488	1472	447	836	380	249	365	145	507	445	330	540	320	280	690	560	700	330	470	270	400	600	500					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	17270	507	473	454	602	355	621	572	382	517	502	545	412	414	490	507	110	453	476	185	304	135	270	1108	398	765	332	167	294	114	383	378	192	313	212	224	323	308	497	218	352	223	208	554	421					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1848	17	35	24	88	16	36	56	48	37	37	20	28	61	69	33	103	150	146	141	56	31	45	12	27	14	12	27	12	0	19	9	15	28	31	0	96	71	0	32	34	14	53	17	48					
6	Число погашенных избирательных бюллетеней	9536	576	432	172	328	300	463	539	477	416	448	537	362	377	483	560	7	165	145	146	70	79	173	352	22	57	36	55	59	31	105	58	123	199	77	56	271	181	203	80	84	33	139	29	31					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1848	17	35	24	88	16	36	56	48	37	37	20	28	61	69	33	103	150	146	141	56	31	45	12	27	14	12	27	12	0	19	9	15	28	31	0	96	71	0	32	34	14	53	17	48					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	17270	507	473	454	602	355	621	572	382	517	502	545	412	414	490	507	110	453	476	185	304	135	270	1108	398	765	332	167	294	114	383	378	192	313	212	224	323	308	497	218	352	223	208	554	421					
9	Число недействительных избирательных бюллетеней	278	8	12	15	15	6	10	11	12	10	5	9	6	6	4	7	7	11	7	1	3	0	6	3	3	15	2	2	4	1	3	2	0	10	4	6	2	6	10	4	4	5	2	8	11					
10	Число действительных избирательных бюллетеней	18840	516	496	463	675	365	647	617	418	544	534	556	434	469	555	533	206	592	615	325	357	166	309	1117	422	764	342	192	302	113	399	385	207	331	239	218	417	373	487	246	382	232	259	563	458					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1400	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	0	40	40	20	20	15	20	50	20	40	20	15	15	15	20	20	20	20	15	15	30	20	40	20	20	20	20	20	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	468	14	12	6	25	11	21	7	12	10	20	15	10	12	21	10	0	10	12	7	2	9	16	26	5	11	7	3	10	0	13	11	7	9	1	7	30	11	5	10	12	9	10	4	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	114	3	0	0	1	1	4	2	2	1	2	3	0	4	3	3	52	2	4	3	0	0	1	1	1	0	2	1	2	1	0	0	0	1	0	0	0	5	0	0	1	3	3	2	0					
14	Число погашенных неиспользованных открепительных удостоверений	932	36	38	44	25	39	29	43	38	40	30	35	40	38	29	40	0	30	28	13	18	6	4	24	15	29	13	12	5	15	7	9	13	11	14	8	0	9	35	10	8	11	10	16	15					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	13	0	1	0	0	0	0	1	2	0	0	0	0	0	2	2	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																			
18	1.Политическая партия «Аграрная партия России»	515	11	9	7	27	10	7	16	10	0	8	10	10	8	11	8	1	40	19	46	10	0	12	20	7	44	13	7	13	6	14	11	8	9	7	2	18	12	12	9	7	1	5	5	5					
		2.69%	2.10%	1.77%	1.46%	3.91%	2.70%	1.07%	2.55%	2.33%	0.00%	1.48%	1.77%	2.27%	1.68%	1.97%	1.48%	0.47%	6.63%	3.05%	14.11%	2.78%	0.00%	3.81%	1.79%	1.65%	5.65%	3.78%	3.61%	4.25%	5.26%	3.48%	2.84%	3.86%	2.64%	2.88%	0.89%	4.30%	3.17%	2.41%	3.60%	1.81%	0.42%	1.92%	0.88%	1.07%					
19	2.Всероссийская политическая партия «Гражданская Сила»	63	5	2	4	1	1	3	7	0	9	1	2	0	0	3	2	0	0	0	2	0	0	2	0	0	0	2	0	1	0	1	2	0	5	0	0	3	0	2	1	0	0	2	0	0					
		0.33%	0.95%	0.39%	0.84%	0.14%	0.27%	0.46%	1.11%	0.00%	1.62%	0.19%	0.35%	0.00%	0.00%	0.54%	0.37%	0.00%	0.00%	0.00%	0.61%	0.00%	0.00%	0.63%	0.00%	0.00%	0.00%	0.58%	0.00%	0.33%	0.00%	0.25%	0.52%	0.00%	1.47%	0.00%	0.00%	0.72%	0.00%	0.40%	0.40%	0.00%	0.00%	0.77%	0.00%	0.00%					
20	3.Политическая партия «Демократическая партия России»	20	1	0	0	0	0	0	2	0	3	0	0	0	2	1	0	0	2	0	0	0	2	1	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1					
		0.10%	0.19%	0.00%	0.00%	0.00%	0.00%	0.00%	0.32%	0.00%	0.54%	0.00%	0.00%	0.00%	0.42%	0.18%	0.00%	0.00%	0.33%	0.00%	0.00%	0.00%	1.20%	0.32%	0.00%	0.00%	0.39%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.29%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.26%	0.00%	0.00%	0.00%	0.21%					
