Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																	
Дата голосования: 04.12.2011																																																	
																																																	
Наименование Избирательной комиссии:    Камышинская																																																	
																																																	
Сводная таблица результатов выборов																																																	
																																																	
		Сумма	УИК №1901	УИК №1902	УИК №1903	УИК №1904	УИК №1905	УИК №1906	УИК №1907	УИК №1908	УИК №1909	УИК №1910	УИК №1911	УИК №1912	УИК №1913	УИК №1914	УИК №1915	УИК №1916	УИК №1917	УИК №1918	УИК №1919	УИК №1920	УИК №1921	УИК №1922	УИК №1923	УИК №1924	УИК №1925	УИК №1926	УИК №1927	УИК №1928	УИК №1929	УИК №1930	УИК №1931	УИК №1932	УИК №1933	УИК №1934	УИК №1935	УИК №1936	УИК №1937	УИК №1938	УИК №1939	УИК №1940	УИК №1941	УИК №1942					
1	"Число избирателей, внесенных в список избирателей"	32511	962	679	422	165	762	209	434	663	141	189	97	131	1108	721	248	806	337	333	764	1432	1205	789	1274	1384	1040	964	1145	1103	2335	423	1047	881	764	151	1243	857	1099	356	1191	633	397	1627					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	29386	885	617	389	147	695	191	393	596	127	168	87	117	1013	660	229	750	308	298	681	1283	1074	699	1132	1239	920	880	1036	988	2090	373	943	799	698	138	1128	785	997	325	1066	578	359	1505					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	16057	452	319	225	82	518	149	180	380	59	94	46	84	784	434	169	465	165	161	403	719	492	310	369	643	461	448	585	524	1110	238	483	380	405	80	567	443	567	129	753	266	119	797					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2244	75	40	15	10	19	8	39	67	13	14	14	8	94	91	14	58	40	14	45	41	76	26	91	68	61	64	67	60	180	46	74	44	49	20	106	57	103	37	22	88	82	104					
6	Число погашенных избирательных бюллетеней	11085	358	258	149	55	158	34	174	149	55	60	27	25	135	135	46	227	103	123	233	523	506	363	672	528	398	368	384	404	800	89	386	375	244	38	455	285	327	159	291	224	158	604					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2244	75	40	15	10	19	8	39	67	13	14	14	8	94	91	14	58	40	14	45	41	76	26	91	68	61	64	67	60	180	46	74	44	49	20	106	57	103	37	22	88	82	104					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	16057	452	319	225	82	518	149	180	380	59	94	46	84	784	434	169	465	165	161	403	719	492	310	369	643	461	448	585	524	1110	238	483	380	405	80	567	443	567	129	753	266	119	797					
9	Число недействительных избирательных бюллетеней	241	11	3	2	1	0	1	2	6	0	0	0	1	2	4	2	5	4	3	4	18	8	3	12	5	8	4	12	13	26	5	17	8	2	0	7	13	8	0	4	3	0	14					
10	Число действительных избирательных бюллетеней	18060	516	356	238	91	537	156	217	441	72	108	60	91	876	521	181	518	201	172	444	742	560	333	448	706	514	508	640	571	1264	279	540	416	452	100	666	487	662	166	771	351	201	887					
