Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																
Дата голосования: 18.09.2016																																																																
																																																																
Наименование Избирательной комиссии:    Пензенская																																																																
																																																																
Сводная таблица итогов голосования по федеральному избирательному округу																																																																
																																																																
		Сумма	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	48164	2638	1341	440	245	1930	2175	309	144	691	1190	553	757	870	1990	982	954	602	155	494	140	2669	2213	781	2246	1217	1254	472	333	277	360	137	485	159	443	455	417	1120	390	2059	2553	1997	610	208	390	322	370	292	197	978	412	1087	1320	1341									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	47215	2368	1342	440	250	1930	2186	313	142	690	1199	552	764	852	1963	967	931	603	153	502	144	2394	2218	793	2145	1228	1259	468	341	280	367	135	486	162	446	456	415	1115	373	2038	2281	1991	608	201	393	325	372	292	195	979	408	1101	1325	1334									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	33565	1498	923	401	179	1394	1785	262	118	511	745	440	527	629	1309	728	670	238	101	372	96	2199	693	666	1496	878	838	374	254	223	267	81	371	142	298	369	303	704	340	1347	1921	1411	466	121	279	224	230	238	122	671	327	731	892	1163									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	6510	450	158	39	59	79	35	32	11	124	280	62	193	157	385	145	191	70	41	69	40	150	118	76	500	113	271	45	39	32	35	46	81	3	90	30	59	300	12	266	300	201	52	62	55	75	85	38	52	200	31	205	217	51									
6	Число погашенных избирательных бюллетеней	7140	420	261	0	12	457	366	19	13	55	174	50	44	66	269	94	70	295	11	61	8	45	1407	51	149	237	150	49	48	25	65	8	34	17	58	57	53	111	21	425	60	379	90	18	59	26	57	16	21	108	50	165	216	120									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	6510	450	158	39	59	79	35	32	11	124	280	62	193	157	385	145	191	70	41	69	40	150	118	76	500	113	271	45	39	32	35	46	81	3	90	30	59	300	12	266	300	201	52	62	55	75	85	38	52	200	31	205	217	51									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	33563	1498	923	401	179	1394	1785	262	118	511	745	440	527	629	1309	728	670	238	101	372	96	2199	693	666	1496	878	837	374	254	223	267	81	371	142	298	369	303	703	340	1347	1921	1411	466	121	279	224	230	238	122	671	327	731	892	1163									
9	Число недействительных избирательных бюллетеней	747	14	4	0	0	42	23	0	17	1	5	20	30	3	164	8	40	4	0	9	0	0	12	10	22	8	59	96	0	0	5	0	21	3	1	1	6	5	31	9	0	0	1	1	1	1	6	16	4	19	3	4	6	12									
10	Число действительных избирательных бюллетеней	39326	1934	1077	440	238	1431	1797	294	112	634	1020	482	690	783	1530	865	821	304	142	432	136	2349	799	732	1974	983	1049	323	293	255	297	127	431	142	387	398	356	998	321	1604	2221	1612	517	182	333	298	309	260	170	852	355	932	1103	1202									
