Выборы Президента Российской Федерации																																																																																																									
Дата голосования: 18.03.2018																																																																																																									
																																																																																																									
Наименование Избирательной комиссии:    Клинская городская																																																																																																									
																																																																																																									
Сводная таблица итогов голосования																																																																																																									
																																																																																																									
	Число участковых избирательных комиссий	94																																																																																																							
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	94																																																																																																							
																																																																																																									
		Сумма	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №3653	УИК №3654	УИК №3655	УИК №3656	УИК №3657	УИК №3658	УИК №3659	УИК №3660	УИК №4204	УИК №4219									
1	"Число избирателей, включенных в список избирателей"	102786	1331	1392	1533	1290	844	1822	1340	1110	1399	1694	1089	712	1316	1209	737	1153	1287	777	971	1147	983	1391	1185	1357	221	980	1263	1162	1142	1024	1055	1083	1239	1255	981	1156	1248	1042	1463	1432	1332	1359	1204	1202	1523	1283	1314	1655	1433	264	353	455	539	543	426	638	714	1618	984	317	527	224	1420	1068	1989	1795	1747	1685	1588	1104	682	472	1130	1416	803	951	456	500	1467	1640	1127	1237	531	1034	1190	873	977	1381	1554	1122	1142	1548	246	189									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	93635	1250	1250	1350	1150	850	1650	1250	1000	1300	1600	1000	600	1250	1100	650	1000	1100	800	850	1000	900	1250	1100	1250	200	900	1200	1100	1100	950	1000	1050	1100	1100	900	950	1100	1000	1350	1250	1250	1250	1050	1100	1300	1300	1300	1600	1300	240	300	400	450	500	420	650	600	1500	950	270	500	230	1350	1000	1800	1600	1600	1500	1400	1000	600	400	1000	1300	700	800	400	400	1300	1500	1100	1100	500	900	1050	800	900	1200	1300	1050	1050	1400	248	177									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	60695	735	832	825	609	498	1095	827	713	820	966	699	401	790	676	426	713	781	445	503	745	619	827	765	823	148	575	738	732	668	621	667	726	748	705	618	695	748	609	886	936	853	843	721	718	1021	849	880	970	817	188	207	314	285	405	254	415	317	1121	617	201	330	166	836	590	1144	901	990	919	843	613	411	250	603	786	443	486	267	256	787	892	750	688	275	621	687	495	536	882	874	684	656	907	129	49									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	4650	63	30	59	57	33	37	94	19	32	43	21	20	67	30	15	19	43	14	48	41	11	32	24	28	26	16	61	27	27	28	59	33	23	57	61	32	23	41	94	33	27	59	23	31	40	50	30	21	260	25	20	51	45	32	58	48	85	62	107	57	68	14	87	72	92	120	107	92	45	68	41	25	79	29	53	69	37	87	57	33	21	25	64	44	35	28	24	16	141	31	23	35	115	121									
6	Число погашенных избирательных бюллетеней	28199	452	388	466	484	319	518	329	268	448	591	280	179	393	394	209	268	276	341	299	214	270	391	311	399	26	309	401	341	405	301	274	291	329	338	221	223	329	350	370	281	370	348	306	351	239	401	390	609	223	27	73	35	120	63	108	187	198	317	226	12	102	50	427	338	564	579	503	489	512	319	148	125	318	485	204	245	96	57	456	575	329	387	161	235	328	277	340	301	195	335	371	458	4	7									
