Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва															
Дата голосования: 07.12.2003 0:00:00															
															
Наименование Избирательной комиссии:    Пионерская 															
															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)															
															
		Сумма	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408					
1	"Число избирателей, внесенных в списки"	10678	1398	2435	1415	1368	620	333	3032	77					
2	"Число бюллетеней, полученных участковыми комиссиями"	10162	1392	2414	1407	1362	616	321	2500	150					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	5677	615	1164	772	725	236	174	1971	20					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	196	10	28	15	12	18	75	8	30					
6	Число погашенных бюллетеней	4292	767	1223	621	626	362	72	521	100					
7	Число бюллетеней в переносных ящиках для голосования	196	10	28	15	12	18	75	8	30					
8	Число бюллетеней в стационарных ящиках для голосования	5670	615	1163	771	725	236	174	1966	20					
9	Число недействительных бюллетеней	68	11	14	11	4	5	11	12	0					
10	Число действительных бюллетеней	5798	614	1177	775	733	249	238	1962	50					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	145	25	25	25	25	10	10	25	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	29	3	10	3	4	0	1	8	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	29	8	9	4	2	1	2	3	0					
14	Число погашенных открепительных удостоверений	116	22	15	22	21	10	9	17	0					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	3	0	1	1	1	0	0	0	0					
															
18	"1. ""ЕДИНЕНИЕ"""	95	10	11	9	17	4	12	32	0					
		1.61%	1.6%	0.92%	1.14%	2.30%	1.57%	4.81%	1.62%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	207	12	43	31	27	5	3	86	0					
		3.52%	1.92%	3.61%	3.94%	3.66%	1.96%	1.20%	4.35%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	175	13	57	33	22	2	7	39	2					
		2.98%	2.08%	4.78%	4.19%	2.98%	0.78%	2.81%	1.97%	4.0%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	211	22	56	36	35	9	4	49	0					
		3.59%	3.52%	4.70%	4.58%	4.74%	3.54%	1.60%	2.48%	0.0%					
22	"5. ""За Русь Святую"""	29	3	4	2	2	1	1	15	1					
		0.49%	0.48%	0.33%	0.25%	0.27%	0.39%	0.40%	0.75%	2.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	20	4	1	0	1	1	4	9	0					
		0.34%	0.64%	0.08%	0.0%	0.13%	0.39%	1.60%	0.45%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	67	9	8	5	4	4	3	34	0					
		1.14%	1.44%	0.67%	0.63%	0.54%	1.57%	1.20%	1.72%	0.0%					
25	"8. ""Народно-республиканская партия России"""	8	1	2	0	0	1	2	2	0					
		0.13%	0.16%	0.16%	0.0%	0.0%	0.39%	0.80%	0.10%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	32	1	5	5	1	1	1	18	0					
		0.54%	0.16%	0.41%	0.63%	0.13%	0.39%	0.40%	0.91%	0.0%					
27	"10. ""Аграрная партия России"""	118	22	27	11	19	5	2	31	1					
		2.01%	3.52%	2.26%	1.39%	2.57%	1.96%	0.80%	1.57%	2.0%					
28	"11. ""Истинные патриоты России"""	29	1	1	0	0	0	1	26	0					
		0.49%	0.16%	0.08%	0.0%	0.0%	0.0%	0.40%	1.31%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	64	13	6	6	5	6	6	21	1					
		1.09%	2.08%	0.50%	0.76%	0.67%	2.36%	2.40%	1.06%	2.0%					
30	"13. ""Демократическая партия России"""	50	9	13	5	6	2	4	10	1					
		0.85%	1.44%	1.09%	0.63%	0.81%	0.78%	1.60%	0.50%	2.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	16	2	1	1	3	2	1	6	0					
		0.27%	0.32%	0.08%	0.12%	0.40%	0.78%	0.40%	0.30%	0.0%					
32	"15. ""Партия СЛОН"""	13	1	1	2	0	1	0	8	0					
		0.22%	0.16%	0.08%	0.25%	0.0%	0.39%	0.0%	0.40%	0.0%					
