Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва													
Дата голосования: 07.12.2003 0:00:00													
													
Наименование Избирательной комиссии:    Рефтинская поселковая													
													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)													
													
		Сумма	УИК №2581	УИК №2582	УИК №2583	УИК №2584	УИК №2585	УИК №2586					
1	"Число избирателей, внесенных в списки"	13729	2205	2291	2321	2354	2279	2279					
2	"Число бюллетеней, полученных участковыми комиссиями"	13700	2190	2310	2300	2300	2300	2300					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	6630	1067	1139	1095	1106	1078	1145					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	146	35	18	10	40	30	13					
6	Число погашенных бюллетеней	6924	1088	1153	1195	1154	1192	1142					
7	Число бюллетеней в переносных ящиках для голосования	146	35	18	10	40	30	13					
8	Число бюллетеней в стационарных ящиках для голосования	6626	1067	1137	1095	1106	1076	1145					
9	Число недействительных бюллетеней	92	17	9	15	15	23	13					
10	Число действительных бюллетеней	6680	1085	1146	1090	1131	1083	1145					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	148	25	25	25	25	24	24					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	38	6	7	8	4	5	8					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	17	4	0	2	4	2	5					
14	Число погашенных открепительных удостоверений	110	19	18	17	21	19	16					
15	Число открепительных удостоверений выданных ТИК	2	0	0	0	1	0	1					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0					
													
18	"1. ""ЕДИНЕНИЕ"""	101	13	19	17	26	9	17					
		1.49%	1.17%	1.64%	1.53%	2.26%	0.81%	1.46%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	323	23	62	83	48	50	57					
		4.76%	2.08%	5.36%	7.51%	4.18%	4.52%	4.92%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	314	71	53	32	67	46	45					
		4.63%	6.44%	4.58%	2.89%	5.84%	4.15%	3.88%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	265	28	46	62	35	39	55					
		3.91%	2.54%	3.98%	5.61%	3.05%	3.52%	4.74%					
22	"5. ""За Русь Святую"""	33	9	3	7	6	4	4					
		0.48%	0.81%	0.25%	0.63%	0.52%	0.36%	0.34%					
23	"6. ""Объединенная Российская партия ""Русь"""	23	8	2	2	6	2	3					
		0.33%	0.72%	0.17%	0.18%	0.52%	0.18%	0.25%					
24	"7. ""Новый курс - Автомобильная Россия"""	56	6	14	13	8	4	11					
		0.82%	0.54%	1.21%	1.17%	0.69%	0.36%	0.94%					
25	"8. ""Народно-республиканская партия России"""	11	2	2	1	3	0	3					
		0.16%	0.18%	0.17%	0.09%	0.26%	0.0%	0.25%					
26	"9. ""Российская экологическая партия ""Зеленые"""	34	3	10	7	8	3	3					
		0.50%	0.27%	0.86%	0.63%	0.69%	0.27%	0.25%					
27	"10. ""Аграрная партия России"""	207	33	33	22	31	43	45					
		3.05%	2.99%	2.85%	1.99%	2.70%	3.88%	3.88%					
28	"11. ""Истинные патриоты России"""	10	2	4	0	0	1	3					
		0.14%	0.18%	0.34%	0.0%	0.0%	0.09%	0.25%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	133	26	27	18	20	22	20					
		1.96%	2.35%	2.33%	1.62%	1.74%	1.98%	1.72%					
30	"13. ""Демократическая партия России"""	22	8	4	3	4	1	2					
		0.32%	0.72%	0.34%	0.27%	0.34%	0.09%	0.17%					
31	"14. ""Великая Россия - Евразийский Союз"""	21	2	5	2	5	3	4					
		0.31%	0.18%	0.43%	0.18%	0.43%	0.27%	0.34%					
32	"15. ""Партия СЛОН"""	6	2	1	2	0	1	0					
		0.08%	0.18%	0.08%	0.18%	0.0%	0.09%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	572	89	124	91	67	103	98					
		8.44%	8.07%	10.73%	8.23%	5.84%	9.31%	8.46%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	16	6	1	2	1	4	2					
		0.23%	0.54%	0.08%	0.18%	0.08%	0.36%	0.17%					
35	"18. ""ЛДПР"""	1150	169	184	193	208	194	202					
		16.98%	15.33%	15.93%	17.46%	18.15%	17.54%	17.44%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	157	38	32	13	25	30	19					
		2.31%	3.44%	2.77%	1.17%	2.18%	2.71%	1.64%					
37	"20. ""Политическая партия ""Единая Россия"""	2484	413	407	401	449	392	422					
		36.68%	37.47%	35.23%	36.28%	39.17%	35.44%	36.44%					
38	"21. ""Российская Конституционно-демократическая партия"""	10	2	0	2	2	1	3					
		0.14%	0.18%	0.0%	0.18%	0.17%	0.09%	0.25%					
39	"22. ""Развитие предпринимательства"""	14	2	2	3	3	2	2					
		0.20%	0.18%	0.17%	0.27%	0.26%	0.18%	0.17%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	421	93	59	60	48	85	76					
		6.21%	8.43%	5.10%	5.42%	4.18%	7.68%	6.56%					
													
41	Против всех	297	37	52	54	61	44	49					
		4.38%	3.35%	4.50%	4.88%	5.32%	3.97%	4.23%					
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
