Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																																													
Дата голосования: 02.12.2007																																																																																																													
																																																																																																													
Наименование Избирательной комиссии:    Щелковская																																																																																																													
																																																																																																													
Сводная таблица результатов выборов																																																																																																													
																																																																																																													
		Сумма	УИК №3144	УИК №3145	УИК №3146	УИК №3147	УИК №3148	УИК №3149	УИК №3150	УИК №3151	УИК №3152	УИК №3153	УИК №3154	УИК №3155	УИК №3156	УИК №3157	УИК №3158	УИК №3159	УИК №3160	УИК №3161	УИК №3162	УИК №3163	УИК №3164	УИК №3165	УИК №3166	УИК №3167	УИК №3168	УИК №3169	УИК №3170	УИК №3171	УИК №3172	УИК №3173	УИК №3174	УИК №3175	УИК №3176	УИК №3177	УИК №3178	УИК №3179	УИК №3180	УИК №3181	УИК №3182	УИК №3183	УИК №3184	УИК №3185	УИК №3186	УИК №3187	УИК №3188	УИК №3189	УИК №3190	УИК №3191	УИК №3192	УИК №3193	УИК №3194	УИК №3195	УИК №3196	УИК №3197	УИК №3198	УИК №3199	УИК №3200	УИК №3201	УИК №3202	УИК №3203	УИК №3204	УИК №3205	УИК №3206	УИК №3207	УИК №3208	УИК №3209	УИК №3210	УИК №3211	УИК №3212	УИК №3213	УИК №3214	УИК №3215	УИК №3216	УИК №3217	УИК №3218	УИК №3219	УИК №3220	УИК №3221	УИК №3222	УИК №3223	УИК №3224	УИК №3225	УИК №3226	УИК №3227	УИК №3228	УИК №3229	УИК №3230	УИК №3231	УИК №3232	УИК №3233	УИК №3234	УИК №3235	УИК №3236	УИК №3237	УИК №3238	УИК №3239	УИК №3240	УИК №3241	УИК №3242	УИК №3243	УИК №3244	УИК №3245					
1	"Число избирателей, внесенных в списки избирателей"	161411	2177	2768	2070	1357	1640	2336	2472	1882	1752	2227	2664	2003	2327	950	2370	2989	919	2256	1727	2011	1980	1801	1561	1408	1799	2195	2197	1718	2078	2104	1844	1266	653	716	278	2301	2428	2926	1460	2646	2260	1814	1894	2002	1722	1807	2472	1640	2100	1878	562	494	381	2366	1732	2157	435	393	2021	1934	1745	1589	1829	2827	1598	1599	2271	2333	819	674	1571	2411	432	929	1713	1648	1346	938	467	2209	2460	610	590	1660	606	224	462	161	1184	220	553	923	2152	355	1301	2194	1962	2129	1408	375	294	320					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	157981	2025	2614	2001	1334	1629	2309	2379	1882	1696	2222	2611	1964	2276	929	2488	2889	858	2247	1677	2043	1989	1864	1579	1355	1577	2271	2093	1665	1833	2101	1754	1241	505	816	259	2098	2585	2792	1491	2811	2300	1736	1824	2044	1749	1831	2476	1622	2326	1949	490	451	366	2520	1741	2191	409	395	1995	1948	1665	1522	1970	2232	1657	1646	2232	1433	770	1000	1582	2400	379	834	1579	1570	1219	849	463	2203	2400	609	544	1573	612	208	440	155	1124	215	513	859	2093	334	1287	2253	1958	2202	1395	354	275	258					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	85161	1207	1754	964	665	795	1107	1160	948	808	1049	1438	1106	1226	393	1433	1438	467	1238	833	1031	900	913	788	716	871	1161	1163	853	1015	1096	754	637	333	368	156	1305	1305	1781	913	1282	1310	941	1048	1069	895	851	1131	1058	1282	1123	262	216	177	1600	1399	1193	201	221	998	956	986	756	951	1614	955	820	1289	1136	430	602	862	1335	232	434	993	901	642	584	234	1063	1163	262	281	837	355	95	329	89	573	130	292	550	1313	131	566	985	920	967	720	178	152	153					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	3513	10	3	13	25	24	30	41	30	17	13	13	17	14	9	14	33	10	50	72	25	105	37	46	23	209	48	31	24	117	19	38	14	40	32	9	22	5	18	21	41	22	25	86	20	22	19	20	14	7	16	36	39	46	18	44	38	21	21	24	18	8	55	32	7	13	22	13	5	48	12	44	12	50	18	36	9	38	0	16	36	53	50	18	70	14	35	0	26	82	36	97	24	77	157	46	22	95	10	27	54	61	67					
6	Число погашенных избирательных бюллетеней	69302	808	857	1024	644	810	1172	1178	904	871	1160	1157	841	1036	527	1041	1418	381	959	772	987	984	914	744	616	497	1062	900	788	701	986	962	590	132	416	94	771	1275	993	557	1488	968	770	690	955	832	961	1325	550	1037	810	192	196	143	900	298	960	187	153	973	974	671	711	987	611	689	804	930	292	292	386	676	1053	97	382	550	660	539	265	213	1104	1184	297	245	666	243	78	111	40	469	49	124	285	703	46	675	1246	943	1225	648	122	62	38					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3512	10	3	13	25	24	30	41	30	17	13	13	17	14	9	14	33	10	50	72	24	105	37	46	23	209	48	31	24	117	19	38	14	40	32	9	22	5	18	21	41	22	25	86	20	22	19	20	14	7	16	36	39	46	18	44	38	21	21	24	18	8	55	32	7	13	22	13	5	48	12	44	12	50	18	36	9	38	0	16	36	53	50	18	70	14	35	0	26	82	36	97	24	77	157	46	22	95	10	27	54	61	67					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	85091	1207	1746	962	665	795	1107	1160	947	808	1049	1436	1106	1226	393	1433	1436	467	1238	831	1029	900	913	786	716	871	1161	1163	853	1015	1096	754	636	333	368	156	1305	1305	1781	913	1282	1310	941	1048	1069	895	851	1131	1055	1282	1121	262	216	177	1600	1398	1193	201	221	998	956	986	756	947	1579	955	820	1289	1136	430	602	862	1335	232	434	993	901	642	584	234	1063	1162	262	281	835	355	95	329	89	573	130	292	550	1313	131	566	985	920	967	720	178	152	153					
9	Число недействительных избирательных бюллетеней	1232	20	39	28	12	6	13	24	13	13	15	11	19	11	8	19	14	10	13	19	6	11	11	9	16	19	15	35	14	14	14	4	5	2	4	2	13	16	27	22	17	10	8	9	20	12	11	15	17	21	20	5	1	4	23	9	20	0	1	19	18	16	9	18	42	19	9	9	10	9	1	11	23	1	9	14	15	3	7	4	8	24	3	6	16	5	0	3	1	6	1	10	8	19	3	9	13	15	13	9	3	2	0					
10	Число действительных избирательных бюллетеней	87371	1197	1710	947	678	813	1124	1177	964	812	1047	1438	1104	1229	394	1428	1455	467	1275	884	1047	994	939	823	723	1061	1194	1159	863	1118	1101	788	645	371	396	163	1314	1294	1772	912	1306	1322	958	1125	1069	905	859	1136	1052	1268	1117	293	254	219	1595	1433	1211	222	241	1003	956	978	802	961	1544	949	833	1293	1131	469	613	895	1324	281	443	1015	895	677	577	246	1091	1191	309	293	889	364	130	326	114	649	165	379	566	1371	285	603	994	1000	964	738	229	211	220					
