Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																																															
Дата голосования: 04.12.2011																																																																																																															
																																																																																																															
Наименование Избирательной комиссии:    Щелковская																																																																																																															
																																																																																																															
Сводная таблица результатов выборов																																																																																																															
																																																																																																															
		Сумма	УИК №3185	УИК №3186	УИК №3187	УИК №3188	УИК №3189	УИК №3190	УИК №3191	УИК №3192	УИК №3193	УИК №3194	УИК №3195	УИК №3196	УИК №3197	УИК №3198	УИК №3199	УИК №3200	УИК №3201	УИК №3202	УИК №3203	УИК №3204	УИК №3205	УИК №3206	УИК №3207	УИК №3208	УИК №3209	УИК №3210	УИК №3211	УИК №3212	УИК №3213	УИК №3214	УИК №3215	УИК №3216	УИК №3217	УИК №3218	УИК №3219	УИК №3220	УИК №3221	УИК №3222	УИК №3223	УИК №3224	УИК №3225	УИК №3226	УИК №3227	УИК №3228	УИК №3229	УИК №3230	УИК №3231	УИК №3232	УИК №3233	УИК №3234	УИК №3235	УИК №3236	УИК №3237	УИК №3238	УИК №3239	УИК №3240	УИК №3241	УИК №3242	УИК №3243	УИК №3244	УИК №3245	УИК №3246	УИК №3247	УИК №3248	УИК №3249	УИК №3250	УИК №3251	УИК №3252	УИК №3253	УИК №3254	УИК №3255	УИК №3256	УИК №3257	УИК №3258	УИК №3259	УИК №3260	УИК №3261	УИК №3262	УИК №3263	УИК №3264	УИК №3265	УИК №3266	УИК №3267	УИК №3268	УИК №3269	УИК №3270	УИК №3271	УИК №3272	УИК №3273	УИК №3274	УИК №3275	УИК №3276	УИК №3277	УИК №3278	УИК №3279	УИК №3280	УИК №3281	УИК №3282	УИК №3283	УИК №3284	УИК №3285	УИК №3286	УИК №3287	УИК №3288					
1	"Число избирателей, внесенных в список избирателей"	158161	2018	2995	2051	1496	2148	2350	2129	2323	1916	2223	2815	1886	2422	936	2438	2128	493	1025	2248	1626	2017	2654	1903	1534	1381	2017	2466	1415	1561	1710	1563	2011	2118	1125	233	562	1088	282	2209	2485	2420	1147	2421	2100	1633	1800	2245	1672	1708	2369	789	446	2071	554	534	308	2615	878	902	1053	407	1843	1552	1573	1874	2282	1696	1447	2355	1927	777	2306	2313	1300	504	963	1722	1703	1416	569	482	2922	2691	631	597	1695	640	203	498	228	1144	219	546	962	2112	442	1268	2272	1933	2044	1403	406	319	310					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	157157	1982	2768	1965	1459	1552	2321	2101	2326	1887	2201	2752	1919	2373	915	2427	2127	1135	1018	2198	1617	2130	2425	1838	1521	1376	1797	2337	1410	2009	1638	1437	1989	2210	1084	226	530	1009	268	1966	2431	2420	2413	2432	2095	1530	1711	1937	1672	1708	2457	1000	413	2060	504	467	264	2521	1000	864	1050	399	1862	1518	1460	1780	2345	1624	1520	2268	1799	735	2195	2251	1400	420	936	1710	1678	1329	1038	464	2852	2574	599	514	1704	651	197	430	224	1140	214	548	1142	2098	386	1256	2289	1945	2066	1384	380	312	329					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	74733	1021	1875	917	603	834	933	838	1006	778	957	1282	913	1102	393	1210	879	480	442	971	721	868	1080	819	658	656	787	1036	677	758	674	592	1031	804	439	89	200	413	94	1288	1293	1329	1132	1113	1161	732	871	1208	787	791	1057	580	198	842	234	172	145	1540	770	436	530	158	890	803	673	824	1129	954	722	1285	1011	382	1126	1094	1100	187	418	898	870	570	564	210	1183	1158	213	320	712	305	78	263	79	508	126	258	435	978	138	480	892	799	856	649	148	129	119					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2582	6	21	16	14	24	16	17	16	23	12	12	19	12	7	10	23	4	5	18	20	20	18	11	26	19	174	22	11	2	21	89	10	21	5	5	31	11	17	19	9	11	15	32	23	35	29	3	9	10	6	0	7	18	17	25	11	21	10	3	9	8	15	4	68	27	20	3	17	15	8	18	19	26	18	72	13	45	10	59	5	26	29	35	41	7	31	3	30	0	17	85	24	81	23	98	192	37	19	23	14	21	47	44	55					
6	Число погашенных избирательных бюллетеней	79818	955	872	1028	842	694	1372	1246	1304	1086	1232	1458	987	1259	515	1207	1225	651	571	1209	876	1242	1327	1008	837	701	836	1279	722	1248	943	756	947	1385	640	132	299	585	157	659	1129	1080	1266	1287	911	763	810	726	876	907	1394	420	208	1200	253	270	108	960	220	425	511	233	957	711	719	929	1196	660	776	968	780	331	1050	1131	282	161	505	767	797	700	469	228	1640	1381	345	187	961	343	89	167	128	547	64	209	684	1022	56	739	1378	1123	1196	714	185	139	155					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2578	6	21	16	14	24	16	17	16	23	12	12	19	12	7	10	23	4	5	18	20	20	18	11	26	19	174	22	11	2	21	89	10	21	5	5	31	11	17	19	9	11	15	32	23	35	29	3	9	10	6	0	7	18	17	25	11	21	10	3	9	8	15	0	68	27	20	3	17	15	8	18	19	26	18	72	13	45	10	59	5	26	29	35	41	7	31	3	30	0	17	85	24	81	23	98	192	37	19	23	14	21	47	44	55					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	74572	1021	1867	917	603	834	933	834	1005	773	957	1282	913	1102	393	1210	877	480	442	971	720	868	1077	808	658	637	787	1036	677	758	674	591	1031	804	439	89	200	413	94	1288	1293	1329	1131	1113	1161	732	870	1208	778	781	1057	580	198	842	234	172	145	1538	770	436	529	158	888	796	673	824	1128	953	722	1266	1011	382	1126	1068	1100	187	417	898	870	560	564	210	1183	1158	213	320	712	305	78	263	79	508	126	258	435	978	138	480	892	799	856	649	148	114	119					
9	Число недействительных избирательных бюллетеней	2265	18	34	24	13	20	25	25	29	24	37	36	30	34	11	39	34	7	9	28	21	26	27	32	9	14	30	43	17	26	34	22	23	23	8	4	32	14	4	35	12	24	24	32	17	18	23	38	22	25	27	12	3	35	9	6	4	50	5	14	19	3	57	20	15	24	36	20	22	28	31	10	38	39	24	5	17	36	29	32	16	7	27	40	9	6	23	14	1	9	4	32	10	11	12	37	7	18	60	25	28	26	4	7	6					
10	Число действительных избирательных бюллетеней	74885	1009	1854	909	604	838	924	826	992	772	932	1258	902	1080	389	1181	866	477	438	961	719	862	1068	787	675	642	931	1015	671	734	661	658	1018	802	436	90	199	410	107	1272	1290	1316	1122	1113	1167	749	876	1173	765	766	1036	568	202	825	242	191	152	1509	775	425	519	163	846	776	726	827	1112	936	717	1253	988	390	1107	1055	1094	254	413	907	851	587	553	229	1185	1153	245	321	720	294	107	254	92	561	140	328	446	1039	323	499	851	797	842	644	191	151	168					
