Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																							
Дата голосования: 07.12.2003 0:00:00																							
																							
Наименование Избирательной комиссии:    Молоковская																							
																							
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																							
																							
		Сумма	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710					
1	"Число избирателей, внесенных в списки"	5467	186	276	133	159	260	299	248	337	243	182	371	203	170	271	1063	1066					
2	"Число бюллетеней, полученных участковыми комиссиями"	5353	189	277	138	162	265	296	243	341	246	182	373	203	171	267	1000	1000					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	2398	87	101	62	56	97	96	103	71	101	87	96	57	75	136	607	566					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1120	40	99	39	26	103	100	54	126	62	31	194	64	40	67	19	56					
6	Число погашенных бюллетеней	1835	62	77	37	80	65	100	86	144	83	64	83	82	56	64	374	378					
7	Число бюллетеней в переносных ящиках для голосования	1120	40	99	39	26	103	100	54	126	62	31	194	64	40	67	19	56					
8	Число бюллетеней в стационарных ящиках для голосования	2398	87	101	62	56	97	96	103	71	101	87	96	57	75	136	607	566					
9	Число недействительных бюллетеней	63	2	2	2	2	3	7	7	1	1	2	4	2	2	6	7	13					
10	Число действительных бюллетеней	3455	125	198	99	80	197	189	150	196	162	116	286	119	113	197	619	609					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	200	10	10	10	10	10	10	10	10	10	10	10	10	10	10	30	30					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	30	0	0	1	2	2	1	2	0	0	0	2	1	1	1	10	7					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	30	1	0	0	1	0	2	5	0	0	1	2	2	2	2	8	4					
14	Число погашенных открепительных удостоверений	170	10	10	9	8	8	9	8	10	10	10	8	9	9	9	20	23					
15	Число открепительных удостоверений выданных ТИК	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																							
18	"1. ""ЕДИНЕНИЕ"""	58	0	5	1	1	3	3	5	3	4	1	5	0	0	4	11	12					
		1.64%	0.0%	2.5%	0.99%	1.21%	1.5%	1.53%	3.18%	1.52%	2.45%	0.84%	1.72%	0.0%	0.0%	1.97%	1.75%	1.92%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	43	0	0	0	0	2	4	1	2	2	1	6	2	0	1	11	11					
		1.22%	0.0%	0.0%	0.0%	0.0%	1.0%	2.04%	0.63%	1.01%	1.22%	0.84%	2.06%	1.65%	0.0%	0.49%	1.75%	1.76%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	115	5	7	1	8	2	10	6	13	4	2	6	5	2	2	19	23					
		3.26%	3.93%	3.5%	0.99%	9.75%	1.0%	5.10%	3.82%	6.59%	2.45%	1.69%	2.06%	4.13%	1.73%	0.98%	3.03%	3.69%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	54	1	2	1	0	1	0	5	4	0	3	3	2	3	3	15	11					
		1.53%	0.78%	1.0%	0.99%	0.0%	0.5%	0.0%	3.18%	2.03%	0.0%	2.54%	1.03%	1.65%	2.60%	1.47%	2.39%	1.76%					
22	"5. ""За Русь Святую"""	26	4	0	1	2	0	0	1	4	1	0	2	1	2	1	2	5					
		0.73%	3.14%	0.0%	0.99%	2.43%	0.0%	0.0%	0.63%	2.03%	0.61%	0.0%	0.68%	0.82%	1.73%	0.49%	0.31%	0.80%					
23	"6. ""Объединенная Российская партия ""Русь"""	11	1	1	0	0	1	1	0	1	0	2	0	1	0	0	2	1					
		0.31%	0.78%	0.5%	0.0%	0.0%	0.5%	0.51%	0.0%	0.50%	0.0%	1.69%	0.0%	0.82%	0.0%	0.0%	0.31%	0.16%					
24	"7. ""Новый курс - Автомобильная Россия"""	27	0	2	1	1	2	1	1	1	0	1	3	0	0	3	6	5					
		0.76%	0.0%	1.0%	0.99%	1.21%	1.0%	0.51%	0.63%	0.50%	0.0%	0.84%	1.03%	0.0%	0.0%	1.47%	0.95%	0.80%					
25	"8. ""Народно-республиканская партия России"""	9	0	1	0	0	1	0	0	0	1	0	0	1	0	1	2	2					
		0.25%	0.0%	0.5%	0.0%	0.0%	0.5%	0.0%	0.0%	0.0%	0.61%	0.0%	0.0%	0.82%	0.0%	0.49%	0.31%	0.32%					
26	"9. ""Российская экологическая партия ""Зеленые"""	10	0	1	0	0	1	0	0	0	2	0	1	0	0	1	1	3					
		0.28%	0.0%	0.5%	0.0%	0.0%	0.5%	0.0%	0.0%	0.0%	1.22%	0.0%	0.34%	0.0%	0.0%	0.49%	0.15%	0.48%					
27	"10. ""Аграрная партия России"""	626	26	74	15	3	20	66	25	26	50	40	45	13	21	33	77	92					
		17.79%	20.47%	37.0%	14.85%	3.65%	10.0%	33.67%	15.92%	13.19%	30.67%	33.89%	15.51%	10.74%	18.26%	16.25%	12.30%	14.79%					
28	"11. ""Истинные патриоты России"""	6	0	0	1	0	0	0	0	1	1	1	0	1	0	0	0	1					
		0.17%	0.0%	0.0%	0.99%	0.0%	0.0%	0.0%	0.0%	0.50%	0.61%	0.84%	0.0%	0.82%	0.0%	0.0%	0.0%	0.16%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	41	0	1	1	1	1	1	2	3	4	5	4	0	1	2	5	10					
		1.16%	0.0%	0.5%	0.99%	1.21%	0.5%	0.51%	1.27%	1.52%	2.45%	4.23%	1.37%	0.0%	0.86%	0.98%	0.79%	1.60%					
30	"13. ""Демократическая партия России"""	10	0	0	3	0	0	0	0	2	0	0	0	1	0	2	2	0					
		0.28%	0.0%	0.0%	2.97%	0.0%	0.0%	0.0%	0.0%	1.01%	0.0%	0.0%	0.0%	0.82%	0.0%	0.98%	0.31%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	5	0	0	0	0	0	0	0	0	2	1	2	0	0	0	0	0					
		0.14%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.22%	0.84%	0.68%	0.0%	0.0%	0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	4	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0					
