Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																					
Дата голосования: 02.12.2007																					
																					
Наименование Избирательной комиссии:    Котовская городская																					
																					
Сводная таблица результатов выборов																					
																					
		Сумма	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208					
1	"Число избирателей, внесенных в списки избирателей"	28102	2288	2002	1306	1947	2336	1502	2845	2667	2617	2707	2515	2722	517	131					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	22456	1850	1580	1062	1556	1850	1195	2259	2139	2066	2171	1998	2188	412	130					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	14465	1240	961	774	959	1097	780	1489	1330	1349	1499	1389	1407	191	0					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1166	84	66	40	104	69	65	118	93	123	115	43	83	33	130					
6	Число погашенных избирательных бюллетеней	6825	526	553	248	493	684	350	652	716	594	557	566	698	188	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1166	84	66	40	104	69	65	118	93	123	115	43	83	33	130					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	14444	1240	960	774	959	1097	777	1489	1329	1349	1499	1383	1397	191	0					
9	Число недействительных избирательных бюллетеней	197	10	16	10	9	23	9	29	25	0	10	16	18	5	17					
10	Число действительных избирательных бюллетеней	15413	1314	1010	804	1054	1143	833	1578	1397	1472	1604	1410	1462	219	113					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	333	20	15	25	30	20	15	39	25	30	39	25	40	10	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	283	17	14	17	26	16	14	37	20	23	31	25	38	5	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	51	5	3	2	6	1	1	6	3	10	3	8	3	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	50	3	1	8	4	4	1	2	5	7	8	0	2	5	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																					
18	1.Политическая партия «Аграрная партия России»	394	2	22	42	29	21	36	42	48	16	43	48	39	6	0					
		2.52%	0.15%	2.14%	5.16%	2.73%	1.80%	4.28%	2.61%	3.38%	1.09%	2.66%	3.37%	2.64%	2.68%	0.00%					
19	2.Всероссийская политическая партия «Гражданская Сила»	114	5	10	5	7	5	4	18	14	4	14	13	12	3	0					
		0.73%	0.38%	0.97%	0.61%	0.66%	0.43%	0.48%	1.12%	0.98%	0.27%	0.87%	0.91%	0.81%	1.34%	0.00%					
20	3.Политическая партия «Демократическая партия России»	13	2	0	1	1	1	0	2	0	2	2	1	1	0	0					
		0.08%	0.15%	0.00%	0.12%	0.09%	0.09%	0.00%	0.12%	0.00%	0.14%	0.12%	0.07%	0.07%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	4412	348	274	286	345	336	219	422	471	204	470	442	508	56	31					
		28.26%	26.28%	26.71%	35.14%	32.46%	28.82%	26.01%	26.26%	33.12%	13.86%	29.12%	30.99%	34.32%	25.00%	23.85%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	104	14	5	5	16	11	7	8	8	2	6	10	9	2	1					
		0.67%	1.06%	0.49%	0.61%	1.51%	0.94%	0.83%	0.50%	0.56%	0.14%	0.37%	0.70%	0.61%	0.89%	0.77%					
23	6.Политическая партия «Партия социальной справедливости»	26	0	1	2	2	3	1	2	4	1	0	5	5	0	0					
		0.17%	0.00%	0.10%	0.25%	0.19%	0.26%	0.12%	0.12%	0.28%	0.07%	0.00%	0.35%	0.34%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	1009	78	90	48	89	87	69	105	87	8	112	111	99	18	8					
		6.46%	5.89%	8.77%	5.90%	8.37%	7.46%	8.19%	6.53%	6.12%	0.54%	6.94%	7.78%	6.69%	8.04%	6.15%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	860	60	86	58	49	80	49	88	75	27	105	104	73	3	3					
		5.51%	4.53%	8.38%	7.13%	4.61%	6.86%	5.82%	5.48%	5.27%	1.83%	6.51%	7.29%	4.93%	1.34%	2.31%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	128	5	16	2	18	10	12	12	7	10	10	9	16	1	0					
		0.82%	0.38%	1.56%	0.25%	1.69%	0.86%	1.43%	0.75%	0.49%	0.68%	0.62%	0.63%	1.08%	0.45%	0.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	8153	790	482	338	474	573	425	855	659	1196	837	650	682	124	68					
		52.23%	59.67%	46.98%	41.52%	44.59%	49.14%	50.48%	53.20%	46.34%	81.25%	51.86%	45.58%	46.08%	55.36%	52.31%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	200	10	24	17	24	16	11	24	24	2	5	17	18	6	2					
		1.28%	0.76%	2.34%	2.09%	2.26%	1.37%	1.31%	1.49%	1.69%	0.14%	0.31%	1.19%	1.22%	2.68%	1.54%					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
