Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																															
Дата голосования: 18.09.2016																															
																															
Наименование Избирательной комиссии:    Рязанская - 157																															
																															
Сводная таблица итогов голосования по федеральному избирательному округу																															
																															
		Сумма	УИК №427	УИК №428	УИК №431	УИК №432	УИК №433	УИК №438	УИК №439	УИК №449	УИК №450	УИК №461	УИК №462	УИК №463	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	18129	561	772	694	153	659	618	488	2109	381	1749	2015	618	554	403	832	1960	940	974	1007	642									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	18240	565	775	690	155	670	615	495	2130	375	1740	2050	630	570	400	830	1950	950	990	1010	650									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	6793	228	333	270	30	267	178	179	906	96	594	778	235	182	92	379	627	251	443	494	231									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	702	15	4	45	24	28	15	29	52	33	30	56	27	47	51	93	21	50	14	30	38									
6	Число погашенных избирательных бюллетеней	10745	322	438	375	101	375	422	287	1172	246	1116	1216	368	341	257	358	1302	649	533	486	381									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	702	15	4	45	24	28	15	29	52	33	30	56	27	47	51	93	21	50	14	30	38									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	6793	228	333	270	30	267	178	179	906	96	594	778	235	182	92	379	627	251	443	494	231									
9	Число недействительных избирательных бюллетеней	141	6	6	19	0	3	4	4	18	2	21	15	4	8	1	9	3	3	1	7	7									
10	Число действительных избирательных бюллетеней	7354	237	331	296	54	292	189	204	940	127	603	819	258	221	142	463	645	298	456	517	262									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	149	3	8	5	2	5	5	5	15	3	10	16	5	5	3	10	20	7	7	10	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	86	2	6	3	0	5	1	0	7	0	5	10	4	4	1	8	16	3	4	3	4									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	119	3	4	4	1	1	3	4	10	5	19	6	4	0	2	15	27	1	5	2	3									
14	Число погашенных неиспользованных открепительных удостоверений	63	1	2	2	2	0	4	5	8	3	5	6	1	1	2	2	4	4	3	7	1									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	10	1	0	1	0	0	0	0	3	0	1	0	2	0	0	1	0	0	1	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																															
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	116	0	2	5	0	5	1	9	13	3	9	11	4	11	2	9	11	5	7	8	1									
		1.55%	0.00%	0.59%	1.59%	0.00%	1.69%	0.52%	4.33%	1.36%	2.33%	1.44%	1.32%	1.53%	4.80%	1.40%	1.91%	1.70%	1.66%	1.53%	1.53%	0.37%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	212	6	12	8	1	6	8	11	25	2	20	37	9	4	5	10	14	10	6	15	3									
		2.83%	2.47%	3.56%	2.54%	1.85%	2.03%	4.15%	5.29%	2.61%	1.55%	3.21%	4.44%	3.44%	1.75%	3.50%	2.12%	2.16%	3.32%	1.31%	2.86%	1.12%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	151	7	10	3	1	3	5	3	27	2	7	25	8	7	1	2	17	5	4	12	2									
		2.01%	2.88%	2.97%	0.95%	1.85%	1.02%	2.59%	1.44%	2.82%	1.55%	1.12%	2.99%	3.05%	3.06%	0.70%	0.42%	2.62%	1.66%	0.88%	2.29%	0.74%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4015	159	180	179	24	189	110	97	520	66	274	356	127	130	73	287	293	149	302	326	174									
		53.57%	65.43%	53.41%	56.83%	44.44%	64.07%	56.99%	46.63%	54.28%	51.16%	43.91%	42.69%	48.47%	56.77%	51.05%	60.81%	45.22%	49.50%	66.08%	62.21%	64.68%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	48	0	3	5	0	0	0	1	9	1	6	6	2	0	0	4	5	2	2	2	0									
		0.64%	0.00%	0.89%	1.59%	0.00%	0.00%	0.00%	0.48%	0.94%	0.78%	0.96%	0.72%	0.76%	0.00%	0.00%	0.85%	0.77%	0.66%	0.44%	0.38%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	13	0	2	0	0	1	0	0	1	0	2	1	0	0	0	2	1	1	0	1	1									
		0.17%	0.00%	0.59%	0.00%	0.00%	0.34%	0.00%	0.00%	0.10%	0.00%	0.32%	0.12%	0.00%	0.00%	0.00%	0.42%	0.15%	0.33%	0.00%	0.19%	0.37%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1300	37	63	39	18	52	27	36	147	32	124	143	41	39	31	79	137	70	69	76	40									
		17.34%	15.23%	18.69%	12.38%	33.33%	17.63%	13.99%	17.31%	15.34%	24.81%	19.87%	17.15%	15.65%	17.03%	21.68%	16.74%	21.14%	23.26%	15.10%	14.50%	14.87%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	33	1	2	2	0	1	2	2	3	0	8	3	0	1	0	2	2	0	1	1	2									
		0.44%	0.41%	0.59%	0.63%	0.00%	0.34%	1.04%	0.96%	0.31%	0.00%	1.28%	0.36%	0.00%	0.44%	0.00%	0.42%	0.31%	0.00%	0.22%	0.19%	0.74%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	45	1	1	1	2	3	1	3	4	0	4	7	1	1	2	3	2	2	0	4	3									
