Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																							
Дата голосования: 18.09.2016																																							
																																							
Наименование Избирательной комиссии:    Сухиничская																																							
																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																							
																																							
		Сумма	УИК №2301	УИК №2302	УИК №2303	УИК №2304	УИК №2305	УИК №2306	УИК №2307	УИК №2308	УИК №2309	УИК №2310	УИК №2311	УИК №2312	УИК №2313	УИК №2314	УИК №2315	УИК №2316	УИК №2317	УИК №2318	УИК №2319	УИК №2320	УИК №2321	УИК №2322	УИК №2323	УИК №2324	УИК №2325	УИК №2326	УИК №2327	УИК №2328									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	18673	1677	2271	1768	2046	1970	2360	1350	219	120	344	413	200	226	189	368	229	403	274	180	255	155	173	127	212	158	675	135	176									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	17310	1500	1900	1500	1900	1800	2200	1200	220	120	350	400	190	230	190	370	220	450	270	200	280	160	160	150	220	160	680	130	160									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8729	684	1025	766	903	830	994	643	123	79	220	225	94	92	95	134	118	236	153	147	159	101	138	57	104	69	336	66	138									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1369	100	77	17	75	51	73	84	34	14	55	79	37	95	45	93	42	56	26	19	32	8	22	38	28	25	100	25	19									
6	Число погашенных избирательных бюллетеней	7212	716	798	717	922	919	1133	473	63	27	75	96	59	43	50	143	60	158	91	34	89	51	0	55	88	66	244	39	3									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1369	100	77	17	75	51	73	84	34	14	55	79	37	95	45	93	42	56	26	19	32	8	22	38	28	25	100	25	19									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	8703	684	1025	766	903	830	994	641	123	79	220	225	94	92	95	133	118	235	153	147	159	101	116	57	104	69	336	66	138									
9	Число недействительных избирательных бюллетеней	172	23	17	16	12	18	38	9	3	0	2	4	0	1	1	3	0	6	2	1	2	2	3	0	2	0	5	2	0									
10	Число действительных избирательных бюллетеней	9900	761	1085	767	966	863	1029	716	154	93	273	300	131	186	139	223	160	285	177	165	189	107	135	95	130	94	431	89	157									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1095	90	47	65	65	23	40	45	15	25	20	20	50	20	25	65	40	80	35	50	40	15	60	30	20	15	40	10	45									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	689	17	44	21	55	21	40	29	13	8	20	20	8	20	11	42	12	80	26	32	40	15	2	30	20	15	40	6	2									
