Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																								
Дата голосования: 07.12.2003 0:00:00																																																								
																																																								
"Наименование Избирательной комиссии:    г.Ростова-на-Дону, Октябрьская"																																																								
																																																								
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																								
																																																								
		Сумма	УИК №1666	УИК №1667	УИК №1668	УИК №1669	УИК №1670	УИК №1671	УИК №1672	УИК №1673	УИК №1674	УИК №1675	УИК №1676	УИК №1677	УИК №1678	УИК №1679	УИК №1680	УИК №1681	УИК №1682	УИК №1683	УИК №1684	УИК №1685	УИК №1686	УИК №1687	УИК №1688	УИК №1689	УИК №1690	УИК №1691	УИК №1692	УИК №1693	УИК №1694	УИК №1695	УИК №1696	УИК №1697	УИК №1698	УИК №1699	УИК №1700	УИК №1701	УИК №1702	УИК №1703	УИК №1704	УИК №1705	УИК №1706	УИК №1707	УИК №1708	УИК №1709	УИК №1710	УИК №1711	УИК №1712	УИК №2490	УИК №2491					
1	"Число избирателей, внесенных в списки"	111380	2106	2289	1807	2677	2649	2746	2817	2207	2074	2721	2265	2326	2385	1941	1844	986	2207	2535	1632	2608	2032	3161	2021	1106	1794	1124	1635	1682	1762	2490	2457	2898	1770	2414	3111	3357	3352	2624	2166	2330	2345	2240	2371	2705	2576	3059	3083	2513	380					
2	"Число бюллетеней, полученных участковыми комиссиями"	109200	2000	2300	1800	2500	2800	2800	3000	2200	2000	2900	2200	2300	2200	1800	1800	1000	2200	2600	1500	2600	2000	3300	2000	1100	1800	1100	1600	1600	1700	2500	2400	2900	1800	2300	3200	3100	3000	2600	2000	2100	2300	2200	2300	2500	2500	3000	3000	2400	400					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	56105	1047	1239	1023	1321	1524	984	1776	1125	1012	1703	1347	1291	978	828	785	561	1127	1280	621	1253	1001	1672	1040	641	1024	711	681	655	740	1335	1101	947	695	947	1451	1715	2030	1382	1172	1189	1428	1131	1366	1094	1147	1842	1937	1082	124					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	5671	103	142	64	135	64	204	41	70	145	51	58	52	165	171	142	42	104	56	176	82	169	149	89	44	16	26	129	115	122	49	82	419	80	285	142	576	19	80	59	143	41	45	113	100	87	19	16	134	256					
6	Число погашенных бюллетеней	47423	850	918	713	1044	1212	1612	1183	1005	843	1146	795	957	1057	801	873	397	969	1264	703	1265	830	1479	871	415	760	363	790	830	838	1116	1217	1534	1025	1068	1607	809	951	1138	769	768	831	1024	821	1306	1266	1139	1047	1184	20					
7	Число бюллетеней в переносных ящиках для голосования	5670	103	142	64	135	64	204	41	70	145	51	58	52	165	171	142	42	104	56	176	82	169	149	89	44	16	26	129	115	122	49	82	419	80	285	142	576	19	80	59	143	41	45	113	100	86	19	16	134	256					
8	Число бюллетеней в стационарных ящиках для голосования	55776	1036	1239	1017	1321	1524	984	1776	1123	1012	1679	1344	1287	839	828	785	560	1127	1280	621	1253	1001	1672	1035	638	1024	709	681	655	740	1335	1101	947	695	929	1451	1715	2030	1288	1172	1189	1425	1131	1366	1094	1147	1835	1930	1082	124					
9	Число недействительных бюллетеней	487	9	7	5	10	12	12	16	18	8	3	16	9	19	7	0	8	3	9	8	29	12	6	12	7	6	3	9	4	10	10	9	5	9	12	26	6	23	10	7	15	15	11	2	11	7	12	9	11	0					
10	Число действительных бюллетеней	60959	1130	1374	1076	1446	1576	1176	1801	1175	1149	1727	1386	1330	985	992	927	594	1228	1327	789	1306	1158	1815	1112	675	1034	732	801	766	852	1374	1174	1361	766	1202	1567	2285	2026	1358	1224	1317	1451	1165	1477	1183	1226	1842	1937	1205	380					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	2645	20	37	40	47	57	37	117	37	24	383	47	37	26	30	10	40	56	71	20	35	47	97	57	60	80	40	40	40	26	32	57	20	40	57	137	57	97	52	60	57	37	27	37	42	27	57	57	37	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	2150	15	31	36	41	40	29	108	30	24	273	41	33	23	30	9	15	27	48	19	29	46	96	40	44	80	29	19	18	26	32	38	20	19	23	137	42	93	50	57	26	36	26	37	40	26	56	57	36	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	902	18	17	16	9	13	11	27	17	18	28	24	47	8	18	9	12	17	15	10	6	13	17	21	19	11	9	17	10	12	7	29	27	8	14	11	8	14	11	11	11	13	12	15	18	13	17	12	14	168					
14	Число погашенных открепительных удостоверений	495	5	6	4	6	17	8	9	7	0	110	6	4	3	0	1	25	29	23	1	6	1	1	17	16	0	11	21	22	0	0	19	0	21	34	0	15	4	2	3	31	1	1	0	2	1	1	0	1	0					
15	Число открепительных удостоверений выданных ТИК	5	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																								
18	"1. ""ЕДИНЕНИЕ"""	503	7	6	8	6	16	18	17	10	13	15	9	7	17	10	11	8	6	13	10	12	16	14	4	3	10	4	6	4	8	13	13	3	6	8	9	23	24	13	10	18	15	11	8	9	8	10	6	7	1					
		0.81%	0.61%	0.43%	0.74%	0.41%	1.00%	1.51%	0.93%	0.83%	1.12%	0.86%	0.64%	0.52%	1.69%	1.00%	1.18%	1.32%	0.48%	0.97%	1.25%	0.89%	1.36%	0.76%	0.35%	0.43%	0.96%	0.54%	0.74%	0.51%	0.92%	0.93%	1.09%	0.21%	0.77%	0.65%	0.56%	1.00%	1.17%	0.95%	0.81%	1.35%	1.02%	0.93%	0.54%	0.75%	0.64%	0.53%	0.30%	0.57%	0.26%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	3600	96	150	92	103	168	83	108	78	136	91	79	71	41	86	78	25	98	81	45	60	48	97	84	55	44	69	57	37	48	65	51	53	39	36	53	84	105	47	54	65	82	53	58	55	119	157	61	49	6					
