Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																																		
Дата голосования: 04.12.2011																																																																																																		
																																																																																																		
"Наименование Избирательной комиссии:    Омск, Кировская"																																																																																																		
																																																																																																		
Сводная таблица результатов выборов																																																																																																		
																																																																																																		
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91					
1	"Число избирателей, внесенных в список избирателей"	193402	1776	1570	2181	2128	2585	2084	1908	1882	1778	2150	2231	2314	1991	1907	1670	1791	1794	2110	2210	2458	2510	2372	2271	2499	2428	2489	2327	1582	1770	2114	1821	1996	2051	2109	2205	2112	118	2770	2727	2904	2251	2405	2386	2560	2243	1979	1709	1748	2764	2429	2762	2550	2097	2269	1970	2311	2146	2252	2335	2163	2356	2235	1864	1858	1902	1666	2032	1747	2083	2026	2052	506	478	472	2549	2632	2440	2112	2733	2615	2787	2624	2312	2541	2528	1166	2489	2302	2349	2041	2883					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	168936	1600	1400	1900	1900	2200	1900	1600	1600	1500	1900	2100	2100	1800	1600	1600	1600	1500	1700	2100	2100	2200	2100	2100	2200	2100	2200	2000	1400	1500	1900	1600	1800	1800	1800	2100	1900	116	2400	2400	2500	2100	2100	2100	2200	2100	1800	1400	1500	2300	2100	2400	2200	1800	1900	1700	2000	1800	1900	2000	1800	2000	1900	1600	1600	1600	1400	1800	1500	1800	1800	1800	415	425	480	2200	2300	2200	1800	2400	2300	2400	2200	2100	2200	2200	1000	2200	2100	2200	1800	2200					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	90888	555	626	699	789	1018	1000	703	748	644	767	955	1041	1109	992	962	978	520	1369	754	1279	1288	1200	1102	1239	1217	1332	1240	758	966	1078	826	1081	1107	1158	1144	1053	72	1437	1327	1480	610	683	1141	1250	896	963	916	873	1432	1133	1454	1351	997	1205	904	1119	1134	1231	1125	1073	1230	1182	1001	995	943	827	1008	887	1075	896	994	292	362	472	1198	1079	1197	991	1367	1144	1266	938	1077	1078	1135	427	1145	854	787	621	1317					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2452	78	32	14	13	28	38	19	20	10	30	24	25	13	32	33	15	14	29	10	20	26	19	16	23	20	16	43	29	22	31	50	30	37	25	22	22	44	14	10	22	19	71	40	29	30	24	11	20	28	36	20	9	21	20	15	26	27	28	50	17	57	32	24	26	19	24	19	27	22	21	16	122	63	0	11	23	14	23	23	25	26	13	32	36	20	3	25	37	37	37	36					
6	Число погашенных избирательных бюллетеней	75596	967	742	1187	1098	1154	862	878	832	846	1103	1121	1034	678	576	605	607	966	302	1336	801	886	881	982	938	863	852	717	613	512	791	724	689	656	617	934	825	0	949	1063	998	1471	1346	919	921	1174	813	473	607	840	931	926	840	782	675	781	855	639	641	825	710	713	686	575	579	638	549	773	586	703	883	790	1	0	8	991	1198	989	786	1010	1131	1108	1249	991	1086	1045	570	1030	1209	1376	1142	847					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2451	78	32	14	13	28	38	19	20	10	30	24	25	13	32	33	15	14	29	10	20	26	19	16	23	20	16	43	29	22	31	50	30	37	25	22	22	44	14	10	22	19	71	40	29	30	24	11	20	28	36	20	9	21	20	15	26	27	28	50	17	57	32	24	26	19	24	19	27	22	21	16	121	63	0	11	23	14	23	23	25	26	13	32	36	20	3	25	37	37	37	36					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	90403	555	626	699	789	1018	1000	702	746	644	767	955	1041	1109	991	908	977	520	1036	753	1279	1288	1200	1101	1239	1217	1332	1238	758	942	1077	826	1081	1107	1135	1144	1053	72	1437	1327	1480	610	683	1141	1250	896	963	916	871	1432	1133	1454	1350	997	1205	902	1119	1134	1225	1125	1073	1230	1175	1001	995	943	827	1008	884	1072	896	992	292	362	472	1198	1079	1197	985	1367	1144	1265	938	1075	1075	1135	427	1144	854	787	619	1317					
9	Число недействительных избирательных бюллетеней	1909	20	17	14	20	28	24	14	16	21	8	21	22	14	16	11	14	9	27	20	19	23	19	26	23	37	30	26	13	22	24	21	31	20	32	34	26	5	30	23	29	16	18	28	24	23	20	16	14	25	13	37	20	21	29	10	19	20	23	17	18	15	29	18	18	16	14	27	12	20	29	22	14	17	3	29	25	25	17	35	25	16	9	25	24	36	10	22	23	25	13	36					
10	Число действительных избирательных бюллетеней	90945	613	641	699	782	1018	1014	707	750	633	789	958	1044	1108	1007	930	978	525	1038	743	1280	1291	1200	1091	1239	1200	1318	1255	774	942	1084	855	1080	1124	1128	1132	1049	111	1421	1314	1473	613	736	1153	1255	903	967	911	877	1435	1156	1437	1339	997	1196	907	1126	1141	1230	1158	1072	1272	1178	1007	1003	946	837	1000	899	1074	888	986	399	408	469	1180	1077	1186	991	1355	1144	1275	942	1082	1087	1119	420	1147	868	799	643	1317					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	4177	40	35	40	40	50	40	40	40	30	40	40	40	50	40	30	30	22	40	40	63	70	55	60	65	50	70	50	40	40	40	40	50	60	40	50	40	0	60	70	80	40	40	60	60	50	50	30	45	70	50	61	65	50	50	60	50	50	40	50	41	60	50	40	50	40	30	40	30	42	40	40	0	0	33	60	75	50	40	60	50	80	50	40	50	50	25	50	40	50	40	40					
