Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																																		
Дата голосования: 02.12.2007																																																																																																		
																																																																																																		
"Наименование Избирательной комиссии:    Омск, Кировская"																																																																																																		
																																																																																																		
Сводная таблица результатов выборов																																																																																																		
																																																																																																		
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91					
1	"Число избирателей, внесенных в списки избирателей"	185614	1057	2105	2052	1063	2154	2961	1725	1631	2434	2510	1824	1931	2293	1708	2066	786	1758	2178	1837	1444	2003	1717	2120	1739	2170	2022	2546	2517	1228	2129	2593	2603	2586	2681	2586	2060	2594	2482	2171	2165	2484	2054	1901	1962	2323	2601	1587	1946	2091	2458	2174	2371	1822	2254	2364	2407	2541	1398	2313	2105	1731	1819	1583	977	2397	1872	2111	2276	2108	1930	1529	2164	1895	2225	2157	2171	1704	2618	2584	2183	2532	2451	2530	2201	2351	2468	2513	235	1342	968	604					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	179485	1000	2000	2000	2200	2000	2600	1500	1500	2200	2300	1600	1800	2200	1500	2000	1600	1600	2000	1600	1300	2000	1600	2000	1600	2000	1800	2500	2500	1200	2000	2500	2500	2500	2500	2500	1800	2500	2500	2000	2000	2500	2000	1800	1800	2300	2500	1500	1800	2000	2300	2100	2200	1700	2100	2200	2300	2500	2300	2300	1800	1600	1700	1400	1500	2200	1700	2000	2200	2100	1900	1500	2000	1800	2100	2100	2100	1600	2500	2500	2100	2500	2300	2500	2100	2300	2400	2400	250	1500	1000	635					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	102185	500	1129	960	996	808	1600	778	810	1132	1282	1067	1026	1076	757	880	766	881	1249	1021	877	1238	1053	846	1016	881	1204	1413	1388	659	1232	1491	1502	1345	1493	1438	750	914	1328	1147	1097	1373	1214	991	1150	1207	1478	947	1062	1197	1243	1233	1369	1041	1193	1362	1408	1496	1356	1425	1309	908	1024	910	926	1353	1092	1197	1345	1209	1079	851	1221	1058	1243	1091	1177	968	1312	1435	1085	1445	1298	1294	935	1226	1270	1362	184	1170	830	603					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	3452	22	56	73	67	46	50	75	25	37	49	48	30	47	29	52	20	34	27	23	18	30	33	27	21	26	17	33	38	16	25	19	18	27	14	24	48	99	61	21	25	45	20	19	44	70	43	19	46	40	39	50	41	28	44	45	49	54	42	37	41	40	39	33	51	42	38	47	52	32	25	8	29	37	31	21	40	5	20	20	19	18	34	25	20	52	24	24	50	172	138	0					
6	Число погашенных избирательных бюллетеней	73848	478	815	967	1137	1146	950	647	665	1031	969	485	744	1077	714	1068	814	685	724	556	405	732	514	1127	563	1093	579	1054	1074	525	743	990	980	1128	993	1038	1002	1487	1111	832	878	1082	766	790	606	1023	979	534	692	763	1018	817	790	631	863	793	843	950	902	838	450	652	637	457	523	805	570	756	803	859	796	641	750	705	826	988	883	627	1168	1045	996	1037	968	1181	1145	1022	1106	1014	16	158	32	32					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3452	22	56	73	67	46	50	75	25	37	49	48	30	47	29	52	20	34	27	23	18	30	33	27	21	26	17	33	38	16	25	19	18	27	14	24	48	99	61	21	25	45	20	19	44	70	43	19	46	40	39	50	41	28	44	45	49	54	42	37	41	40	39	33	51	42	38	47	52	32	25	8	29	37	31	21	40	5	20	20	19	18	34	25	20	52	24	24	50	172	138	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	102005	500	1129	960	996	808	1600	778	810	1132	1233	1067	1026	1075	757	880	766	881	1249	1020	875	1238	1049	846	979	881	1204	1413	1388	659	1227	1491	1501	1345	1493	1438	750	914	1327	1147	1096	1370	1214	991	1150	1207	1477	947	1057	1197	1243	1232	1369	1040	1193	1362	1405	1487	1354	1425	1307	907	1024	909	926	1351	1091	1197	1343	1209	1079	850	1220	1047	1243	1070	1177	965	1312	1435	1082	1445	1298	1294	935	1226	1270	1362	184	1170	827	602					
9	Число недействительных избирательных бюллетеней	1363	4	8	10	14	15	25	15	14	25	11	15	20	12	13	17	12	4	15	14	12	19	9	5	5	8	21	12	17	8	22	14	18	15	19	16	9	18	25	6	8	15	14	5	17	12	21	12	7	17	13	19	15	14	14	13	18	25	21	20	14	17	20	12	11	27	17	14	23	23	5	11	14	11	14	8	26	13	14	16	15	29	25	20	10	24	25	18	2	18	21	5					
10	Число действительных избирательных бюллетеней	104094	518	1177	1023	1049	839	1625	838	821	1144	1271	1100	1036	1110	773	915	774	911	1261	1029	881	1249	1073	868	995	899	1200	1434	1409	667	1230	1496	1501	1357	1488	1446	789	995	1363	1162	1113	1400	1220	1005	1177	1265	1499	954	1096	1220	1269	1263	1395	1054	1223	1394	1436	1516	1375	1442	1334	930	1043	930	966	1366	1112	1230	1372	1218	1099	847	1235	1073	1260	1083	1191	957	1318	1439	1086	1434	1307	1299	945	1254	1269	1368	232	1324	944	597					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	3606	16	40	30	30	30	40	30	20	40	40	20	30	40	30	30	50	30	50	30	30	70	30	30	30	30	30	40	50	30	51	30	40	40	40	60	40	30	60	40	65	50	45	40	70	60	46	39	40	40	50	55	60	50	60	40	40	50	45	60	40	40	49	30	40	40	40	50	40	55	40	40	40	50	40	35	40	30	55	40	40	40	40	40	30	40	40	40	0	0	0	30					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	3481	15	38	30	30	25	34	29	20	40	40	20	29	40	30	30	28	21	50	23	29	69	30	30	29	18	28	39	47	23	51	30	40	40	40	60	40	30	60	39	65	50	45	40	62	60	46	39	40	39	50	55	60	48	60	40	39	50	44	60	40	40	47	30	40	40	38	50	39	54	35	39	40	47	39	35	38	30	55	40	40	40	40	38	30	37	40	40	0	0	0	24					
