Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																				
Дата голосования: 18.09.2016																																																				
																																																				
Наименование Избирательной комиссии:    Кирово-Чепецкая городская																																																				
																																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																																				
																																																				
		Сумма	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	63125	165	1324	1769	1306	1627	341	1197	1805	1401	1716	1053	1789	1554	1595	1850	1803	2872	1256	1246	884	1529	1372	1534	1921	1395	1428	2249	1181	768	1677	1203	1800	1947	2720	1668	1228	726	1262	2814	1856	2294									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	60700	300	1300	1700	1300	1600	300	1100	1800	1400	1600	1000	1700	1500	1300	1800	1700	2800	1200	1200	800	1500	1300	1500	1600	1300	1400	2200	1100	700	1600	1200	1800	1900	2700	1600	1200	700	1200	2800	1800	2200									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	27102	54	547	798	551	668	86	545	752	580	792	372	622	597	659	792	784	1174	565	527	259	615	670	596	683	748	468	925	581	351	790	567	866	766	1260	789	596	295	605	1295	833	1079									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	703	111	19	16	26	8	1	7	17	12	14	21	16	9	5	17	5	23	6	13	0	2	11	10	9	7	29	13	12	162	11	6	2	6	18	7	9	1	9	13	7	13									
6	Число погашенных избирательных бюллетеней	32895	135	734	886	723	924	213	548	1031	808	794	607	1062	894	636	991	911	1603	629	660	541	883	619	894	908	545	903	1262	507	187	799	627	932	1128	1422	804	595	404	586	1492	960	1108									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	702	111	19	16	26	8	0	7	17	12	14	21	16	9	5	17	5	23	6	13	0	2	11	10	9	7	29	13	12	162	11	6	2	6	18	7	9	1	9	13	7	13									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	27046	54	547	798	551	668	86	543	752	580	792	372	622	596	658	791	779	1172	565	527	259	615	670	594	683	748	468	924	581	351	790	567	859	766	1260	789	576	295	605	1291	826	1076									
9	Число недействительных избирательных бюллетеней	775	6	17	28	19	18	23	17	18	38	19	10	26	17	25	18	21	36	18	16	4	21	10	12	15	20	11	31	12	5	19	28	26	18	29	21	17	8	23	13	18	24									
10	Число действительных избирательных бюллетеней	26973	159	549	786	558	658	63	533	751	554	787	383	612	588	638	790	763	1159	553	524	255	596	671	592	677	735	486	906	581	508	782	545	835	754	1249	775	568	288	591	1291	815	1065									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1200	0	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	317	0	6	6	6	11	0	5	7	8	6	7	8	7	3	6	5	15	10	7	9	13	8	14	12	5	5	10	12	0	4	4	13	10	19	6	8	3	5	12	16	6									
