Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																							
Дата голосования: 18.09.2016																																							
																																							
Наименование Избирательной комиссии:    Краснооктябрьская																																							
																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																							
																																							
		Сумма	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150	УИК №1151	УИК №1152	УИК №1153	УИК №1154	УИК №1155	УИК №1156	УИК №1157	УИК №1158									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	8754	113	99	1079	538	363	167	121	209	143	117	98	53	346	680	314	235	92	102	412	324	1454	224	198	121	188	164	358	442									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	8791	117	101	1077	543	363	167	118	209	142	120	98	53	350	675	322	237	91	102	416	333	1457	222	198	124	189	166	355	446									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4132	49	51	632	247	175	74	67	129	74	57	49	22	182	357	121	84	34	43	218	208	551	94	128	60	92	75	130	129									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	464	10	8	7	22	30	19	8	13	16	9	14	8	7	10	39	61	6	14	18	24	31	15	14	14	9	12	25	1									
6	Число погашенных избирательных бюллетеней	4195	58	42	438	274	158	74	43	67	52	54	35	23	161	308	162	92	51	45	180	101	875	113	56	50	88	79	200	316									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	464	10	8	7	22	30	19	8	13	16	9	14	8	7	10	39	61	6	14	18	24	31	15	14	14	9	12	25	1									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4132	49	51	632	247	175	74	67	129	74	57	49	22	182	357	121	84	34	43	218	208	551	94	128	60	92	75	130	129									
9	Число недействительных избирательных бюллетеней	122	2	1	6	7	1	3	9	3	0	2	0	1	13	0	7	0	9	0	2	5	22	0	6	0	9	2	8	4									
10	Число действительных избирательных бюллетеней	4474	57	58	633	262	204	90	66	139	90	64	63	29	176	367	153	145	31	57	234	227	560	109	136	74	92	85	147	126									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	107	3	1	5	4	3	2	2	3	2	4	2	4	5	5	3	6	2	2	3	6	19	3	2	2	3	2	3	6									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	24	2	0	0	1	1	0	0	0	0	0	0	3	0	0	0	3	0	0	0	1	9	0	0	0	0	1	0	3									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	41	1	1	1	0	1	0	3	2	1	1	0	4	0	3	2	1	1	2	0	2	7	2	0	1	0	1	2	2									
14	Число погашенных неиспользованных открепительных удостоверений	83	1	1	5	3	2	2	2	3	2	4	2	1	5	5	3	3	2	2	3	5	10	3	2	2	3	1	3	3									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	18	0	0	3	1	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	5	0	0	0	0	0	2	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																							
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	30	0	1	6	1	0	0	0	0	0	0	0	1	1	1	0	2	1	0	1	0	5	4	2	2	1	0	0	1									
		0.65%	0.00%	1.69%	0.94%	0.37%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.33%	0.53%	0.27%	0.00%	1.38%	2.50%	0.00%	0.42%	0.00%	0.86%	3.67%	1.41%	2.70%	0.99%	0.00%	0.00%	0.77%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	173	3	1	14	10	3	3	0	3	3	3	0	0	7	8	5	4	1	3	28	2	38	5	10	2	6	1	5	5									
		3.76%	5.08%	1.69%	2.19%	3.72%	1.46%	3.23%	0.00%	2.11%	3.33%	4.55%	0.00%	0.00%	3.70%	2.18%	3.13%	2.76%	2.50%	5.26%	11.86%	0.86%	6.53%	4.59%	7.04%	2.70%	5.94%	1.15%	3.23%	3.85%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	66	3	2	4	4	0	1	0	1	0	1	0	0	1	0	3	0	0	0	4	0	21	0	4	0	2	0	8	7									
		1.44%	5.08%	3.39%	0.63%	1.49%	0.00%	1.08%	0.00%	0.70%	0.00%	1.52%	0.00%	0.00%	0.53%	0.00%	1.88%	0.00%	0.00%	0.00%	1.69%	0.00%	3.61%	0.00%	2.82%	0.00%	1.98%	0.00%	5.16%	5.38%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2929	27	34	531	177	171	75	47	106	56	43	44	24	135	244	96	103	13	30	182	175	189	63	62	60	38	67	86	51									
		63.73%	45.76%	57.63%	83.10%	65.80%	83.41%	80.65%	62.67%	74.65%	62.22%	65.15%	69.84%	80.00%	71.43%	66.49%	60.00%	71.03%	32.50%	52.63%	77.12%	75.43%	32.47%	57.80%	43.66%	81.08%	37.62%	77.01%	55.48%	39.23%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	10	1	0	0	0	1	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	1									
		0.22%	1.69%	0.00%	0.00%	0.00%	0.49%	0.00%	0.00%	1.41%	0.00%	1.52%	0.00%	0.00%	0.00%	0.00%	0.63%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.35%	0.99%	0.00%	0.65%	0.77%									
24	"6. Политическая партия ""Гражданская Платформа"""	22	1	0	1	0	0	0	1	0	0	1	0	0	1	2	0	0	0	0	0	2	9	2	1	0	0	0	1	0									
		0.48%	1.69%	0.00%	0.16%	0.00%	0.00%	0.00%	1.33%	0.00%	0.00%	1.52%	0.00%	0.00%	0.53%	0.54%	0.00%	0.00%	0.00%	0.00%	0.00%	0.86%	1.55%	1.83%	0.70%	0.00%	0.00%	0.00%	0.65%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	303	8	12	14	17	6	2	0	11	17	0	2	1	9	42	13	5	4	12	12	5	54	8	14	3	4	3	11	14									
		6.59%	13.56%	20.34%	2.19%	6.32%	2.93%	2.15%	0.00%	7.75%	18.89%	0.00%	3.17%	3.33%	4.76%	11.44%	8.13%	3.45%	10.00%	21.05%	5.08%	2.16%	9.28%	7.34%	9.86%	4.05%	3.96%	3.45%	7.10%	10.77%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	18	0	1	6	1	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	3	0	0	0	1	0	0	1									
		0.39%	0.00%	1.69%	0.94%	0.37%	0.98%	1.08%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.53%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.43%	0.52%	0.00%	0.00%	0.00%	0.99%	0.00%	0.00%	0.77%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	13	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	3	0	2	0	0	0	1	1									
		0.28%	0.00%	0.00%	0.31%	0.37%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.53%	0.00%	0.00%	0.00%	0.00%	0.00%	0.42%	0.43%	0.52%	0.00%	1.41%	0.00%	0.00%	0.00%	0.65%	0.77%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	9	1	0	0	0	0	0	0	1	0	0	0	0	1	2	1	0	0	0	0	0	1	0	0	0	1	0	1	0									
		0.20%	1.69%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.70%	0.00%	0.00%	0.00%	0.00%	0.53%	0.54%	0.63%	0.00%	0.00%	0.00%	0.00%	0.00%	0.17%	0.00%	0.00%	0.00%	0.99%	0.00%	0.65%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	17	0	0	2	2	0	0	0	0	0	0	1	0	2	0	0	0	0	0	2	1	5	0	1	0	1	0	0	0									
		0.37%	0.00%	0.00%	0.31%	0.74%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.59%	0.00%	1.06%	0.00%	0.00%	0.00%	0.00%	0.00%	0.85%	0.43%	0.86%	0.00%	0.70%	0.00%	0.99%	0.00%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	827	13	5	51	48	19	8	17	15	12	15	14	3	14	67	28	29	9	10	0	37	226	25	38	6	36	14	26	42									
		17.99%	22.03%	8.47%	7.98%	17.84%	9.27%	8.60%	22.67%	10.56%	13.33%	22.73%	22.22%	10.00%	7.41%	18.26%	17.50%	20.00%	22.50%	17.54%	0.00%	15.95%	38.83%	22.94%	26.76%	8.11%	35.64%	16.09%	16.77%	32.31%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	1	0									
		0.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.63%	0.00%	0.00%	0.00%	0.00%	0.43%	0.00%	0.00%	0.70%	0.00%	0.99%	0.00%	0.65%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	52	0	2	2	1	2	0	1	0	2	0	2	0	3	1	5	2	3	2	4	2	6	2	1	0	0	0	6	3									
		1.13%	0.00%	3.39%	0.31%	0.37%	0.98%	0.00%	1.33%	0.00%	2.22%	0.00%	3.17%	0.00%	1.59%	0.27%	3.13%	1.38%	7.50%	3.51%	1.69%	0.86%	1.03%	1.83%	0.70%	0.00%	0.00%	0.00%	3.87%	2.31%									
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
