Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																	
Дата голосования: 18.09.2016																																																																	
																																																																	
Наименование Избирательной комиссии:    Лаишевская																																																																	
																																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																																	
																																																																	
		Сумма	УИК №1734	УИК №1735	УИК №1736	УИК №1737	УИК №1738	УИК №1739	УИК №1740	УИК №1741	УИК №1742	УИК №1743	УИК №1744	УИК №1745	УИК №1746	УИК №1747	УИК №1748	УИК №1749	УИК №1750	УИК №1751	УИК №1752	УИК №1753	УИК №1754	УИК №1755	УИК №1756	УИК №1757	УИК №1758	УИК №1759	УИК №1760	УИК №1761	УИК №1762	УИК №1763	УИК №1764	УИК №1765	УИК №1766	УИК №1767	УИК №1768	УИК №1769	УИК №1770	УИК №1771	УИК №1772	УИК №1773	УИК №1774	УИК №1775	УИК №1776	УИК №1777	УИК №1778	УИК №1779	УИК №1780	УИК №1781	УИК №1782	УИК №1783	УИК №1784	УИК №1785	УИК №1786	УИК №2828									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	29546	374	513	293	543	170	172	763	656	134	74	179	172	612	87	803	128	806	787	1108	1111	777	768	852	1071	845	726	639	516	629	1182	366	317	111	325	546	527	250	463	269	582	146	1117	247	94	520	616	787	1129	520	818	865	697	577	167									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	29912	380	540	298	545	175	175	765	665	139	74	184	177	630	95	795	129	850	820	1120	1125	785	780	860	1090	860	740	640	520	640	1180	375	317	111	325	550	540	260	490	280	585	143	1115	248	100	509	617	730	1136	520	825	870	690	580	220									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	27267	366	490	285	519	161	167	725	633	134	63	152	172	569	87	760	115	760	727	1064	1057	693	706	788	994	745	633	602	500	576	1075	337	247	90	304	543	527	233	444	208	553	132	1079	195	67	476	574	648	986	466	756	768	654	495	167									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1353	4	14	5	23	9	5	15	2	0	11	27	0	25	0	27	13	29	42	0	0	61	43	29	24	41	50	19	0	40	60	25	64	20	19	3	0	17	19	61	22	9	5	52	27	22	24	52	88	38	28	72	15	53	0									
6	Число погашенных избирательных бюллетеней	1292	10	36	8	3	5	3	25	30	5	0	5	5	36	8	8	1	61	51	56	68	31	31	43	72	74	57	19	20	24	45	13	6	1	2	4	13	10	27	11	10	2	31	1	6	11	19	30	62	16	41	30	21	32	53									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1353	4	14	5	23	9	5	15	2	0	11	27	0	25	0	27	13	29	42	0	0	61	43	29	24	41	50	19	0	40	60	25	64	20	19	3	0	17	19	61	22	9	5	52	27	22	24	52	88	38	28	72	15	53	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	27267	366	490	285	519	161	167	725	633	134	63	152	172	569	87	760	115	760	727	1064	1057	693	706	788	994	745	633	602	500	576	1075	337	247	90	304	543	527	233	444	208	553	132	1079	195	67	476	574	648	986	466	756	768	654	495	167									
9	Число недействительных избирательных бюллетеней	40	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	3	0	0	0	14	0	0	0	3	2	1									
10	Число действительных избирательных бюллетеней	28580	370	504	290	542	170	172	740	635	134	73	179	172	594	87	787	128	789	769	1064	1057	754	749	817	1018	786	683	620	500	616	1135	362	311	110	323	546	527	250	463	269	575	126	1084	247	91	498	598	700	1060	504	784	840	666	546	166									
