Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																			
Дата голосования: 07.12.2003 0:00:00																																																			
																																																			
Наименование Избирательной комиссии:    Аргаяшская																																																			
																																																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																			
																																																			
		Сумма	УИК  1	УИК  2	УИК  3	УИК  4	УИК  5	УИК  6	УИК  7	УИК  8	УИК  9	УИК  10	УИК  11	УИК  12	УИК  13	УИК  14	УИК  15	УИК  16	УИК  17	УИК  18	УИК  19	УИК  20	УИК  21	УИК  22	УИК  23	УИК  24	УИК  25	УИК  26	УИК  27	УИК  28	УИК  29	УИК  30	УИК  31	УИК  32	УИК  33	УИК  34	УИК  35	УИК  36	УИК  37	УИК  38	УИК  39	УИК  40	УИК  41	УИК  42	УИК  43	УИК  44					
1	"Число избирателей, внесенных в списки"	27849	1660	1711	926	1798	454	456	105	242	225	211	161	314	188	630	1387	602	233	1092	415	562	1240	548	622	373	150	713	430	593	443	392	927	1442	509	458	370	484	1009	790	812	246	1060	378	310	178					
2	"Число бюллетеней, полученных участковыми комиссиями"	27988	1500	1500	1600	1700	415	770	150	235	360	200	155	600	180	600	1300	560	230	1000	400	500	1100	500	600	350	150	700	430	500	415	380	1000	1350	460	493	350	550	950	800	830	225	1000	380	320	200					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	14538	763	835	894	800	270	447	96	144	225	153	105	305	121	220	604	281	133	525	169	206	696	293	303	169	101	316	190	369	212	189	441	603	240	285	191	278	423	355	478	163	500	164	153	130					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	693	28	59	32	17	6	9	9	0	0	1	2	9	0	4	42	0	19	4	13	25	9	0	7	15	2	10	34	20	46	16	9	10	15	28	0	8	24	57	19	0	37	17	31	0					
6	Число погашенных бюллетеней	12758	709	606	674	883	139	314	45	91	135	46	48	286	59	376	654	279	78	471	218	269	395	207	290	166	47	374	206	111	157	175	550	737	205	180	159	264	504	388	333	62	463	199	136	70					
7	Число бюллетеней в переносных ящиках для голосования	693	28	59	32	17	6	9	9	0	0	1	2	9	0	4	42	0	19	4	13	25	9	0	7	15	2	10	34	20	46	16	9	10	15	28	0	8	24	57	19	0	37	17	31	0					
8	Число бюллетеней в стационарных ящиках для голосования	14516	750	834	894	800	270	441	96	144	225	153	105	305	121	220	604	281	133	525	169	206	696	293	303	169	101	316	189	369	212	189	440	603	240	285	191	278	423	355	478	163	500	164	153	130					
9	Число недействительных бюллетеней	488	13	18	12	15	3	8	8	6	14	6	4	14	7	11	11	14	5	20	17	14	26	9	7	10	12	6	10	2	9	12	5	21	5	11	15	12	10	15	17	0	25	17	7	5					
10	Число действительных бюллетеней	14721	765	875	914	802	273	442	97	138	211	148	103	300	114	213	635	267	147	509	165	217	679	284	303	174	91	320	213	387	249	193	444	592	250	302	176	274	437	397	480	163	512	164	177	125					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	292	8	20	3	3	3	3	3	3	3	3	3	6	3	3	5	3	5	0	3	3	3	0	3	3	3	28	3	79	18	18	3	3	3	3	3	3	3	6	3	3	2	5	3	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	128	4	8	1	0	1	0	0	0	1	0	1	5	0	0	2	0	4	0	0	0	2	0	0	0	0	13	2	65	4	4	1	1	2	1	1	0	0	2	2	0	0	1	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	203	2	8	13	6	0	0	2	1	0	1	2	5	1	0	2	2	2	2	2	2	10	0	2	0	0	3	2	109	5	7	1	2	2	0	0	0	1	0	0	1	0	2	1	2					
14	Число погашенных открепительных удостоверений	164	4	12	2	3	2	3	3	3	2	3	2	1	3	3	3	3	1	0	3	3	1	0	3	3	3	15	1	14	14	14	2	2	1	2	2	3	3	4	1	3	2	4	3	5					
15	Число открепительных удостоверений выданных ТИК	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0					
																																																			
18	"1. ""ЕДИНЕНИЕ"""	271	6	13	9	8	2	4	1	4	15	7	4	3	8	5	9	7	13	10	5	4	15	7	11	2	4	2	3	6	1	9	6	5	1	5	1	12	2	4	11	9	14	0	1	3					
		1.78%	0.77%	1.45%	0.97%	0.97%	0.72%	0.88%	0.95%	2.77%	6.66%	4.54%	3.73%	0.95%	6.61%	2.23%	1.39%	2.49%	8.55%	1.89%	2.74%	1.73%	2.12%	2.38%	3.54%	1.08%	3.88%	0.61%	1.34%	1.54%	0.38%	4.39%	1.33%	0.81%	0.39%	1.59%	0.52%	4.19%	0.44%	0.97%	2.21%	5.52%	2.60%	0.0%	0.54%	2.30%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	223	12	7	20	11	4	7	4	7	1	4	2	3	3	0	12	8	2	2	4	8	20	4	2	2	1	2	1	11	3	4	9	12	2	7	3	4	6	0	2	0	4	0	1	2					
		1.46%	1.54%	0.78%	2.15%	1.34%	1.44%	1.55%	3.80%	4.86%	0.44%	2.59%	1.86%	0.95%	2.47%	0.0%	1.85%	2.84%	1.31%	0.37%	2.19%	3.46%	2.83%	1.36%	0.64%	1.08%	0.97%	0.61%	0.44%	2.82%	1.16%	1.95%	2.00%	1.95%	0.78%	2.23%	1.57%	1.39%	1.34%	0.0%	0.40%	0.0%	0.74%	0.0%	0.54%	1.53%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	1234	91	73	90	64	60	32	8	12	5	9	8	17	15	36	32	13	4	41	10	18	76	28	20	2	11	21	12	58	18	6	18	20	6	37	8	25	77	53	28	18	36	8	6	4					
		8.11%	11.69%	8.17%	9.71%	7.83%	21.73%	7.11%	7.61%	8.33%	2.22%	5.84%	7.47%	5.41%	12.39%	16.07%	4.95%	4.62%	2.63%	7.75%	5.49%	7.79%	10.78%	9.55%	6.45%	1.08%	10.67%	6.44%	5.38%	14.91%	6.97%	2.92%	4.00%	3.26%	2.35%	11.82%	4.18%	8.74%	17.22%	12.86%	5.63%	11.04%	6.70%	4.41%	3.26%	3.07%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	422	34	48	41	21	7	8	2	1	2	2	4	4	3	1	18	4	2	9	4	4	35	6	2	10	5	21	3	11	9	1	15	12	7	4	6	3	9	7	12	4	12	1	5	3					
		2.77%	4.37%	5.37%	4.42%	2.57%	2.53%	1.77%	1.90%	0.69%	0.88%	1.29%	3.73%	1.27%	2.47%	0.44%	2.78%	1.42%	1.31%	1.70%	2.19%	1.73%	4.96%	2.04%	0.64%	5.43%	4.85%	6.44%	1.34%	2.82%	3.48%	0.48%	3.34%	1.95%	2.74%	1.27%	3.14%	1.04%	2.01%	1.69%	2.41%	2.45%	2.23%	0.55%	2.71%	2.30%					
22	"5. ""За Русь Святую"""	37	2	6	1	2	0	1	0	0	0	2	0	0	0	1	1	0	1	0	0	0	5	0	0	0	1	0	0	4	0	0	0	3	0	0	0	0	0	2	4	0	0	1	0	0					
		0.24%	0.25%	0.67%	0.10%	0.24%	0.0%	0.22%	0.0%	0.0%	0.0%	1.29%	0.0%	0.0%	0.0%	0.44%	0.15%	0.0%	0.65%	0.0%	0.0%	0.0%	0.70%	0.0%	0.0%	0.0%	0.97%	0.0%	0.0%	1.02%	0.0%	0.0%	0.0%	0.48%	0.0%	0.0%	0.0%	0.0%	0.0%	0.48%	0.80%	0.0%	0.0%	0.55%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	40	1	0	2	1	0	3	0	0	0	0	0	0	2	0	1	2	2	0	2	0	3	2	0	0	0	3	0	1	0	0	3	1	2	0	2	2	1	0	1	0	2	0	1	0					
