Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																							
Дата голосования: 02.12.2007																																							
																																							
Наименование Избирательной комиссии:    район Зябликово																																							
																																							
Сводная таблица результатов выборов																																							
																																							
		Сумма	УИК №1718	УИК №1719	УИК №1720	УИК №1721	УИК №1722	УИК №1723	УИК №1724	УИК №1725	УИК №1726	УИК №1727	УИК №1728	УИК №1729	УИК №1730	УИК №1731	УИК №1732	УИК №1733	УИК №1734	УИК №1735	УИК №1736	УИК №1737	УИК №1738	УИК №1739	УИК №1740	УИК №1741	УИК №1742	УИК №1743	УИК №1744	УИК №1745	УИК №1746	УИК №1747	УИК №1748	УИК №3238					
1	"Число избирателей, внесенных в списки избирателей"	77507	2733	1957	1750	2459	2318	2086	2042	2823	2858	2242	2683	2143	2123	2680	2735	2788	2795	2384	2341	2115	2715	2840	2895	2589	2750	2503	2861	2763	2589	2546	1847	554					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	63800	2200	1600	1400	2000	1900	1700	1700	2700	2300	1800	2100	1700	1700	2200	2200	2300	2300	2000	2000	1700	2200	2200	2400	2100	2300	1900	2300	2200	2100	2100	1500	1000					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	49607	1662	1151	1151	1577	1578	1328	1358	2146	1846	1430	1756	1422	1410	1732	1704	1411	1693	1786	1886	1502	1721	1665	1549	1766	1575	1532	1914	1739	1705	1170	1188	554					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	786	39	45	23	18	22	19	15	26	20	30	19	38	16	7	6	20	16	12	67	45	29	44	19	16	12	32	12	34	22	42	21	0					
6	Число погашенных избирательных бюллетеней	13407	499	404	226	405	300	353	327	528	434	340	325	240	274	461	490	869	591	202	47	153	450	491	832	318	713	336	374	427	373	888	291	446					
7	Число избирательных бюллетеней в переносных ящиках для голосования	785	39	45	23	18	22	19	15	26	20	30	19	38	16	7	6	20	16	12	67	45	29	44	19	16	12	32	12	33	22	42	21	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	49336	1660	1146	1151	1577	1578	1328	1358	2146	1846	1430	1756	1392	1410	1732	1704	1396	1693	1774	1886	1457	1721	1541	1512	1766	1575	1532	1914	1739	1705	1170	1188	553					
9	Число недействительных избирательных бюллетеней	334	11	4	7	15	6	8	14	4	10	10	12	11	6	17	0	18	16	15	9	8	13	4	21	14	22	14	0	3	14	12	9	7					
10	Число действительных избирательных бюллетеней	49787	1688	1187	1167	1580	1594	1339	1359	2168	1856	1450	1763	1419	1420	1722	1710	1398	1693	1771	1944	1494	1737	1581	1510	1768	1565	1550	1926	1769	1713	1200	1200	546					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1473	60	40	30	55	40	30	33	60	50	45	40	40	45	70	70	40	60	60	50	50	30	40	55	50	40	50	60	50	40	50	40	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1316	47	35	25	48	39	28	33	53	42	39	38	39	41	70	70	36	56	48	38	41	29	37	51	45	31	43	55	45	38	42	34	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	1311	48	30	60	72	19	28	31	75	36	31	37	55	32	33	41	23	42	44	42	20	42	30	47	31	38	59	41	44	48	38	21	73					
14	Число погашенных неиспользованных открепительных удостоверений	157	13	5	5	7	1	2	0	7	8	6	2	1	4	0	0	4	4	12	12	9	1	3	4	5	9	7	5	5	2	8	6	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	1249	41	30	21	31	36	21	32	47	40	34	37	28	26	70	47	34	37	27	35	27	42	51	47	47	56	45	60	73	54	46	27	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																							
18	1.Политическая партия «Аграрная партия России»	717	43	7	15	6	25	15	20	35	15	9	5	20	33	20	3	45	30	27	26	12	51	14	26	13	53	21	12	21	13	44	6	32					
		1.43%	2.53%	0.59%	1.28%	0.38%	1.56%	1.11%	1.46%	1.61%	0.80%	0.62%	0.28%	1.40%	2.31%	1.15%	0.18%	3.18%	1.76%	1.51%	1.33%	0.80%	2.91%	0.88%	1.70%	0.73%	3.34%	1.34%	0.62%	1.19%	0.75%	3.63%	0.50%	5.79%					
19	2.Всероссийская политическая партия «Гражданская Сила»	497	38	11	12	3	0	0	14	40	9	8	7	11	29	17	2	32	12	17	16	10	33	13	26	11	28	25	13	6	15	28	5	6					
		0.99%	2.24%	0.92%	1.02%	0.19%	0.00%	0.00%	1.02%	1.84%	0.48%	0.55%	0.39%	0.77%	2.03%	0.98%	0.12%	2.26%	0.70%	0.95%	0.82%	0.67%	1.89%	0.82%	1.70%	0.62%	1.76%	1.60%	0.67%	0.34%	0.87%	2.31%	0.41%	1.08%					
20	3.Политическая партия «Демократическая партия России»	54	0	1	1	2	5	0	2	3	2	2	3	0	1	2	0	2	3	0	1	2	2	1	2	1	2	2	3	3	3	1	1	1					
		0.11%	0.00%	0.08%	0.09%	0.13%	0.31%	0.00%	0.15%	0.14%	0.11%	0.14%	0.17%	0.00%	0.07%	0.12%	0.00%	0.14%	0.18%	0.00%	0.05%	0.13%	0.11%	0.06%	0.13%	0.06%	0.13%	0.13%	0.16%	0.17%	0.17%	0.08%	0.08%	0.18%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	4945	217	94	89	198	124	116	66	297	205	146	223	235	111	145	141	187	113	80	187	167	209	165	165	143	155	157	76	209	138	149	124	114					
		9.87%	12.77%	7.89%	7.58%	12.41%	7.75%	8.61%	4.81%	13.67%	10.99%	10.00%	12.56%	16.43%	7.78%	8.34%	8.25%	13.21%	6.61%	4.48%	9.58%	11.12%	11.94%	10.41%	10.78%	8.02%	9.77%	10.04%	3.95%	11.79%	7.99%	12.29%	10.26%	20.61%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	532	40	5	11	17	15	3	16	44	12	17	4	14	21	10	6	69	18	14	12	11	20	24	18	16	11	24	5	4	28	17	4	2					
		1.06%	2.35%	0.42%	0.94%	1.07%	0.94%	0.22%	1.17%	2.03%	0.64%	1.16%	0.23%	0.98%	1.47%	0.58%	0.35%	4.87%	1.05%	0.78%	0.61%	0.73%	1.14%	1.51%	1.18%	0.90%	0.69%	1.53%	0.26%	0.23%	1.62%	1.40%	0.33%	0.36%					
23	6.Политическая партия «Партия социальной справедливости»	135	4	2	1	3	1	0	5	2	3	5	5	10	5	2	0	13	0	8	6	4	7	2	9	6	3	9	7	1	2	5	3	2					
		0.27%	0.24%	0.17%	0.09%	0.19%	0.06%	0.00%	0.36%	0.09%	0.16%	0.34%	0.28%	0.70%	0.35%	0.12%	0.00%	0.92%	0.00%	0.45%	0.31%	0.27%	0.40%	0.13%	0.59%	0.34%	0.19%	0.58%	0.36%	0.06%	0.12%	0.41%	0.25%	0.36%					
24	7.Политическая партия «Либерально-демократическая партия России»	1733	86	43	29	22	36	25	50	112	21	35	13	11	57	48	73	106	51	56	83	32	115	55	81	41	115	53	41	46	65	88	15	29					
		3.46%	5.06%	3.61%	2.47%	1.38%	2.25%	1.86%	3.64%	5.16%	1.13%	2.40%	0.73%	0.77%	3.99%	2.76%	4.27%	7.49%	2.98%	3.14%	4.25%	2.13%	6.57%	3.47%	5.29%	2.30%	7.25%	3.39%	2.13%	2.60%	3.76%	7.26%	1.24%	5.24%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	2144	126	32	37	60	25	30	56	125	67	29	83	96	7	50	89	136	67	68	89	103	131	78	43	35	125	78	29	35	35	91	37	52					
		4.28%	7.42%	2.69%	3.15%	3.76%	1.56%	2.23%	4.08%	5.76%	3.59%	1.99%	4.68%	6.71%	0.49%	2.88%	5.20%	9.60%	3.92%	3.81%	4.56%	6.86%	7.49%	4.92%	2.81%	1.96%	7.88%	4.99%	1.51%	1.98%	2.03%	7.51%	3.06%	9.40%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	388	15	4	11	2	1	0	14	20	3	11	0	6	10	10	16	27	13	12	10	20	21	10	16	12	23	29	15	4	9	14	14	16					
		0.77%	0.88%	0.34%	0.94%	0.13%	0.06%	0.00%	1.02%	0.92%	0.16%	0.75%	0.00%	0.42%	0.70%	0.58%	0.94%	1.91%	0.76%	0.67%	0.51%	1.33%	1.20%	0.63%	1.05%	0.67%	1.45%	1.85%	0.78%	0.23%	0.52%	1.16%	1.16%	2.89%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	37769	1052	975	940	1264	1355	1148	1098	1415	1504	1168	1420	1010	1108	1398	1376	690	1351	1445	1499	1115	1078	1199	1087	1449	997	1127	1715	1436	1386	732	961	271					
		75.36%	61.92%	81.86%	80.07%	79.25%	84.69%	85.23%	79.97%	65.15%	80.60%	80.00%	80.00%	70.63%	77.70%	80.39%	80.47%	48.73%	79.05%	80.91%	76.75%	74.23%	61.60%	75.65%	70.99%	81.31%	62.82%	72.06%	89.04%	81.04%	80.25%	60.40%	79.49%	49.01%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	873	67	13	21	3	7	2	18	75	15	20	0	6	38	20	4	91	35	44	15	18	70	20	37	41	53	25	10	4	19	31	30	21					
		1.74%	3.94%	1.09%	1.79%	0.19%	0.44%	0.15%	1.31%	3.45%	0.80%	1.37%	0.00%	0.42%	2.66%	1.15%	0.23%	6.43%	2.05%	2.46%	0.77%	1.20%	4.00%	1.26%	2.42%	2.30%	3.34%	1.60%	0.52%	0.23%	1.10%	2.56%	2.48%	3.80%					
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
