Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																					
Дата голосования: 07.12.2003 0:00:00																																																																					
																																																																					
Наименование Избирательной комиссии:    Арзамасская																																																																					
																																																																					
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																					
																																																																					
		Сумма	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102					
1	"Число избирателей, внесенных в списки"	35835	1119	152	141	342	484	616	112	234	2009	1600	403	1220	521	1401	213	65	152	59	1331	1647	2017	1132	464	468	537	111	173	236	1855	622	1185	26	311	286	1011	810	132	582	529	610	39	60	190	120	97	353	378	384	629	169	124	474	120	715	1209	660	843	82	604	1394	130	143					
2	"Число бюллетеней, полученных участковыми комиссиями"	32512	1000	150	130	340	450	600	110	230	1800	1400	400	1100	500	1200	200	65	250	60	1000	1400	1500	1000	450	460	500	100	170	230	1500	600	1000	37	320	280	900	800	125	580	530	600	70	60	180	115	95	350	380	370	630	160	120	490	125	700	1000	660	850	120	600	1100	130	140					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	17001	534	76	75	175	303	410	36	161	1002	792	142	572	266	419	115	39	108	34	626	682	809	615	234	238	234	59	68	65	889	310	682	8	147	109	390	396	69	307	271	268	30	53	100	68	49	154	155	221	300	110	40	193	71	361	563	360	392	38	282	589	68	69					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	955	10	0	0	0	44	26	41	0	16	0	10	67	16	133	8	0	0	0	6	14	14	0	18	17	26	0	0	0	8	9	23	9	24	3	13	50	0	48	0	0	0	2	6	0	11	0	0	14	27	16	19	33	0	30	2	13	8	14	60	23	16	8					
6	Число погашенных бюллетеней	14556	456	74	55	165	103	164	33	69	782	608	248	461	218	648	77	26	142	26	368	704	677	385	198	205	240	41	102	165	603	281	295	20	149	168	497	354	56	225	259	332	40	5	74	47	35	196	225	135	303	34	61	264	54	309	435	287	450	68	258	488	46	63					
7	Число бюллетеней в переносных ящиках для голосования	955	10	0	0	0	44	26	41	0	16	0	10	67	16	133	8	0	0	0	6	14	14	0	18	17	26	0	0	0	8	9	23	9	24	3	13	50	0	48	0	0	0	2	6	0	11	0	0	14	27	16	19	33	0	30	2	13	8	14	60	23	16	8					
8	Число бюллетеней в стационарных ящиках для голосования	17001	534	76	75	175	303	410	36	161	1002	792	142	572	266	419	115	39	108	34	626	682	809	615	234	238	234	59	68	65	889	310	682	8	147	109	390	396	69	307	271	268	30	53	100	68	49	154	155	221	300	110	40	193	71	361	563	360	392	38	282	589	68	69					
9	Число недействительных бюллетеней	383	14	0	0	4	1	5	1	1	17	16	7	20	10	10	5	0	0	1	12	14	19	9	2	8	6	0	2	3	19	13	21	0	7	6	8	6	3	15	14	5	2	0	1	0	3	2	3	4	5	2	0	0	0	9	20	3	7	1	5	7	3	2					
10	Число действительных бюллетеней	17573	530	76	75	171	346	431	76	160	1001	776	145	619	272	542	118	39	108	33	620	682	804	606	250	247	254	59	66	62	878	306	684	17	164	106	395	440	66	340	257	263	28	55	105	68	57	152	152	231	322	124	59	226	71	382	545	370	393	51	337	605	81	75					
