Выборы Президента Российской Федерации																																																																				
																																																																				
"Наименование Избирательной комиссии:    Ярославль, Дзержинская"																																																																				
																																																																				
Итоги голосования 																																																																				
																																																																				
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61					
1	"Число избирателей, внесенных в список"	134242	2931	2528	2481	2162	2461	2003	2219	2255	2298	2191	2136	2321	2280	2373	2305	2227	2116	2143	2532	2537	2572	2517	2166	2635	2414	2701	2229	2111	2226	1846	2679	2695	2458	2527	2107	2180	2069	1999	2309	2486	2275	2295	2462	2734	2709	2618	2157	2274	2026	2324	2635	2604	2347	2530	2130	2240	1904	207	168	47	131					
2	Число полученных избирательных бюллетеней	125740	2400	2700	2300	2000	2300	1700	2100	2100	2100	2100	2000	2200	2100	2200	2100	2100	2200	2000	2400	2300	2400	2300	2000	2400	2300	2500	2100	2000	2100	1800	2500	2500	2300	2200	2000	2100	1900	1900	2200	2300	2100	2100	2300	2500	2500	2500	2000	2100	1900	2200	2500	2400	2400	2300	2000	2100	2000	245	200	60	135					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	71214	1556	1185	1255	1088	1305	1171	1100	1193	1184	1150	1156	1237	1161	1278	1273	1240	1449	1172	1249	1379	1359	1247	1186	1396	1399	1387	1098	1013	1204	1031	1445	1368	1213	1295	1249	1160	1074	1133	1295	1384	1116	1189	1269	1518	1495	1412	1146	1281	1104	1066	1443	1382	1297	1359	1104	1217	618	184	125	47	125					
5	"Число избирательных бюллетеней, выданных вне помещения"	2861	110	128	56	56	12	9	42	20	29	43	18	30	31	46	50	67	30	43	33	20	46	31	31	27	24	14	46	74	45	39	53	63	95	21	64	67	67	68	35	52	38	41	35	58	73	81	51	76	33	32	49	48	80	69	55	48	146	13	0	0	0					
6	Число погашенных избирательных бюллетеней	51665	734	1387	989	856	983	520	958	887	887	907	826	933	908	876	777	793	721	785	1118	901	995	1022	783	977	877	1099	956	913	851	730	1002	1069	992	884	687	873	759	699	870	864	946	870	996	924	932	1007	803	743	763	1102	1008	970	1023	872	841	835	1236	48	75	13	10					
7	Число избирательных бюллетеней в переносных ящиках	2861	110	128	56	56	12	9	42	20	29	43	18	30	31	46	50	67	30	43	33	20	46	31	31	27	24	14	46	74	45	39	53	63	95	21	64	67	67	68	35	52	38	41	35	58	73	81	51	76	33	32	49	48	80	69	55	48	146	13	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	70774	1556	1185	1255	1088	1305	1168	1100	1193	1184	1149	1156	1237	1159	1278	1273	1238	1085	1172	1249	1378	1356	1245	1184	1396	1394	1384	1098	1013	1204	1031	1445	1368	1211	1295	1245	1160	1073	1133	1282	1384	1116	1189	1269	1518	1495	1411	1146	1281	1098	1065	1443	1359	1297	1358	1104	1217	618	184	125	47	125					
9	Число недействительных избирательных бюллетеней	856	31	19	27	16	13	9	11	10	19	18	22	14	20	12	12	11	13	15	4	14	10	12	7	18	8	11	12	12	18	49	11	13	14	6	12	8	20	19	12	11	6	14	12	23	16	17	19	10	17	12	14	23	14	16	23	15	7	2	1	0	2					
10	Число действительных избирательных бюллетеней	72779	1635	1294	1284	1128	1304	1168	1131	1203	1194	1174	1152	1253	1170	1312	1311	1294	1102	1200	1278	1384	1392	1264	1208	1405	1410	1387	1132	1075	1231	1021	1487	1418	1292	1310	1297	1219	1120	1182	1305	1425	1148	1216	1292	1553	1552	1475	1178	1347	1114	1085	1478	1384	1363	1411	1136	1250	757	195	124	47	123					
11	Число полученных открепительных  удостоверений	4995	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	150	85	0	0	0					
12	Число выданных открепительных удостоверений	701	8	10	9	13	20	7	15	13	12	10	7	10	16	14	12	20	7	13	15	12	13	14	8	6	16	19	14	10	11	12	8	15	6	12	15	7	10	8	16	11	17	17	17	20	20	12	12	11	15	15	17	7	14	7	9	13	4	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	412	7	9	5	5	13	9	3	8	3	4	0	11	7	9	8	4	4	3	9	6	8	8	6	6	3	5	7	7	7	4	3	4	11	8	5	7	6	4	11	13	4	4	9	14	4	2	7	2	7	8	8	5	8	7	7	7	9	0	30	3	7					
14	Число неиспользованных открепительных удостоверений	4294	77	75	76	72	65	78	70	72	73	75	78	75	69	71	73	65	78	72	70	73	72	71	77	79	69	66	71	75	74	73	77	70	79	73	70	78	75	77	69	74	68	68	68	65	65	73	73	74	70	70	68	78	71	78	76	72	146	85	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																				
18	. Глазьев Сергей Юрьевич	4008	62	30	37	51	71	65	59	76	64	96	69	52	88	66	76	71	63	80	64	78	70	47	59	52	83	93	67	50	67	48	64	69	78	71	132	59	72	68	70	73	55	62	66	72	122	93	77	89	51	70	129	84	71	75	58	69	38	7	1	2	7					
		5.44%	3.72%	2.28%	2.82%	4.46%	5.39%	5.52%	5.17%	6.27%	5.28%	8.05%	5.88%	4.10%	7.39%	4.98%	5.74%	5.44%	5.65%	6.58%	4.99%	5.58%	4.99%	3.68%	4.86%	3.65%	5.85%	6.65%	5.86%	4.60%	5.36%	4.49%	4.27%	4.82%	5.97%	5.40%	10.08%	4.81%	6.32%	5.66%	5.32%	5.08%	4.77%	5.04%	5.06%	4.57%	7.78%	6.23%	6.43%	6.56%	4.51%	6.38%	8.65%	5.97%	5.16%	5.26%	5.00%	5.45%	4.97%	3.55%	0.80%	4.26%	5.60%					
