Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																													
Дата голосования: 04.12.2011																																																													
																																																													
Наименование Избирательной комиссии:    Батыревская																																																													
																																																													
Сводная таблица результатов выборов																																																													
																																																													
		Сумма	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142					
1	"Число избирателей, внесенных в список избирателей"	29041	1296	1171	1046	755	1426	1196	1336	286	502	497	324	694	272	438	828	397	615	244	469	542	173	317	808	530	556	524	554	192	82	310	491	299	466	125	324	110	43	210	629	371	199	215	804	404	841	336	333	319	299	1255	952	689	495	452					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	29100	1250	1100	1000	700	1400	1170	1300	300	530	500	340	700	280	440	820	400	580	240	480	550	160	310	850	560	540	500	550	195	87	310	490	300	480	125	330	105	43	210	625	380	200	220	830	400	840	350	330	340	300	1300	1000	730	530	500					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	21557	956	778	704	496	1222	1010	1114	264	388	382	243	576	169	307	553	275	469	176	348	432	120	272	643	374	378	330	394	122	66	218	371	199	318	84	249	87	38	161	507	241	154	148	527	289	601	231	239	195	208	1056	729	464	366	316					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1334	27	11	22	21	16	14	15	7	34	30	20	17	15	23	25	19	38	14	27	34	21	15	36	39	28	5	31	28	4	23	27	21	41	9	21	8	5	30	34	34	10	12	30	5	44	6	16	25	9	96	63	52	40	37					
6	Число погашенных избирательных бюллетеней	6209	267	311	274	183	162	146	171	29	108	88	77	107	96	110	242	106	73	50	105	84	19	23	171	147	134	165	125	45	17	69	92	80	121	32	60	10	0	19	84	105	36	60	273	106	195	113	75	120	83	148	208	214	124	147					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1334	27	11	22	21	16	14	15	7	34	30	20	17	15	23	25	19	38	14	27	34	21	15	36	39	28	5	31	28	4	23	27	21	41	9	21	8	5	30	34	34	10	12	30	5	44	6	16	25	9	96	63	52	40	37					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	21553	956	778	704	496	1221	1010	1114	264	388	382	243	576	169	307	553	275	469	175	348	432	120	272	643	374	378	330	394	122	66	218	371	198	318	84	249	87	38	161	507	241	154	148	527	289	601	231	238	195	208	1056	729	464	366	316					
9	Число недействительных избирательных бюллетеней	746	25	21	11	15	40	23	72	4	18	18	15	12	3	23	16	6	8	5	18	16	9	3	9	7	45	20	30	2	1	8	10	9	15	5	4	1	0	1	17	11	3	0	22	0	37	7	10	6	17	15	17	23	5	8					
10	Число действительных избирательных бюллетеней	22141	958	768	715	502	1197	1001	1057	267	404	394	248	581	181	307	562	288	499	184	357	450	132	284	670	406	361	315	395	148	69	233	388	210	344	88	266	94	43	190	524	264	161	160	535	294	608	230	244	214	200	1137	775	493	401	345					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2137	90	80	70	55	90	80	85	20	40	35	20	50	20	30	55	25	40	20	30	40	10	27	60	40	40	35	40	15	5	20	30	20	30	10	20	10	5	15	40	25	15	15	60	25	60	40	20	35	20	140	75	50	55	55					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1281	54	36	48	21	25	26	20	13	40	26	19	6	10	20	15	21	17	9	23	29	5	26	52	35	11	5	22	13	5	4	29	10	28	7	20	1	3	11	18	13	2	13	35	4	20	26	5	25	5	124	75	47	49	55					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	201	13	7	15	8	0	3	1	1	0	3	2	2	1	5	2	3	2	1	1	8	8	1	2	2	1	4	6	1	0	1	5	2	6	3	3	1	3	3	5	1	2	4	9	0	7	2	1	2	0	9	8	3	9	9					
14	Число погашенных неиспользованных открепительных удостоверений	856	36	44	22	34	65	54	65	7	0	9	1	44	10	10	40	4	23	11	7	11	5	1	8	5	29	30	18	2	0	16	1	10	2	3	0	9	2	4	22	12	13	2	25	21	40	14	15	10	15	16	0	3	6	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	38	8	2	3	1	0	1	0	0	1	1	1	1	0	0	0	1	0	0	3	0	0	0	1	0	1	0	5	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	0	1	0	1					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																													
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2452	118	153	119	60	108	97	115	43	54	45	41	41	18	31	63	25	42	40	57	75	15	22	82	70	30	34	64	29	6	7	47	29	23	6	36	4	2	27	32	16	18	5	47	28	54	18	47	26	22	54	51	69	31	56					
		10.71%	12.00%	19.39%	16.39%	11.61%	8.73%	9.47%	10.19%	15.87%	12.80%	10.92%	15.59%	6.91%	9.78%	9.39%	10.90%	8.50%	8.28%	21.16%	15.20%	16.09%	10.64%	7.67%	12.08%	16.95%	7.39%	10.15%	15.06%	19.33%	8.57%	2.90%	11.81%	13.24%	6.41%	6.45%	13.33%	4.21%	4.65%	14.14%	5.91%	5.82%	10.98%	3.13%	8.44%	9.52%	8.37%	7.59%	18.50%	11.82%	10.14%	4.69%	6.44%	13.37%	7.64%	15.86%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1208	92	59	48	43	46	24	31	8	29	29	14	6	9	16	40	20	29	10	24	26	4	12	34	15	22	21	25	9	0	13	25	17	24	4	12	6	4	15	24	14	6	6	32	36	14	17	15	14	23	65	10	24	9	34					
		5.28%	9.36%	7.48%	6.61%	8.32%	3.72%	2.34%	2.75%	2.95%	6.87%	7.04%	5.32%	1.01%	4.89%	4.85%	6.92%	6.80%	5.72%	5.29%	6.40%	5.58%	2.84%	4.18%	5.01%	3.63%	5.42%	6.27%	5.88%	6.00%	0.00%	5.39%	6.28%	7.76%	6.69%	4.30%	4.44%	6.32%	9.30%	7.85%	4.44%	5.09%	3.66%	3.75%	5.75%	12.24%	2.17%	7.17%	5.91%	6.36%	10.60%	5.64%	1.26%	4.65%	2.22%	9.63%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	279	6	16	6	7	14	7	11	2	6	6	1	6	6	46	3	5	2	2	5	6	1	2	8	10	4	3	6	3	0	2	3	4	3	0	2	0	0	1	5	1	4	0	5	3	2	4	8	1	5	8	4	4	6	4					
