Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																													
Дата голосования: 02.12.2007																																																													
																																																													
Наименование Избирательной комиссии:    Батыревская																																																													
																																																													
Сводная таблица результатов выборов																																																													
																																																													
		Сумма	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143					
1	"Число избирателей, внесенных в списки избирателей"	28505	1254	1134	1050	747	1412	1082	1336	275	460	441	283	642	226	403	856	395	612	258	499	536	189	315	775	483	543	539	574	203	92	322	452	304	456	117	323	108	54	199	611	362	193	209	850	394	798	358	336	335	284	1217	945	650	534	480					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	28933	1250	1080	1040	745	1440	1090	1360	290	465	470	280	640	225	415	860	420	635	250	490	565	195	315	800	515	530	525	525	195	98	315	460	295	500	125	315	103	52	210	660	385	200	200	880	400	820	350	320	330	280	1290	980	670	565	520					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	22086	900	811	763	488	1291	974	1213	245	395	377	242	545	197	301	602	307	452	181	383	445	152	240	645	423	400	358	450	162	70	210	374	232	343	90	233	95	43	153	460	231	160	150	572	270	552	250	273	242	212	958	695	537	389	350					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1554	29	16	29	27	48	27	63	14	35	23	14	42	13	39	23	24	21	13	22	26	21	17	55	23	35	37	33	21	10	17	37	33	44	10	45	6	3	28	53	29	15	11	61	21	43	14	10	26	16	60	52	39	43	38					
6	Число погашенных избирательных бюллетеней	5293	321	253	248	230	101	89	84	31	35	70	24	53	15	75	235	89	162	56	85	94	22	58	100	69	95	130	42	12	18	88	49	30	113	25	37	2	6	29	147	125	25	39	247	109	225	86	37	62	52	272	233	94	133	132					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1554	29	16	29	27	48	27	63	14	35	23	14	42	13	39	23	24	21	13	22	26	21	17	55	23	35	37	33	21	10	17	37	33	44	10	45	6	3	28	53	29	15	11	61	21	43	14	10	26	16	60	52	39	43	38					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	22086	900	811	763	488	1291	974	1213	245	395	377	242	545	197	301	602	307	452	181	383	445	152	240	645	423	400	358	450	162	70	210	374	232	343	90	233	95	43	153	460	231	160	150	572	270	552	250	273	242	212	958	695	537	389	350					
9	Число недействительных избирательных бюллетеней	471	20	14	58	8	18	10	13	4	7	10	1	6	1	6	23	6	9	3	19	1	4	4	9	0	33	6	15	4	1	4	12	6	6	1	6	1	0	1	10	3	2	2	16	3	17	3	2	2	7	10	25	9	5	5					
10	Число действительных избирательных бюллетеней	23169	909	813	734	507	1321	991	1263	255	423	390	255	581	209	334	602	325	464	191	386	470	169	253	691	446	402	389	468	179	79	223	399	259	381	99	272	100	46	180	503	257	173	159	617	288	578	261	281	266	221	1008	722	567	427	383					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	2481	100	80	96	60	100	80	100	20	50	60	25	50	20	30	70	40	50	20	40	45	15	25	70	65	50	50	40	15	10	25	40	25	55	20	30	10	5	15	85	30	15	15	70	30	65	25	30	25	30	125	80	70	45	40					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1567	28	30	45	23	48	26	20	18	47	60	22	34	19	19	39	40	46	4	32	44	7	16	64	65	14	10	17	11	4	14	28	11	55	17	17	3	0	15	74	15	5	15	26	18	27	20	12	11	8	125	62	67	35	35					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	288	8	9	19	7	8	2	2	3	5	9	1	1	2	1	5	5	5	4	5	5	0	1	21	14	2	2	6	3	2	2	7	1	4	5	4	0	2	1	8	0	1	11	3	1	2	4	1	10	0	19	20	14	10	1					
14	Число погашенных неиспользованных открепительных удостоверений	914	72	50	51	37	52	54	80	2	3	0	3	16	1	11	31	0	4	16	8	1	8	9	6	0	36	40	23	4	6	11	12	14	0	3	13	7	5	0	11	15	10	0	44	12	38	5	18	14	22	0	18	3	10	5					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	19	0	1	3	0	0	1	0	0	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																													
18	1.Политическая партия «Аграрная партия России»	189	7	11	5	2	4	4	4	2	2	1	2	2	0	2	8	1	3	1	9	4	0	4	12	4	0	6	5	0	0	2	7	0	3	0	2	0	0	3	9	1	2	0	3	0	9	13	7	2	2	5	5	1	5	3					
		0.80%	0.75%	1.33%	0.63%	0.39%	0.30%	0.40%	0.31%	0.77%	0.47%	0.25%	0.78%	0.34%	0.00%	0.59%	1.28%	0.30%	0.63%	0.52%	2.22%	0.85%	0.00%	1.56%	1.71%	0.90%	0.00%	1.52%	1.04%	0.00%	0.00%	0.88%	1.70%	0.00%	0.78%	0.00%	0.72%	0.00%	0.00%	1.66%	1.75%	0.38%	1.14%	0.00%	0.47%	0.00%	1.51%	4.92%	2.47%	0.75%	0.88%	0.49%	0.67%	0.17%	1.16%	0.77%					
19	2.Всероссийская политическая партия «Гражданская Сила»	37	0	2	2	0	2	1	0	0	1	0	1	0	1	0	1	2	0	0	1	0	0	0	1	1	0	0	1	0	0	0	2	1	2	0	0	0	0	0	1	0	0	0	3	0	0	0	2	0	2	5	2	0	0	0					
		0.16%	0.00%	0.24%	0.25%	0.00%	0.15%	0.10%	0.00%	0.00%	0.23%	0.00%	0.39%	0.00%	0.48%	0.00%	0.16%	0.60%	0.00%	0.00%	0.25%	0.00%	0.00%	0.00%	0.14%	0.22%	0.00%	0.00%	0.21%	0.00%	0.00%	0.00%	0.49%	0.38%	0.52%	0.00%	0.00%	0.00%	0.00%	0.00%	0.19%	0.00%	0.00%	0.00%	0.47%	0.00%	0.00%	0.00%	0.71%	0.00%	0.88%	0.49%	0.27%	0.00%	0.00%	0.00%					
