Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																										
Дата голосования: 04.12.2011																																																																										
																																																																										
Наименование Избирательной комиссии:    Минераловодская																																																																										
																																																																										
Сводная таблица результатов выборов																																																																										
																																																																										
		Сумма	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823					
1	"Число избирателей, внесенных в список избирателей"	100786	980	1323	1865	1691	1363	1161	1981	2801	2283	1403	2210	2373	1666	1282	2141	2085	1785	1856	2126	2018	2737	2593	1531	1570	1556	1213	1721	1943	1302	567	2564	2062	2619	1632	1000	2045	623	335	1193	718	1741	373	275	1107	853	2048	1064	1198	1868	2142	1491	2843	393	1657	2104	2278	468	205	1483	1494	1021	1545	1633	571	118	125	771					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	89390	900	1200	1700	1300	1200	1000	1800	2500	2100	1300	2000	2100	1300	1100	2000	1900	1600	1700	2000	1800	2500	2300	1100	1400	1400	1100	1300	1800	1100	500	2300	1900	2400	1500	900	1900	500	300	1000	600	1600	300	200	1000	800	1900	900	1000	1700	1900	1300	2500	300	1300	1900	2000	400	190	1300	1400	900	1400	1500	500	100	100	700					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	38345	318	467	596	552	574	337	657	956	831	479	840	1052	675	464	956	817	643	805	754	872	979	1100	464	540	558	454	523	923	488	202	1097	811	1046	624	395	845	232	141	492	245	686	113	169	554	332	702	436	349	731	842	520	1214	185	731	772	591	167	163	488	602	332	680	557	210	56	61	298					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	3046	46	47	66	99	24	23	36	29	17	12	55	38	103	57	26	26	87	23	38	68	26	13	71	73	44	30	77	70	53	20	79	138	31	14	23	34	8	14	22	11	63	22	17	52	27	106	38	36	43	40	15	31	2	104	84	87	48	7	103	81	81	51	65	30	5	0	37					
6	Число погашенных избирательных бюллетеней	47999	536	686	1038	649	602	640	1107	1515	1252	809	1105	1010	522	579	1018	1057	870	872	1208	860	1495	1187	565	787	798	616	700	807	559	278	1124	951	1323	862	482	1021	260	145	486	344	851	165	14	394	441	1092	426	615	926	1018	765	1255	113	465	1044	1322	185	20	709	717	487	669	878	260	39	39	365					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3046	46	47	66	99	24	23	36	29	17	12	55	38	103	57	26	26	87	23	38	68	26	13	71	73	44	30	77	70	53	20	79	138	31	14	23	34	8	14	22	11	63	22	17	52	27	106	38	36	43	40	15	31	2	104	84	87	48	7	103	81	81	51	65	30	5	0	37					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	38221	318	467	596	552	574	337	657	956	831	479	840	1052	675	464	956	817	640	805	754	872	979	1100	464	540	557	454	523	853	488	202	1097	811	1045	624	395	811	232	141	492	245	686	113	169	552	332	702	436	349	731	842	520	1214	185	731	772	591	167	163	488	602	332	667	557	210	56	61	298					
9	Число недействительных избирательных бюллетеней	960	0	13	9	11	16	5	13	17	27	10	23	9	11	18	16	19	17	26	17	16	19	18	13	10	13	9	15	17	8	12	32	30	25	19	18	29	2	7	18	3	16	2	3	9	9	15	23	15	12	37	35	30	4	11	19	20	4	1	8	12	12	13	11	11	3	3	12					
10	Число действительных избирательных бюллетеней	40307	364	501	653	640	582	355	680	968	821	481	872	1081	767	503	966	824	710	802	775	924	986	1095	522	603	588	475	585	906	533	210	1144	919	1051	619	400	816	238	148	496	253	733	133	183	595	350	793	451	370	762	845	500	1215	183	824	837	658	211	169	583	671	401	705	611	229	58	58	323					
