Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																											
Дата голосования: 02.12.2007																																																											
																																																											
Наименование Избирательной комиссии:    Кущевская																																																											
																																																											
Сводная таблица результатов выборов																																																											
																																																											
		Сумма	УИК №2801	УИК №2802	УИК №2803	УИК №2804	УИК №2805	УИК №2806	УИК №2807	УИК №2808	УИК №2809	УИК №2810	УИК №2811	УИК №2812	УИК №2813	УИК №2814	УИК №2815	УИК №2816	УИК №2817	УИК №2818	УИК №2819	УИК №2820	УИК №2821	УИК №2822	УИК №2823	УИК №2824	УИК №2825	УИК №2826	УИК №2827	УИК №2828	УИК №2829	УИК №2830	УИК №2831	УИК №2832	УИК №2833	УИК №2834	УИК №2835	УИК №2836	УИК №2837	УИК №2838	УИК №2839	УИК №2840	УИК №2841	УИК №2842	УИК №2843	УИК №2844	УИК №2845	УИК №2846	УИК №2847	УИК №2848	УИК №2849	УИК №2850	УИК №2851	УИК №2852					
1	"Число избирателей, внесенных в списки избирателей"	53419	2068	2558	2392	1385	2454	2634	1226	1426	517	2030	1227	1025	1214	2883	203	775	2756	1587	272	1045	324	716	1063	2040	767	103	93	869	163	256	145	163	246	689	560	255	198	246	377	871	2538	2851	194	363	268	201	151	427	272	2407	1353	573					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	52578	2050	2400	2400	1350	2450	2650	1200	1400	500	1950	1200	1000	1200	2850	200	750	2700	1550	250	1050	300	700	1050	2000	750	100	90	850	150	250	150	180	247	693	550	250	200	250	370	850	2500	2850	200	365	250	200	150	430	270	2400	1333	550					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	29596	1026	1248	1236	715	1199	1420	651	625	392	1311	527	704	633	1665	133	578	1457	948	160	565	216	318	534	1075	466	81	72	490	133	165	101	96	115	395	330	124	96	131	158	405	1324	1505	177	192	203	137	96	241	173	1654	830	370					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2636	71	219	67	21	111	73	63	91	11	27	93	89	21	46	16	47	64	21	0	33	18	123	105	166	28	0	0	44	0	16	31	30	20	22	74	60	38	29	72	155	71	63	0	56	7	3	0	23	18	63	105	12					
6	Число погашенных избирательных бюллетеней	20346	953	933	1097	614	1140	1157	486	684	97	612	580	207	546	1139	51	125	1179	581	90	452	66	259	411	759	256	19	18	316	17	69	18	54	112	276	146	66	66	90	140	290	1105	1282	23	117	40	60	54	166	79	683	398	168					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2636	71	219	67	21	111	73	63	91	11	27	93	89	21	46	16	47	64	21	0	33	18	123	105	166	28	0	0	44	0	16	31	30	20	22	74	60	38	29	72	155	71	63	0	56	7	3	0	23	18	63	105	12					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	29592	1026	1248	1236	715	1199	1420	651	625	392	1311	527	704	633	1665	133	578	1457	948	160	565	216	318	534	1074	466	81	72	490	133	165	101	96	115	395	330	124	96	131	158	405	1324	1505	177	190	203	137	96	241	172	1654	830	370					
9	Число недействительных избирательных бюллетеней	461	11	22	13	21	16	18	10	3	7	3	18	8	12	28	0	4	10	28	1	5	2	8	8	38	11	1	1	6	0	5	5	3	10	1	5	0	1	1	3	4	22	9	0	10	5	4	7	8	8	9	20	8					
10	Число действительных избирательных бюллетеней	31767	1086	1445	1290	715	1294	1475	704	713	396	1335	602	785	642	1683	149	621	1511	941	159	593	232	433	631	1202	483	80	71	528	133	176	127	123	125	416	399	184	133	159	227	556	1373	1559	177	236	205	136	89	256	182	1708	915	374					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	690	15	26	31	18	32	26	16	19	7	45	16	13	16	38	3	10	35	20	4	13	4	10	14	27	10	1	1	12	2	3	2	2	6	6	7	3	3	3	5	12	34	38	3	5	3	3	2	6	4	32	17	7					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	276	11	15	17	4	9	12	4	6	2	42	2	8	6	13	0	1	30	4	1	4	0	0	6	8	6	0	0	1	0	1	1	0	0	2	6	0	0	1	0	0	21	24	0	2	0	0	0	2	0	2	2	0					
