Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																														
Дата голосования: 18.09.2016																																														
																																														
Наименование Избирательной комиссии:    Тавдинская																																														
																																														
Сводная таблица итогов голосования по федеральному избирательному округу																																														
																																														
		Сумма	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	31904	585	552	457	670	416	723	455	1780	1730	782	1488	1498	1223	1140	1805	1479	2178	1745	280	1515	717	1761	719	1157	166	172	519	354	410	167	261	730	442	168	1660									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	32370	550	550	445	680	430	730	470	1780	1860	815	1515	1515	1140	1155	1805	1515	2190	1715	270	1565	715	1770	810	1160	170	170	540	355	410	170	265	735	460	290	1655									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	12041	217	178	140	258	168	234	140	626	613	336	629	529	483	442	773	645	884	641	78	467	270	590	209	423	82	40	186	137	180	71	99	270	211	124	668									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1047	74	11	24	31	5	20	30	32	35	7	53	33	22	29	23	51	53	68	23	38	9	37	67	28	4	12	37	45	34	2	10	10	13	44	33									
6	Число погашенных избирательных бюллетеней	19278	259	361	281	391	257	476	300	1122	1212	472	833	953	635	684	1009	819	1253	1006	169	1060	436	1143	534	709	84	118	313	173	196	97	156	455	236	122	954									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1051	74	11	24	31	5	20	30	32	35	7	53	33	22	29	23	51	53	68	23	38	9	37	67	28	4	12	41	45	34	2	10	10	13	44	33									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	12041	217	178	140	258	168	234	140	626	613	336	629	529	483	442	773	645	884	641	78	467	270	590	209	423	82	40	186	137	180	71	99	270	211	124	668									
9	Число недействительных избирательных бюллетеней	280	4	4	6	7	0	5	1	11	16	3	12	10	14	5	14	20	14	9	1	7	3	19	8	11	2	0	7	6	6	2	4	15	7	5	22									
10	Число действительных избирательных бюллетеней	12812	287	185	158	282	173	249	169	647	632	340	670	552	491	466	782	676	923	700	100	498	276	608	268	440	84	52	220	176	208	71	105	265	217	163	679									
