Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																								
Дата голосования: 04.12.2011																																																																								
																																																																								
Наименование Избирательной комиссии:    Крымская																																																																								
																																																																								
Сводная таблица результатов выборов																																																																								
																																																																								
		Сумма	УИК №2601	УИК №2602	УИК №2603	УИК №2604	УИК №2605	УИК №2606	УИК №2607	УИК №2608	УИК №2609	УИК №2610	УИК №2611	УИК №2612	УИК №2613	УИК №2614	УИК №2615	УИК №2616	УИК №2617	УИК №2618	УИК №2619	УИК №2620	УИК №2621	УИК №2622	УИК №2623	УИК №2624	УИК №2625	УИК №2626	УИК №2627	УИК №2628	УИК №2629	УИК №2630	УИК №2631	УИК №2632	УИК №2633	УИК №2634	УИК №2635	УИК №2636	УИК №2637	УИК №2638	УИК №2639	УИК №2640	УИК №2641	УИК №2642	УИК №2643	УИК №2644	УИК №2645	УИК №2646	УИК №2647	УИК №2648	УИК №2649	УИК №2650	УИК №2651	УИК №2652	УИК №2653	УИК №2654	УИК №2655	УИК №2656	УИК №2657	УИК №2658	УИК №2659	УИК №2660	УИК №2661	УИК №2662	УИК №2663	УИК №2664	УИК №2665					
1	"Число избирателей, внесенных в список избирателей"	97268	2315	1674	2458	2746	1928	566	2575	1683	1973	2589	2219	2444	2097	2564	1944	2710	2025	1526	2694	2054	2946	1513	172	1608	2332	657	635	1037	217	746	202	2259	280	218	511	2103	2153	2171	2330	402	924	2264	1076	192	427	1731	511	1938	1423	1405	1420	1949	2729	441	279	599	307	501	717	578	2653	2829	1054	538	1507					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	92500	2300	1800	2100	2600	1800	500	2600	1600	2000	2550	2000	2200	2000	2400	1900	2700	1900	1400	2600	2000	2400	1300	170	1700	2150	650	600	1000	220	730	190	2000	270	200	490	2000	2000	2100	2200	400	850	2100	1000	170	420	1700	500	1900	1400	1400	1400	1900	2700	400	290	550	300	450	700	550	2500	2700	1000	500	1400					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	55388	1220	945	1217	1556	1049	254	1812	782	1095	1517	1308	1236	1150	1378	1003	1466	1037	762	1698	1090	1970	751	88	823	1005	374	351	691	164	433	122	1227	156	148	296	1646	1147	1595	1592	233	572	997	522	107	281	1325	309	1077	760	755	837	1034	1455	337	208	362	157	236	384	251	1870	1308	724	220	913					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	6469	106	94	145	135	90	44	161	56	196	150	86	107	192	55	57	69	44	63	73	132	90	157	33	294	395	62	63	31	18	41	20	217	21	9	22	145	65	50	34	25	44	156	138	16	20	103	43	134	161	81	214	135	277	56	64	61	71	111	117	117	85	133	66	110	109					
6	Число погашенных избирательных бюллетеней	30643	974	761	738	909	661	202	627	762	709	883	606	857	658	967	840	1165	819	575	829	778	340	392	49	583	750	214	186	278	38	256	48	556	93	43	172	209	788	455	574	142	234	947	340	47	119	272	148	689	479	564	349	731	968	7	18	127	72	103	199	182	545	1259	210	170	378					
7	Число избирательных бюллетеней в переносных ящиках для голосования	6469	106	94	145	135	90	44	161	56	196	150	86	107	192	55	57	69	44	63	73	132	90	157	33	294	395	62	63	31	18	41	20	217	21	9	22	145	65	50	34	25	44	156	138	16	20	103	43	134	161	81	214	135	277	56	64	61	71	111	117	117	85	133	66	110	109					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	55219	1220	945	1216	1556	1049	253	1812	782	1095	1517	1222	1236	1150	1378	1003	1466	1036	762	1625	1085	1970	751	88	823	1005	374	351	691	164	433	122	1225	156	148	296	1646	1147	1595	1592	233	572	997	522	107	281	1325	309	1077	760	755	837	1034	1455	337	208	362	157	236	384	251	1870	1308	724	220	913					
9	Число недействительных избирательных бюллетеней	1039	8	14	29	27	0	7	50	12	7	25	29	23	13	33	24	33	25	10	37	13	39	23	4	16	26	10	0	18	3	6	3	29	0	1	6	6	26	34	19	17	8	4	12	1	8	19	12	22	17	13	20	17	39	5	46	21	0	3	6	5	26	13	4	1	12					
10	Число действительных избирательных бюллетеней	60649	1318	1025	1332	1664	1139	290	1923	826	1284	1642	1279	1320	1329	1400	1036	1502	1055	815	1661	1204	2021	885	117	1101	1374	426	414	704	179	468	139	1413	177	156	312	1785	1186	1611	1607	241	608	1149	648	122	293	1409	340	1189	904	823	1031	1152	1693	388	226	402	228	344	495	363	1929	1428	786	329	1010					
