Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																							
Дата голосования: 02.12.2007																																																																							
																																																																							
Наименование Избирательной комиссии:    Крымская																																																																							
																																																																							
Сводная таблица результатов выборов																																																																							
																																																																							
		Сумма	УИК №2601	УИК №2602	УИК №2603	УИК №2604	УИК №2605	УИК №2606	УИК №2607	УИК №2608	УИК №2609	УИК №2610	УИК №2611	УИК №2612	УИК №2613	УИК №2614	УИК №2615	УИК №2616	УИК №2617	УИК №2618	УИК №2619	УИК №2620	УИК №2621	УИК №2622	УИК №2623	УИК №2624	УИК №2625	УИК №2626	УИК №2627	УИК №2628	УИК №2629	УИК №2630	УИК №2631	УИК №2632	УИК №2633	УИК №2634	УИК №2635	УИК №2636	УИК №2637	УИК №2638	УИК №2639	УИК №2640	УИК №2641	УИК №2642	УИК №2643	УИК №2644	УИК №2645	УИК №2646	УИК №2647	УИК №2648	УИК №2649	УИК №2650	УИК №2651	УИК №2652	УИК №2653	УИК №2654	УИК №2655	УИК №2656	УИК №2657	УИК №2658	УИК №2659	УИК №2660	УИК №2661	УИК №2662	УИК №2663	УИК №2664					
1	"Число избирателей, внесенных в списки избирателей"	97266	2429	1872	2242	2250	1852	481	2435	1707	2087	2553	2304	2388	2225	2531	1869	2659	1941	1482	2780	1959	2873	1438	181	1696	2134	676	653	1150	213	748	219	2269	243	201	523	2165	2234	2287	2522	456	939	2379	1128	226	447	1701	538	2003	2931	1402	1488	1981	2792	444	262	685	366	487	678	564	2537	2667	1130	564					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	78411	1882	1498	1780	1763	1470	467	1927	1340	1614	2040	1705	1876	1754	1994	1465	2103	1522	1180	2175	1554	2360	1146	180	1370	1725	668	645	910	208	749	218	1800	220	183	510	1635	1725	1745	1916	443	740	1816	898	223	439	1382	530	1517	2300	1134	1190	1564	2225	439	261	679	362	485	660	552	1990	2111	905	544					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	48486	1149	873	1030	1024	944	227	1156	792	889	1256	1114	1132	1093	1238	846	1309	891	694	1409	935	1582	700	121	750	857	379	321	679	165	396	139	1137	149	118	282	1259	1313	1328	1489	251	554	1257	501	123	244	835	272	1020	1453	642	749	894	1418	236	153	375	173	192	396	273	1215	1290	548	257					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	3500	61	51	45	54	40	51	35	51	56	75	148	70	42	34	72	51	34	100	89	50	65	36	13	103	95	49	50	38	11	40	11	129	20	27	23	50	44	59	60	27	39	109	84	11	18	86	39	46	131	72	71	54	30	39	32	32	34	80	33	55	52	99	55	40					
6	Число погашенных избирательных бюллетеней	26425	672	574	705	685	486	189	736	497	669	709	443	674	619	722	547	743	597	386	677	569	713	410	46	517	773	240	274	193	32	313	68	534	51	38	205	326	368	358	367	165	147	450	313	89	177	461	219	451	716	420	370	616	777	164	76	272	155	213	231	224	723	722	302	247					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3496	61	51	45	54	40	51	35	50	56	75	148	70	42	34	72	51	34	98	89	50	65	36	13	103	95	49	50	38	11	40	11	129	20	27	23	50	44	59	60	27	39	109	84	11	18	86	39	46	131	72	71	54	30	39	32	32	34	80	33	55	51	99	55	40					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	48441	1144	873	1030	1024	944	227	1156	792	881	1256	1114	1132	1093	1237	846	1307	891	694	1409	935	1582	700	121	750	857	377	321	679	165	396	139	1137	149	118	282	1259	1313	1328	1489	251	554	1257	501	123	244	814	272	1015	1453	642	749	893	1418	236	153	375	173	192	396	273	1215	1290	548	257					
9	Число недействительных избирательных бюллетеней	1420	36	26	18	21	15	10	32	46	28	31	26	17	26	29	39	35	21	18	36	26	40	24	1	29	15	7	21	19	4	18	5	34	10	7	7	23	38	31	34	5	24	24	13	6	11	21	5	25	41	10	39	37	79	15	7	3	5	5	5	16	47	49	20	5					
10	Число действительных избирательных бюллетеней	50517	1169	898	1057	1057	969	268	1159	796	909	1300	1236	1185	1109	1242	879	1323	904	774	1462	959	1607	712	133	824	937	419	350	698	172	418	145	1232	159	138	298	1286	1319	1356	1515	273	569	1342	572	128	251	879	306	1036	1543	704	781	910	1369	260	178	404	202	267	424	312	1219	1340	583	292					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1356	30	24	28	28	23	5	32	22	29	35	31	33	30	34	25	36	26	21	35	27	65	29	3	23	30	11	9	16	3	10	3	31	3	3	7	28	29	31	35	6	20	29	14	3	6	24	7	29	40	20	21	27	39	6	4	14	5	7	9	8	34	37	16	8					
