Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																		
Дата голосования: 04.12.2011																																																																																		
																																																																																		
"Наименование Избирательной комиссии:    Екатеринбург, Ленинская"																																																																																		
																																																																																		
Сводная таблица результатов выборов																																																																																		
																																																																																		
		Сумма	УИК №983	УИК №985	УИК №1469	УИК №1470	УИК №1471	УИК №1472	УИК №1473	УИК №1474	УИК №1475	УИК №1476	УИК №1477	УИК №1478	УИК №1479	УИК №1480	УИК №1481	УИК №1482	УИК №1483	УИК №1484	УИК №1485	УИК №1486	УИК №1487	УИК №1488	УИК №1489	УИК №1490	УИК №1491	УИК №1492	УИК №1493	УИК №1494	УИК №1495	УИК №1496	УИК №1497	УИК №1498	УИК №1499	УИК №1500	УИК №1501	УИК №1502	УИК №1503	УИК №1504	УИК №1505	УИК №1506	УИК №1507	УИК №1508	УИК №1509	УИК №1510	УИК №1511	УИК №1512	УИК №1513	УИК №1514	УИК №1515	УИК №1516	УИК №1517	УИК №1518	УИК №1519	УИК №1520	УИК №1521	УИК №1522	УИК №1523	УИК №1524	УИК №1525	УИК №1526	УИК №1527	УИК №1528	УИК №1529	УИК №1530	УИК №1531	УИК №1532	УИК №1533	УИК №1534	УИК №1535	УИК №1536	УИК №1537	УИК №1538	УИК №1539	УИК №1540	УИК №1541					
1	"Число избирателей, внесенных в список избирателей"	134499	127	162	2110	2366	865	1471	1760	1254	1080	1995	543	1443	2296	1745	2030	2381	2084	1257	2133	1564	1835	2110	2778	1928	1918	1792	2391	1726	1517	1345	2349	2649	1592	1530	2122	1770	2516	1918	2137	2449	1982	2572	2152	2121	1859	2228	1783	1667	2039	2038	1950	2030	2209	1951	1576	1659	1852	2310	2397	2482	2394	2282	2274	2543	2019	2877	1846	1979	1573	1570	288	146	347	416	50					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	107760	1500	150	1600	1800	650	1200	1450	1000	900	1550	500	1200	1900	1400	1700	1900	1750	1050	1800	1300	1400	1500	2100	1600	1600	1450	1900	1400	1200	1100	1800	2100	1300	1200	1600	1400	1900	1500	1700	1800	1500	2000	1700	1700	1500	1800	1400	1300	1600	1600	1500	1600	1700	1500	1200	1300	1500	1800	1900	1900	1900	1800	1800	2000	1600	2000	1500	1500	1200	1200	300	150	400	500	60					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	68948	127	142	1274	1346	498	786	903	644	300	1028	259	695	1227	877	1172	1140	1003	681	913	765	1036	1174	1463	993	988	997	1251	934	793	623	1272	1348	818	892	1144	758	1002	755	1143	1155	951	1425	1039	1133	1002	1078	811	855	1077	1056	1003	1055	1158	1035	845	808	993	1210	1220	1409	1254	1237	1112	1115	899	1485	945	878	748	673	194	128	347	401	50					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1216	0	2	9	7	8	12	29	23	6	9	1	16	10	20	6	4	23	7	2	5	22	25	52	19	14	15	17	11	48	10	14	5	21	5	14	40	8	19	12	106	46	20	19	18	25	22	7	21	20	27	35	20	15	12	11	16	16	25	12	16	18	10	8	11	17	8	7	9	34	15	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	37596	1373	6	317	447	144	402	518	333	594	513	240	489	663	503	522	756	724	362	885	530	342	301	585	588	598	438	632	455	359	467	514	747	461	303	442	602	890	726	545	539	503	555	642	549	473	700	582	424	503	517	462	525	527	453	344	476	491	565	668	475	628	553	680	874	684	507	548	613	418	512	106	22	53	99	10					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1215	0	2	9	7	8	12	29	23	6	9	1	16	10	20	6	4	23	7	2	5	22	25	52	19	14	15	17	11	48	10	14	5	20	5	14	40	8	19	12	106	46	20	19	18	25	22	7	21	20	27	35	20	15	12	11	16	16	25	12	16	18	10	8	11	17	8	7	9	34	15	0	0	0	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	68913	127	142	1274	1345	498	786	903	644	300	1028	259	695	1227	877	1170	1136	1002	681	913	765	1035	1173	1459	993	988	993	1249	934	792	623	1272	1348	818	892	1144	758	1002	755	1143	1155	951	1425	1039	1131	1002	1078	811	854	1077	1056	1003	1055	1158	1035	845	808	993	1210	1220	1409	1254	1227	1112	1115	899	1484	945	878	748	673	194	128	347	401	50					
9	Число недействительных избирательных бюллетеней	1554	2	11	17	20	12	16	23	21	9	16	6	15	23	23	16	20	15	16	7	15	19	31	43	17	22	26	26	18	18	12	34	24	13	16	20	17	21	10	26	24	24	47	24	29	28	24	30	27	21	19	31	25	35	30	21	28	29	31	24	39	39	29	22	33	10	12	22	13	19	18	10	4	6	8	3					
10	Число действительных избирательных бюллетеней	68574	125	133	1266	1332	494	782	909	646	297	1021	254	696	1214	874	1160	1120	1010	672	908	755	1038	1167	1468	995	980	982	1240	927	822	621	1252	1329	825	881	1138	781	989	764	1129	1237	973	1398	1034	1120	999	1076	788	848	1076	1064	1007	1050	1138	1017	835	796	980	1204	1208	1386	1233	1208	1098	1093	906	1480	930	874	763	670	184	124	341	393	47					
