Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																														
Дата голосования: 02.12.2007																																																																														
																																																																														
"Наименование Избирательной комиссии:    Екатеринбург, Ленинская"																																																																														
																																																																														
Сводная таблица результатов выборов																																																																														
																																																																														
		Сумма	УИК №1470	УИК №1471	УИК №1472	УИК №1473	УИК №1474	УИК №1475	УИК №1476	УИК №1477	УИК №1478	УИК №1479	УИК №1480	УИК №1481	УИК №1482	УИК №1483	УИК №1484	УИК №1485	УИК №1486	УИК №1487	УИК №1488	УИК №1489	УИК №1490	УИК №1491	УИК №1492	УИК №1493	УИК №1494	УИК №1495	УИК №1496	УИК №1497	УИК №1498	УИК №1499	УИК №1500	УИК №1501	УИК №1502	УИК №1503	УИК №1504	УИК №1505	УИК №1506	УИК №1507	УИК №1508	УИК №1509	УИК №1510	УИК №1511	УИК №1512	УИК №1513	УИК №1514	УИК №1515	УИК №1516	УИК №1517	УИК №1518	УИК №1519	УИК №1520	УИК №1521	УИК №1522	УИК №1523	УИК №1524	УИК №1525	УИК №1526	УИК №1527	УИК №1528	УИК №1529	УИК №1530	УИК №1531	УИК №1532	УИК №1533	УИК №1534	УИК №1535	УИК №1536	УИК №1537	УИК №1538	УИК №1539	УИК №1540					
1	"Число избирателей, внесенных в списки избирателей"	131925	660	1003	1436	1870	1384	1061	1698	582	1494	2149	1844	2909	2457	2147	1377	1769	1653	1957	2151	2664	2051	1888	1998	2620	1869	1585	1529	2430	2526	1685	1526	2254	1976	2354	1533	1974	2201	2025	2639	2047	2221	2014	2317	1818	1763	2155	2187	2005	1907	2458	2116	1655	1819	1941	2481	2585	2366	2379	2434	2322	2556	2114	70	2712	2154	1632	1353	178	204	554	480					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	96900	800	800	1100	1500	1000	800	1200	500	1100	1500	1300	2000	1700	1500	1000	1400	1200	1500	1500	2000	1500	1500	1500	1800	1300	1200	1000	1800	1800	1200	1100	1600	1400	1600	1100	1500	1500	1500	2000	1500	1600	1500	1700	1300	1300	1600	1600	1500	1500	1700	1500	1200	1300	1500	1800	2000	1700	1700	1700	1700	1800	1500	100	2000	1600	1200	1000	200	200	600	500					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	77700	660	651	834	1129	820	389	898	320	830	1328	1119	1677	1453	1292	813	1216	973	1229	1302	1611	1213	1112	1237	1557	1107	895	903	1480	1455	978	953	1381	1176	1232	675	1189	1389	1133	1531	1174	1359	1201	1376	988	968	1297	1258	1187	1138	1319	1248	965	1030	1142	1434	1482	1462	1474	1505	1356	1270	1051	68	1589	1169	927	737	171	190	554	471					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1705	0	16	17	33	27	19	21	5	26	12	11	9	14	24	13	3	19	27	33	48	18	32	26	27	81	48	16	28	10	26	10	22	25	24	33	17	14	56	23	21	11	49	33	108	24	28	32	33	29	38	17	16	21	19	34	32	25	29	10	34	29	29	0	14	14	39	24	0	0	0	0					
6	Число погашенных избирательных бюллетеней	17495	140	133	249	338	153	392	281	175	244	160	170	314	233	184	174	181	208	244	165	341	269	356	237	216	112	257	81	292	335	196	137	197	199	344	392	294	97	311	446	305	230	250	291	204	308	275	310	280	333	343	235	219	249	339	332	486	213	197	185	310	501	420	32	397	417	234	239	29	10	46	29					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1705	0	16	17	33	27	19	21	5	26	12	11	9	14	24	13	3	19	27	33	48	18	32	26	27	81	48	16	28	10	26	10	22	25	24	33	17	14	56	23	21	11	49	33	108	24	28	32	33	29	38	17	16	21	19	34	32	25	29	10	34	29	29	0	14	14	39	24	0	0	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	77666	660	650	834	1129	820	389	898	320	828	1326	1119	1672	1450	1292	813	1216	973	1229	1301	1611	1213	1112	1237	1557	1107	895	903	1477	1455	978	953	1381	1174	1232	675	1185	1389	1132	1531	1174	1359	1201	1376	988	968	1295	1256	1187	1138	1319	1248	965	1030	1142	1434	1481	1462	1474	1503	1356	1270	1048	68	1589	1169	927	737	171	190	554	471					
9	Число недействительных избирательных бюллетеней	920	15	6	9	14	8	4	20	4	8	16	16	22	14	16	6	28	13	13	21	13	9	12	6	14	12	10	13	11	25	14	11	16	14	24	4	17	25	16	13	8	17	12	12	7	6	18	12	9	14	21	13	14	13	8	15	18	18	26	13	19	13	10	0	25	13	11	6	1	1	8	7					
10	Число действительных избирательных бюллетеней	78451	645	660	842	1148	839	404	899	321	846	1322	1114	1659	1450	1300	820	1191	979	1243	1313	1646	1222	1132	1257	1570	1176	933	906	1494	1440	990	952	1387	1185	1232	704	1185	1378	1172	1541	1187	1353	1238	1397	1089	986	1305	1276	1211	1153	1336	1252	967	1038	1153	1453	1495	1469	1477	1500	1371	1286	1067	68	1578	1170	955	755	170	189	546	464					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	2539	0	30	26	40	30	10	30	13	35	40	35	45	70	55	25	25	45	40	40	55	35	55	35	40	20	30	30	25	55	45	50	25	39	80	20	35	55	40	45	35	30	45	56	44	47	45	30	45	50	40	44	40	30	40	50	55	45	45	35	40	35	35	0	30	35	20	20	0	0	0	25					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	2279	0	23	26	38	21	10	30	12	33	29	30	40	58	52	21	25	40	36	34	50	32	47	31	35	20	29	25	25	51	39	44	25	31	66	16	29	50	32	44	28	30	45	50	37	43	36	30	41	45	40	40	39	30	36	49	53	36	39	30	40	30	30	0	30	33	19	17	0	0	0	24					
