Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																									
Дата голосования: 18.09.2016																																									
																																									
Наименование Избирательной комиссии:    Биробиджанская																																									
																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																									
																																									
		Сумма	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №151	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	9475	280	358	1121	899	225	240	231	239	76	107	433	565	202	345	510	286	102	191	202	456	325	147	228	338	254	230	223	230	210	222									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	9325	284	346	1000	850	223	238	236	239	87	109	425	574	201	348	501	289	105	194	202	459	328	148	232	322	257	235	224	234	209	226									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	3790	96	124	372	257	91	79	59	97	76	47	192	217	101	138	223	134	59	81	102	214	141	87	102	201	113	73	78	72	77	87									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	254	9	11	17	9	5	0	4	4	0	3	17	18	1	16	24	7	8	4	4	14	55	3	3	0	3	0	0	4	5	6									
6	Число погашенных избирательных бюллетеней	5271	179	211	611	584	127	159	173	138	11	59	216	339	99	194	254	148	38	109	96	231	132	58	117	121	141	162	146	158	127	133									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	264	9	11	17	9	5	0	4	4	0	3	17	18	1	16	24	7	8	4	4	14	55	3	13	0	3	0	0	4	5	6									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	3788	96	124	372	257	91	79	59	96	76	47	192	217	101	138	223	134	59	81	102	214	141	87	102	200	113	73	78	72	77	87									
9	Число недействительных избирательных бюллетеней	215	7	9	20	5	2	2	3	8	6	0	2	7	2	4	41	5	1	11	10	8	19	0	11	4	2	6	6	2	7	5									
10	Число действительных избирательных бюллетеней	3837	98	126	369	261	94	77	60	92	70	50	207	228	100	150	206	136	66	74	96	220	177	90	104	196	114	67	72	74	75	88									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	330	10	10	20	20	10	10	10	10	10	10	10	15	10	10	15	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	56	3	0	4	3	0	3	0	0	5	0	3	4	0	2	2	3	4	2	0	3	3	4	3	2	0	0	1	2	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	71	3	4	9	3	1	2	0	2	4	1	1	2	2	2	2	3	1	2	2	4	4	4	2	2	1	0	3	1	2	2									
14	Число погашенных неиспользованных открепительных удостоверений	274	7	10	16	17	10	7	10	10	5	10	7	11	10	8	13	7	6	8	10	7	7	6	7	8	10	10	9	8	10	10									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	11	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	2	0	0	1	0	0	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																									
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	29	2	1	6	1	0	0	0	1	1	0	1	1	0	1	0	1	1	0	0	3	2	0	1	3	1	0	0	0	0	2									
		0.72%	1.90%	0.74%	1.54%	0.38%	0.00%	0.00%	0.00%	1.00%	1.32%	0.00%	0.48%	0.43%	0.00%	0.65%	0.00%	0.71%	1.49%	0.00%	0.00%	1.32%	1.02%	0.00%	0.87%	1.50%	0.86%	0.00%	0.00%	0.00%	0.00%	2.15%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	118	3	9	16	5	3	4	1	0	5	0	3	9	4	5	2	3	0	1	2	5	4	3	4	3	10	1	4	3	2	4									
		2.91%	2.86%	6.67%	4.11%	1.88%	3.13%	5.06%	1.59%	0.00%	6.58%	0.00%	1.44%	3.83%	3.92%	3.25%	0.81%	2.13%	0.00%	1.18%	1.89%	2.19%	2.04%	3.33%	3.48%	1.50%	8.62%	1.37%	5.13%	3.95%	2.44%	4.30%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	57	1	1	5	5	2	1	1	2	0	1	0	5	1	3	2	3	0	0	0	2	3	1	2	4	3	3	1	3	1	1									
		1.41%	0.95%	0.74%	1.29%	1.88%	2.08%	1.27%	1.59%	2.00%	0.00%	2.00%	0.00%	2.13%	0.98%	1.95%	0.81%	2.13%	0.00%	0.00%	0.00%	0.88%	1.53%	1.11%	1.74%	2.00%	2.59%	4.11%	1.28%	3.95%	1.22%	1.08%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2173	42	52	128	114	48	41	33	65	50	41	110	142	67	94	155	97	37	38	70	128	120	75	65	96	56	39	43	33	33	61									
		53.63%	40.00%	38.52%	32.90%	42.86%	50.00%	51.90%	52.38%	65.00%	65.79%	82.00%	52.63%	60.43%	65.69%	61.04%	62.75%	68.79%	55.22%	44.71%	66.04%	56.14%	61.22%	83.33%	56.52%	48.00%	48.28%	53.42%	55.13%	43.42%	40.24%	65.59%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	20	0	3	5	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3	1	0									
