Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																											
Дата голосования: 18.09.2016																																																											
																																																											
"Наименование Избирательной комиссии:    Красноярск, Кировская"																																																											
																																																											
Сводная таблица итогов голосования по федеральному избирательному округу																																																											
																																																											
		Сумма	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	83754	2041	1745	1829	1512	1453	1699	1772	2404	2165	1724	1573	2253	1809	2312	1892	1905	2076	1852	1724	1391	1745	1722	1651	1475	1803	1373	1681	2539	1396	1707	1598	993	1612	1870	1931	1545	1729	2020	2216	496	1548	1750	1752	1428	1474	1740	2126	1703									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	79450	2000	1700	1800	1500	1400	1700	1700	2400	2000	1700	1500	2000	1800	2000	1800	1900	2000	1800	1700	1300	1700	1600	1600	1400	1800	1000	1600	2500	1400	1700	1500	950	1500	1800	1900	1400	1750	2000	2000	400	1500	1750	1750	1450	1400	1000	1900	1500									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	26346	408	318	565	431	386	560	585	658	706	640	531	787	604	736	531	573	604	678	621	372	538	553	630	579	629	466	641	701	411	527	521	282	603	707	699	464	521	579	521	139	590	513	501	393	508	463	673	700									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	625	32	4	15	10	7	4	10	5	5	18	8	11	12	4	10	17	19	8	11	10	13	12	7	11	5	2	20	21	14	11	15	2	26	12	12	14	23	13	37	1	30	16	26	16	5	16	15	10									
6	Число погашенных избирательных бюллетеней	52479	1560	1378	1220	1059	1007	1136	1105	1737	1289	1042	961	1202	1184	1260	1259	1310	1377	1114	1068	918	1149	1035	963	810	1166	532	939	1778	975	1162	964	666	871	1081	1189	922	1206	1408	1442	260	880	1221	1223	1041	887	521	1212	790									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	625	32	4	15	10	7	4	10	5	5	18	8	11	12	4	10	17	19	8	11	10	13	12	7	11	5	2	20	21	14	11	15	2	26	12	12	14	23	13	37	1	30	16	26	16	5	16	15	10									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	26262	408	318	562	421	386	560	585	658	701	640	531	776	604	736	531	573	604	677	621	372	538	553	630	579	629	466	640	701	411	527	520	282	601	706	699	464	521	579	518	139	560	513	501	393	508	462	658	700									
9	Число недействительных избирательных бюллетеней	1147	16	17	17	21	19	13	11	22	12	113	19	19	20	20	16	32	46	25	29	48	40	13	19	13	22	83	38	20	22	23	13	12	21	15	17	29	18	17	28	5	20	15	7	15	35	11	23	18									
10	Число действительных избирательных бюллетеней	25740	424	305	560	410	374	551	584	641	694	545	520	768	596	720	525	558	577	660	603	334	511	552	618	577	612	385	622	702	403	515	522	272	606	703	694	449	526	575	527	135	570	514	520	394	478	467	650	692									
