Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																														
Дата голосования: 07.12.2003 0:00:00																																														
																																														
Наименование Избирательной комиссии:    Лямбирская																																														
																																														
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																														
																																														
		Сумма	УИК  488	УИК  489	УИК  490	УИК  491	УИК  492	УИК  493	УИК  494	УИК  495	УИК  496	УИК  497	УИК  498	УИК  499	УИК  500	УИК  501	УИК  502	УИК  503	УИК  504	УИК  505	УИК  506	УИК  507	УИК  508	УИК  509	УИК  510	УИК  511	УИК  512	УИК  513	УИК  514	УИК  515	УИК  516	УИК  517	УИК  518	УИК  519	УИК  520	УИК  521	УИК  522	УИК  523	УИК  524	УИК  525	УИК  526					
1	"Число избирателей, внесенных в списки"	25782	1643	1610	1168	206	1279	1581	1656	1650	774	269	198	387	347	177	119	277	785	405	194	388	971	447	474	1185	630	1400	544	344	232	684	944	337	668	251	375	332	201	425	225					
2	"Число бюллетеней, полученных участковыми комиссиями"	26134	1590	1560	1150	220	1300	1640	1615	1680	734	285	210	390	340	170	125	270	785	405	240	380	1000	490	510	1350	655	1420	450	395	225	770	950	345	660	250	380	330	200	435	230					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	20159	1576	1517	998	180	976	1323	1307	1068	423	207	157	264	335	162	84	240	706	326	152	264	593	333	319	825	426	934	376	310	219	580	823	312	536	190	230	217	100	373	198					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1766	4	5	50	21	96	18	129	103	302	27	28	59	0	0	33	16	70	67	4	31	19	9	42	106	10	8	37	14	0	49	8	11	35	48	145	16	72	49	25					
6	Число погашенных бюллетеней	4209	10	38	102	19	228	299	179	509	9	51	25	67	5	8	8	14	9	12	84	85	388	148	149	419	219	478	37	71	6	141	119	22	89	12	5	97	28	13	7					
7	Число бюллетеней в переносных ящиках для голосования	1766	4	5	50	21	96	18	129	103	302	27	28	59	0	0	33	16	70	67	4	31	19	9	42	106	10	8	37	14	0	49	8	11	35	48	145	16	72	49	25					
8	Число бюллетеней в стационарных ящиках для голосования	20158	1576	1517	998	180	976	1323	1307	1068	423	207	157	264	335	162	84	240	706	326	152	264	593	333	319	825	426	934	376	310	219	579	823	312	536	190	230	217	100	373	198					
9	Число недействительных бюллетеней	570	7	103	47	4	19	7	5	39	6	3	12	18	1	7	0	0	5	3	9	8	12	16	21	39	7	20	45	9	7	3	0	0	23	15	3	6	6	18	17					
10	Число действительных бюллетеней	21354	1573	1419	1001	197	1053	1334	1431	1132	719	231	173	305	334	155	117	256	771	390	147	287	600	326	340	892	429	922	368	315	212	625	831	323	548	223	372	227	166	404	206					
