Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																				
Дата голосования: 02.12.2007																																																				
																																																				
Наименование Избирательной комиссии:    территориальная избирательная комиссия Октябрьского р-на г. Владимира																																																				
																																																				
Сводная таблица результатов выборов																																																				
																																																				
		Сумма	УИК №341	УИК №342	УИК №343	УИК №344	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №461	УИК №464	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007					
1	"Число избирателей, внесенных в списки избирателей"	91290	2276	2916	2911	2076	2705	2853	2772	2610	2320	2072	1542	2583	2348	2703	2389	2172	2712	2358	2618	2308	2430	2601	2535	2042	2208	1312	2446	2350	1576	2810	2303	2559	1588	1108	1081	2038	106	1704	1566	1387	1165	229	223	2551	128					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	84915	2000	2800	2700	2000	2600	2700	2600	2500	2200	2000	1400	2500	2200	2500	2300	2000	2600	2100	2500	2100	2300	2500	2400	1900	1900	1200	2300	2200	1500	2700	2100	2100	1500	1000	950	1400	100	1500	1500	1300	1100	208	207	2400	350					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	54744	1819	1819	1708	1237	1589	1755	1541	1598	1305	1245	917	1505	1531	1618	1564	1279	1587	1499	1538	1423	1518	1480	1605	1163	1230	817	1503	1351	952	1674	1402	1389	874	733	452	1062	72	975	901	907	734	153	104	1546	70					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	3166	1	72	89	51	90	45	137	66	85	63	55	39	61	19	60	53	71	172	68	66	52	169	34	75	242	31	58	80	75	50	109	42	34	39	48	285	11	99	69	25	27	12	39	47	51					
6	Число погашенных избирательных бюллетеней	27000	180	909	903	712	921	900	922	836	810	692	428	956	608	863	676	668	942	429	889	611	730	851	761	662	428	352	739	769	473	976	589	669	592	228	450	53	17	426	530	368	339	43	64	807	229					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3164	1	72	89	51	90	45	137	66	85	63	55	39	61	19	60	53	71	171	68	66	52	169	34	75	241	31	58	80	75	50	109	42	34	39	48	285	11	99	69	25	27	12	39	47	51					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	54678	1817	1817	1705	1237	1586	1753	1541	1597	1298	1244	917	1504	1530	1618	1563	1279	1585	1494	1534	1417	1517	1478	1603	1163	1228	815	1502	1350	951	1674	1399	1388	874	733	451	1062	72	970	901	907	731	153	104	1546	70					
9	Число недействительных избирательных бюллетеней	883	50	27	30	15	18	17	37	24	27	13	20	23	18	33	27	13	24	27	33	18	28	11	23	13	18	15	22	19	22	22	20	42	15	9	7	19	1	23	14	18	6	1	1	18	2					
10	Число действительных избирательных бюллетеней	56959	1768	1862	1764	1273	1658	1781	1641	1639	1356	1294	952	1520	1573	1604	1596	1319	1632	1638	1569	1465	1541	1636	1614	1225	1451	831	1538	1411	1004	1702	1488	1388	893	763	492	1328	82	1046	956	914	752	164	142	1575	119					
