Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																
Дата голосования: 18.09.2016																																																																
																																																																
Наименование Избирательной комиссии:    Курагинская																																																																
																																																																
Сводная таблица итогов голосования по федеральному избирательному округу																																																																
																																																																
		Сумма	УИК №1508	УИК №1509	УИК №1510	УИК №1511	УИК №1512	УИК №1513	УИК №1514	УИК №1515	УИК №1516	УИК №1517	УИК №1518	УИК №1519	УИК №1520	УИК №1521	УИК №1522	УИК №1523	УИК №1524	УИК №1525	УИК №1526	УИК №1527	УИК №1528	УИК №1529	УИК №1530	УИК №1531	УИК №1532	УИК №1533	УИК №1534	УИК №1535	УИК №1536	УИК №1537	УИК №1538	УИК №1539	УИК №1540	УИК №1541	УИК №1542	УИК №1543	УИК №1544	УИК №1545	УИК №1546	УИК №1547	УИК №1548	УИК №1549	УИК №1550	УИК №1551	УИК №1552	УИК №1553	УИК №1554	УИК №1555	УИК №1556	УИК №1557	УИК №1558	УИК №1559	УИК №1560									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	37220	473	241	667	282	93	614	284	311	766	427	696	1682	1329	1522	1789	1469	2012	656	1013	116	1833	1675	139	523	339	147	232	74	61	504	108	255	68	882	551	894	172	324	208	669	501	455	586	1357	1072	615	1274	1322	1639	1858	69	189	183									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	36900	480	230	660	280	90	610	280	310	760	420	720	1660	1300	1500	1790	1460	2000	660	1020	110	1850	1680	140	520	330	140	230	75	60	500	100	250	65	880	540	890	170	310	200	670	500	440	590	1340	1070	600	1250	1310	1650	1800	60	180	170									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	13026	164	85	309	109	51	241	157	160	283	153	200	522	430	463	578	398	566	246	436	53	657	619	69	171	83	67	104	26	34	186	61	90	25	315	210	264	87	103	93	304	202	242	292	475	315	157	392	450	542	636	19	54	78									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	944	16	25	13	15	4	26	9	17	96	2	9	25	53	48	19	27	33	29	40	12	21	27	8	7	7	7	2	0	0	15	2	14	2	36	36	20	2	14	15	4	7	12	0	11	49	51	27	13	3	8	0	6	0									
6	Число погашенных избирательных бюллетеней	22817	300	120	338	156	35	343	114	133	381	265	511	1113	817	989	1193	1035	1401	385	544	45	1172	1034	63	342	240	66	124	49	26	299	37	146	38	529	294	606	81	193	92	362	291	186	298	741	706	392	831	847	1105	1156	41	120	92									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1057	16	25	13	15	4	26	9	17	96	2	9	25	53	48	19	27	33	29	40	12	21	27	8	7	7	7	2	0	0	15	2	14	2	36	36	20	2	14	15	4	7	12	0	124	49	51	27	13	3	8	0	6	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	13026	164	85	309	109	51	241	157	160	283	153	200	522	430	463	578	398	566	246	436	53	657	619	69	171	83	67	104	26	34	186	61	90	25	315	210	264	87	103	93	304	202	242	292	475	315	157	392	450	542	636	19	54	78									
9	Число недействительных избирательных бюллетеней	555	7	1	12	1	1	4	7	0	3	5	8	15	20	12	11	15	18	1	5	1	12	19	3	6	1	0	7	0	1	3	0	3	0	21	13	17	9	4	18	32	23	43	33	76	14	1	8	9	8	17	1	3	3									
10	Число действительных избирательных бюллетеней	13528	173	109	310	123	54	263	159	177	376	150	201	532	463	499	586	410	581	274	471	64	666	627	74	172	89	74	99	26	33	198	63	101	27	330	233	267	80	113	90	276	186	211	259	523	350	207	411	454	537	627	18	57	75									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	620	6	5	8	5	5	8	6	6	10	8	10	15	15	15	15	15	15	10	10	5	35	35	5	8	8	5	6	5	5	8	5	5	5	15	10	10	6	6	6	10	15	10	20	25	15	15	25	25	30	32	5	7	6									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	103	1	0	3	0	0	3	1	1	1	1	1	4	9	7	5	1	9	4	0	1	9	5	1	1	0	1	0	0	0	1	0	0	0	2	0	2	0	2	1	0	5	0	0	1	3	0	0	5	1	11	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	84	2	1	3	1	2	1	0	0	3	1	0	3	2	5	4	0	1	2	3	2	1	4	0	0	0	1	0	0	1	0	0	1	3	6	6	2	1	2	0	1	1	1	2	2	0	0	0	2	3	0	3	3	2									
14	Число погашенных неиспользованных открепительных удостоверений	517	5	5	5	5	5	5	5	5	9	7	9	11	6	8	10	14	6	6	10	4	26	30	4	7	8	4	6	5	5	7	5	5	5	13	10	8	6	4	5	10	10	10	20	24	12	15	25	20	29	21	5	7	6									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	20	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	3	1	0	0	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
