Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																							
Дата голосования: 07.12.2003 0:00:00																																																																							
																																																																							
Наименование Избирательной комиссии:    Киреевская ТИК																																																																							
																																																																							
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																							
																																																																							
		Сумма	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098	УИК №1099	УИК №1100	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150	УИК №1151	УИК №1152	УИК №1153	УИК №1154					
1	"Число избирателей, внесенных в списки"	64995	611	2423	1926	1874	1038	2117	2147	2073	1319	1223	1196	1261	1317	681	635	51	1171	1081	1224	1442	1342	1186	610	1215	1346	1360	1557	1641	1246	172	1684	1563	1741	412	1398	1500	1872	559	329	1551	1573	1207	395	344	635	271	257	403	755	720	500	376	275	314	310	301	649	1273	706	581	308	1047	320	381					
2	"Число бюллетеней, полученных участковыми комиссиями"	64982	602	2416	1933	1815	1032	2090	2160	2061	1325	1201	1166	1260	1278	687	625	120	1134	1105	1185	1449	1320	1192	610	1216	1356	1365	1565	1663	1243	167	1717	1584	1737	418	1383	1483	1882	581	341	1514	1558	1204	415	370	655	282	265	433	755	725	478	370	275	310	318	305	670	1232	715	575	318	1050	357	366					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	29254	278	945	918	816	586	985	964	987	720	656	545	589	583	350	288	51	500	503	552	522	626	531	333	539	624	657	703	727	564	43	814	814	801	162	645	711	800	240	134	745	802	557	103	104	363	91	95	130	231	269	241	193	88	81	75	101	263	673	258	211	64	403	144	163					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2525	22	40	62	26	17	26	33	12	12	20	82	15	18	17	35	0	29	18	45	22	37	49	20	24	15	26	47	25	14	51	30	28	27	24	34	49	37	18	7	14	10	15	45	30	21	55	28	65	91	81	58	29	58	90	128	21	65	37	73	92	150	79	8	69					
6	Число погашенных бюллетеней	33203	302	1431	953	973	429	1079	1163	1062	593	525	539	656	677	320	302	69	605	584	588	905	657	612	257	653	717	682	815	911	665	73	873	742	909	232	704	723	1045	323	200	755	746	632	267	236	271	136	142	238	433	375	179	148	129	139	115	183	342	522	384	272	104	568	205	134					
7	Число бюллетеней в переносных ящиках для голосования	2525	22	40	62	26	17	26	33	12	12	20	82	15	18	17	35	0	29	18	45	22	37	49	20	24	15	26	47	25	14	51	30	28	27	24	34	49	37	18	7	14	10	15	45	30	21	55	28	65	91	81	58	29	58	90	128	21	65	37	73	92	150	79	8	69					
8	Число бюллетеней в стационарных ящиках для голосования	29236	278	945	918	813	586	985	964	987	720	656	545	589	583	349	288	51	500	503	551	520	626	530	332	539	624	657	703	727	563	43	814	814	801	162	644	711	800	240	127	745	802	557	103	104	363	91	95	130	231	269	241	193	88	81	75	101	263	673	258	211	64	403	144	163					
9	Число недействительных бюллетеней	530	7	18	14	22	6	11	17	14	10	8	5	4	3	8	5	1	13	17	6	7	13	6	8	11	11	18	7	10	14	0	29	5	10	5	17	11	20	8	2	12	9	11	2	4	0	2	1	6	5	21	1	4	8	1	0	1	10	10	2	2	1	12	1	3					
10	Число действительных бюллетеней	31231	293	967	966	817	597	1000	980	985	722	668	622	600	598	358	318	50	516	504	590	535	650	573	344	552	628	665	743	742	563	94	815	837	818	181	661	749	817	250	132	747	803	561	146	130	384	144	122	189	317	329	298	218	138	170	203	121	318	700	329	301	213	470	151	229					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	485	5	15	25	10	5	23	20	20	10	10	10	10	5	5	5	0	5	5	5	10	10	10	3	6	5	10	15	14	10	3	10	10	10	8	15	10	15	3	3	10	15	15	3	3	3	3	3	3	5	3	3	3	3	3	3	3	3	5	3	3	3	5	3	3					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	276	1	11	14	8	2	21	12	14	7	5	3	8	3	3	0	0	2	3	3	7	5	5	1	6	4	7	15	10	5	0	6	5	8	4	12	8	9	1	2	4	7	8	0	0	2	1	1	0	0	2	0	0	0	0	0	0	1	2	2	3	0	3	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	194	2	2	3	1	6	7	0	8	2	5	0	5	4	4	2	27	1	2	1	4	2	3	4	1	4	2	2	1	3	11	0	3	4	1	0	3	2	0	7	5	3	5	0	1	0	2	4	0	3	4	3	2	0	2	2	0	4	4	0	5	1	1	3	1					
14	Число погашенных открепительных удостоверений	209	4	4	11	2	3	2	8	6	3	5	7	2	2	2	5	0	3	2	2	3	5	5	2	0	1	3	0	4	5	3	4	5	2	4	3	2	6	2	1	6	8	7	3	3	1	2	2	3	5	1	3	3	3	3	3	3	2	3	1	0	3	2	3	3					
15	Число открепительных удостоверений выданных ТИК	4	0	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																							
18	"1. ""ЕДИНЕНИЕ"""	398	10	9	14	11	4	14	7	13	13	5	5	4	8	5	5	0	7	4	8	7	7	6	8	4	7	10	8	4	6	0	11	15	7	8	16	2	13	6	3	4	2	7	0	1	3	5	1	2	2	6	5	7	3	2	3	1	4	17	1	6	1	14	2	5					
		1.25%	3.33%	0.91%	1.42%	1.31%	0.66%	1.38%	0.70%	1.30%	1.77%	0.73%	0.79%	0.66%	1.33%	1.36%	1.54%	0.0%	1.32%	0.76%	1.34%	1.29%	1.05%	1.03%	2.27%	0.71%	1.09%	1.46%	1.06%	0.53%	1.03%	0.0%	1.30%	1.78%	0.84%	4.30%	2.35%	0.26%	1.55%	2.32%	2.23%	0.52%	0.24%	1.22%	0.0%	0.74%	0.78%	3.42%	0.81%	1.02%	0.62%	1.71%	1.67%	3.15%	2.05%	1.16%	1.47%	0.81%	1.21%	2.39%	0.30%	1.98%	0.46%	2.90%	1.31%	2.15%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	634	5	24	21	18	9	13	25	25	27	29	8	8	31	10	5	1	8	4	3	10	6	5	2	5	22	18	16	19	16	7	13	13	8	2	21	13	15	8	2	15	19	7	3	7	3	3	3	9	1	4	3	1	0	1	3	2	6	11	1	3	1	14	9	10					
		1.99%	1.66%	2.43%	2.14%	2.14%	1.49%	1.28%	2.50%	2.50%	3.68%	4.28%	1.27%	1.32%	5.15%	2.73%	1.54%	1.96%	1.51%	0.76%	0.50%	1.84%	0.90%	0.86%	0.56%	0.88%	3.44%	2.63%	2.13%	2.52%	2.77%	7.44%	1.54%	1.54%	0.96%	1.07%	3.09%	1.71%	1.79%	3.10%	1.49%	1.97%	2.33%	1.22%	2.02%	5.22%	0.78%	2.05%	2.43%	4.61%	0.31%	1.14%	1.00%	0.45%	0.0%	0.58%	1.47%	1.63%	1.82%	1.54%	0.30%	0.99%	0.46%	2.90%	5.92%	4.31%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	1315	8	27	33	31	26	34	56	26	32	19	18	15	18	11	13	4	34	41	26	24	19	40	17	22	35	42	33	34	23	2	56	48	46	12	35	29	38	13	11	31	29	29	13	2	18	4	5	17	4	9	2	4	4	6	7	6	8	21	7	15	4	8	5	6					
		4.14%	2.66%	2.74%	3.36%	3.69%	4.31%	3.36%	5.61%	2.60%	4.37%	2.81%	2.87%	2.48%	2.99%	3.00%	4.02%	7.84%	6.42%	7.86%	4.36%	4.42%	2.86%	6.90%	4.82%	3.90%	5.47%	6.14%	4.4%	4.52%	3.98%	2.12%	6.63%	5.70%	5.55%	6.45%	5.16%	3.81%	4.54%	5.03%	8.20%	4.08%	3.57%	5.06%	8.78%	1.49%	4.68%	2.73%	4.06%	8.71%	1.24%	2.57%	0.66%	1.80%	2.73%	3.50%	3.44%	4.91%	2.43%	2.95%	2.11%	4.95%	1.86%	1.65%	3.28%	2.58%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	1019	11	38	43	23	15	40	29	46	18	22	23	16	17	10	8	2	20	16	17	22	30	32	16	27	26	15	32	43	27	1	14	15	23	4	23	15	31	7	1	33	35	22	5	1	10	5	1	4	7	11	4	0	2	0	1	11	6	7	9	7	2	10	3	5					
