Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																				
Дата голосования: 04.12.2011																																				
																																				
Наименование Избирательной комиссии:    Алапаевская городская																																				
																																				
Сводная таблица результатов выборов																																				
																																				
		Сумма	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098					
1	"Число избирателей, внесенных в список избирателей"	37120	247	1792	1574	1330	1499	1334	838	1589	1690	1535	1758	1713	2367	856	1345	1454	1540	1129	2292	561	897	1299	1511	892	917	990	274	994	903					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	36650	250	1750	1550	1350	1450	1350	800	1600	1700	1500	1750	1700	2350	800	1350	1450	1550	1150	2350	500	850	1250	1500	850	900	950	250	950	900					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	16602	70	726	667	526	569	702	414	945	911	798	872	916	806	329	628	529	765	593	1114	241	275	523	562	394	443	448	86	423	327					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1514	132	117	47	28	39	74	30	39	86	51	34	40	56	32	34	52	36	37	56	64	45	49	45	70	19	52	37	62	51					
6	Число погашенных избирательных бюллетеней	18534	48	907	836	796	842	574	356	616	703	651	844	744	1488	439	688	869	749	520	1180	195	530	678	893	386	438	450	127	465	522					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1514	132	117	47	28	39	74	30	39	86	51	34	40	56	32	34	52	36	37	56	64	45	49	45	70	19	52	37	62	51					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	16601	70	726	667	526	569	702	414	944	911	798	872	916	806	329	628	529	765	593	1114	241	275	523	562	394	443	448	86	423	327					
9	Число недействительных избирательных бюллетеней	396	6	30	9	12	11	18	8	24	19	14	30	27	15	8	7	10	13	6	14	6	7	14	19	15	10	15	4	12	13					
10	Число действительных избирательных бюллетеней	17719	196	813	705	542	597	758	436	959	978	835	876	929	847	353	655	571	788	624	1156	299	313	558	588	449	452	485	119	473	365					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	677	0	30	30	25	25	32	20	40	40	28	30	30	27	13	40	25	30	30	44	10	20	10	30	20	15	8	5	10	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	597	0	30	27	22	23	32	16	34	40	28	29	30	27	8	37	25	30	25	42	8	18	9	24	9	13	5	0	3	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	256	3	12	6	5	16	7	7	15	7	9	6	26	17	6	12	12	10	8	9	10	15	10	5	6	4	2	1	7	3					
14	Число погашенных неиспользованных открепительных удостоверений	80	0	0	3	3	2	0	4	6	0	0	1	0	0	5	3	0	0	5	2	2	2	1	6	11	2	3	5	7	7					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	9	0	0	0	4	0	0	0	1	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																				
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	4115	35	140	109	99	115	224	110	233	251	221	192	253	155	45	123	101	223	185	320	49	78	145	110	98	70	185	9	150	87					
		22.72%	17.33%	16.61%	15.27%	17.87%	18.91%	28.87%	24.77%	23.70%	25.18%	26.03%	21.19%	26.46%	17.98%	12.47%	18.58%	17.38%	27.84%	29.37%	27.35%	16.07%	24.38%	25.35%	18.12%	21.12%	15.15%	37.00%	7.32%	30.93%	23.02%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	2797	44	158	139	98	120	88	62	122	130	111	132	102	183	78	122	122	97	86	187	56	48	81	129	70	85	44	10	45	48					
		15.44%	21.78%	18.74%	19.47%	17.69%	19.74%	11.34%	13.96%	12.41%	13.04%	13.07%	14.57%	10.67%	21.23%	21.61%	18.43%	20.99%	12.11%	13.65%	15.98%	18.36%	15.00%	14.16%	21.25%	15.09%	18.40%	8.80%	8.13%	9.28%	12.70%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	160	1	14	12	2	6	5	2	7	8	7	4	14	4	5	3	5	6	4	9	2	3	5	6	7	7	4	0	3	5					
		0.88%	0.50%	1.66%	1.68%	0.36%	0.99%	0.64%	0.45%	0.71%	0.80%	0.82%	0.44%	1.46%	0.46%	1.39%	0.45%	0.86%	0.75%	0.63%	0.77%	0.66%	0.94%	0.87%	0.99%	1.51%	1.52%	0.80%	0.00%	0.62%	1.32%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	3424	27	158	149	87	122	184	87	252	200	182	178	190	147	55	148	116	148	109	229	56	63	102	112	56	92	50	22	67	36					
		18.90%	13.37%	18.74%	20.87%	15.70%	20.07%	23.71%	19.59%	25.64%	20.06%	21.44%	19.65%	19.87%	17.05%	15.24%	22.36%	19.97%	18.48%	17.30%	19.57%	18.36%	19.69%	17.83%	18.45%	12.07%	19.91%	10.00%	17.89%	13.81%	9.52%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	394	6	16	6	14	16	26	20	27	28	12	22	26	9	6	15	13	14	15	35	7	6	8	12	5	5	6	0	9	10					
		2.17%	2.97%	1.90%	0.84%	2.53%	2.63%	3.35%	4.50%	2.75%	2.81%	1.41%	2.43%	2.72%	1.04%	1.66%	2.27%	2.24%	1.75%	2.38%	2.99%	2.30%	1.88%	1.40%	1.98%	1.08%	1.08%	1.20%	0.00%	1.86%	2.65%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	6343	77	316	270	213	202	219	141	302	333	283	312	320	320	139	233	201	287	217	352	116	108	206	207	191	157	178	77	189	177					
		35.02%	38.12%	37.49%	37.82%	38.45%	33.22%	28.22%	31.76%	30.72%	33.40%	33.33%	34.44%	33.47%	37.12%	38.50%	35.20%	34.60%	35.83%	34.44%	30.09%	38.03%	33.75%	36.01%	34.10%	41.16%	33.98%	35.60%	62.60%	38.97%	46.83%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	486	6	11	20	29	16	12	14	16	28	19	36	24	29	25	11	13	13	8	24	13	7	11	12	22	36	18	1	10	2					
		2.68%	2.97%	1.30%	2.80%	5.23%	2.63%	1.55%	3.15%	1.63%	2.81%	2.24%	3.97%	2.51%	3.36%	6.93%	1.66%	2.24%	1.62%	1.27%	2.05%	4.26%	2.19%	1.92%	1.98%	4.74%	7.79%	3.60%	0.81%	2.06%	0.53%					
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
