Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																
Дата голосования: 07.12.2003 0:00:00																																																																
																																																																
Наименование Избирательной комиссии:    Элистинская																																																																
																																																																
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																
																																																																
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57					
1	"Число избирателей, внесенных в списки"	79958	1959	1525	2105	1695	753	2231	1813	2013	1953	154	1456	1383	1544	1534	1302	96	1689	1198	905	1545	1868	2199	1917	831	1715	1866	1553	1771	28	2366	1518	1414	1874	1460	1976	1534	1700	1518	1777	1857	2204	1405	1134	1382	1434	847	1510	1743	1016	388	1911	221	285	151	974	1543	215					
2	"Число бюллетеней, полученных участковыми комиссиями"	76448	1929	1470	1984	1686	725	2075	1703	1859	1785	155	1419	1329	1514	1501	1201	85	1506	1149	833	1489	1835	2216	1676	727	1643	1844	1467	1721	24	2334	1474	1376	1865	1400	1970	1478	1674	1514	1688	1774	1996	1350	989	1280	1245	824	1430	1713	937	378	1909	204	268	141	947	1550	190					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	44404	1135	782	1125	1023	400	1209	959	941	1064	78	890	737	874	809	720	0	1037	705	543	688	1155	1306	1110	387	914	999	900	969	0	1333	880	829	1103	769	1143	913	1020	842	969	1067	1235	722	654	698	868	447	877	991	547	122	1137	127	111	78	436	918	109					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1861	30	16	22	24	25	17	24	29	33	75	32	36	26	33	20	82	23	30	33	29	32	30	19	20	41	16	23	24	21	27	17	18	32	12	21	21	20	30	43	67	43	55	24	15	13	16	26	37	56	185	20	4	97	6	40	19	32					
6	Число погашенных бюллетеней	30183	764	672	837	639	300	849	720	889	688	2	497	556	614	659	461	3	446	414	257	772	648	880	547	320	688	829	544	728	3	974	577	529	730	619	806	544	634	642	676	640	718	573	311	567	364	361	527	685	334	71	752	73	60	57	471	613	49					
7	Число бюллетеней в переносных ящиках для голосования	1860	30	16	22	24	25	17	24	29	33	75	32	36	26	33	20	82	23	30	33	29	32	30	19	20	41	16	23	24	21	27	17	18	32	12	21	21	20	30	43	67	43	55	24	15	13	16	26	37	56	185	20	4	96	6	40	19	32					
8	Число бюллетеней в стационарных ящиках для голосования	44345	1135	782	1126	1023	398	1197	955	939	1063	78	889	735	874	808	720	0	1037	689	541	688	1155	1303	1107	386	914	999	900	967	0	1333	880	829	1102	767	1142	912	1020	842	968	1067	1235	722	654	696	868	447	877	991	547	122	1137	127	111	78	436	918	109					
9	Число недействительных бюллетеней	1399	35	41	41	36	28	29	50	25	22	4	18	29	36	13	21	2	19	16	17	40	32	34	32	13	21	56	22	30	0	25	25	19	33	26	21	17	31	10	17	28	61	27	9	27	30	23	20	34	23	4	32	7	23	5	18	28	14					
10	Число действительных бюллетеней	44806	1130	757	1107	1011	395	1185	929	943	1074	149	903	742	864	828	719	80	1041	703	557	677	1155	1299	1094	393	934	959	901	961	21	1335	872	828	1101	753	1142	916	1009	862	994	1106	1217	750	669	684	851	440	883	994	580	303	1125	124	184	79	458	909	127					
