Выборы Президента Российской Федерации																																																																						
																																																																						
Наименование Избирательной комиссии:    Московская №19																																																																						
																																																																						
Итоги голосования 																																																																						
																																																																						
		Сумма	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087					
1	"Число избирателей, внесенных в список"	128280	1884	2049	1852	2590	1554	1360	1652	1865	1895	1369	1724	1809	2090	1682	1933	1767	2005	1960	1596	2349	1957	2402	2572	1798	2133	1996	2693	2513	2441	2250	2513	2576	2256	2138	2437	2419	2580	2111	2453	2461	2048	1959	2088	1621	1853	1748	1731	2151	2211	2198	2275	2644	1665	1104	1755	2265	1787	2333	1747	1942	1924	1678	1869					
2	Число полученных избирательных бюллетеней	124900	1900	2000	1800	2500	1500	1400	1500	1900	1900	1300	1700	1900	2000	1700	1900	1700	1900	2000	1500	2400	1900	2400	2500	1800	2000	2000	2700	2500	2400	2200	2500	2500	2200	2000	2400	2400	2500	2000	2400	2400	2000	2000	2000	1500	1800	1500	1700	2000	2200	2200	2200	2500	1600	1000	1700	2000	1800	2300	1700	1800	1900	1600	1800					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	71608	846	851	901	1256	906	752	1306	953	1004	750	928	996	1083	872	1061	1056	1129	1173	836	1299	1057	1341	1447	983	1227	1192	1572	1391	1387	1334	1372	1451	1274	1236	1399	1397	1449	1187	1420	1366	1149	1030	1193	892	1004	1061	1080	1231	1197	1253	1240	1441	925	592	1006	1312	1009	1357	1017	1132	1114	966	967					
5	"Число избирательных бюллетеней, выданных вне помещения"	2285	12	24	36	44	23	22	12	22	40	33	21	22	28	17	39	14	24	14	28	23	35	44	52	46	58	41	45	43	52	44	61	47	44	47	73	42	48	39	59	46	34	67	40	40	33	25	36	48	37	47	44	57	32	17	9	35	33	63	32	38	34	12	8					
6	Число погашенных избирательных бюллетеней	51007	1042	1125	863	1200	571	626	182	925	856	517	751	882	889	811	800	630	747	813	636	1078	808	1015	1001	771	715	767	1083	1066	961	822	1067	1002	882	717	928	961	1003	774	921	988	817	903	767	568	763	414	584	721	966	900	916	1002	643	391	685	653	758	880	651	630	752	622	825					
7	Число избирательных бюллетеней в переносных ящиках	2284	12	24	36	44	23	22	12	22	40	33	21	22	28	17	39	14	24	14	28	23	35	44	52	46	58	41	45	43	52	44	61	47	44	47	73	42	48	39	59	46	34	67	39	40	33	25	36	48	37	47	44	57	32	17	9	35	33	63	32	38	34	12	8					
8	Число бюллетеней в стационарных ящиках для голосования	71551	843	850	900	1254	906	752	1306	952	1004	750	928	996	1083	871	1061	1052	1129	1173	836	1296	1057	1341	1447	982	1227	1192	1572	1391	1386	1334	1371	1451	1274	1233	1399	1397	1449	1187	1420	1366	1149	1022	1191	890	1004	1057	1080	1218	1197	1253	1240	1441	925	592	1003	1310	1008	1357	1017	1132	1114	966	967					
9	Число недействительных избирательных бюллетеней	269	0	4	4	4	2	1	10	6	0	5	5	0	8	5	2	4	4	6	2	2	4	3	5	2	4	2	5	8	2	3	6	3	3	0	9	6	8	7	8	4	3	2	4	1	2	1	4	3	5	3	4	3	6	2	2	2	7	2	4	16	9	10	8					
10	Число действительных избирательных бюллетеней	73566	855	870	932	1294	927	773	1308	968	1044	778	944	1018	1103	883	1098	1062	1149	1181	862	1317	1088	1382	1494	1026	1281	1231	1612	1426	1436	1375	1426	1495	1315	1280	1463	1433	1489	1219	1471	1408	1180	1087	1226	929	1035	1081	1112	1263	1229	1297	1280	1495	951	607	1010	1343	1034	1418	1045	1154	1139	968	967					
