Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																								
Дата голосования: 18.09.2016																								
																								
Наименование Избирательной комиссии:    Черноярская																								
																								
Сводная таблица итогов голосования по федеральному избирательному округу																								
																								
		Сумма	УИК №1601	УИК №1602	УИК №1603	УИК №1604	УИК №1605	УИК №1606	УИК №1607	УИК №1608	УИК №1609	УИК №1610	УИК №1611	УИК №1612	УИК №1613									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	14527	1445	1454	2143	1009	1237	962	1536	522	337	748	688	1263	1183									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	14100	1450	1450	2100	1000	1200	950	1500	500	300	700	650	1200	1100									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	5385	496	484	800	392	475	294	557	216	152	261	257	451	550									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	340	27	12	10	10	9	20	36	18	22	26	61	82	7									
6	Число погашенных избирательных бюллетеней	8375	927	954	1290	598	716	636	907	266	126	413	332	667	543									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	340	27	12	10	10	9	20	36	18	22	26	61	82	7									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	5385	496	484	800	392	475	294	557	216	152	261	257	451	550									
9	Число недействительных избирательных бюллетеней	150	27	4	17	12	10	12	3	20	6	6	2	15	16									
10	Число действительных избирательных бюллетеней	5575	496	492	793	390	474	302	590	214	168	281	316	518	541									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	130	10	10	10	10	10	10	10	10	10	10	10	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	37	3	6	8	6	5	0	0	0	1	3	0	1	4									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	31	3	2	2	3	0	5	3	3	2	2	4	2	0									
14	Число погашенных неиспользованных открепительных удостоверений	93	7	4	2	4	5	10	10	10	9	7	10	9	6									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	15	2	1	5	2	5	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																								
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	45	3	2	4	5	3	4	5	4	2	3	3	3	4									
		0.79%	0.57%	0.40%	0.49%	1.24%	0.62%	1.27%	0.84%	1.71%	1.15%	1.05%	0.94%	0.56%	0.72%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	275	23	23	45	16	26	21	45	12	6	7	16	10	25									
		4.80%	4.40%	4.64%	5.56%	3.98%	5.37%	6.69%	7.59%	5.13%	3.45%	2.44%	5.03%	1.88%	4.49%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	129	10	18	16	11	10	6	12	1	11	9	5	10	10									
		2.25%	1.91%	3.63%	1.98%	2.74%	2.07%	1.91%	2.02%	0.43%	6.32%	3.14%	1.57%	1.88%	1.80%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2360	185	159	243	146	151	130	261	113	55	157	139	300	321									
		41.22%	35.37%	32.06%	30.00%	36.32%	31.20%	41.40%	44.01%	48.29%	31.61%	54.70%	43.71%	56.29%	57.63%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	24	1	0	7	1	1	1	1	5	1	0	1	0	5									
		0.42%	0.19%	0.00%	0.86%	0.25%	0.21%	0.32%	0.17%	2.14%	0.57%	0.00%	0.31%	0.00%	0.90%									
24	"6. Политическая партия ""Гражданская Платформа"""	4	2	0	0	0	0	0	0	1	1	0	0	0	0									
		0.07%	0.38%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.43%	0.57%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	973	118	98	179	83	95	57	87	14	38	27	47	74	56									
		16.99%	22.56%	19.76%	22.10%	20.65%	19.63%	18.15%	14.67%	5.98%	21.84%	9.41%	14.78%	13.88%	10.05%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	33	2	8	3	6	1	1	5	3	0	0	3	0	1									
		0.58%	0.38%	1.61%	0.37%	1.49%	0.21%	0.32%	0.84%	1.28%	0.00%	0.00%	0.94%	0.00%	0.18%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	24	2	3	4	1	5	1	2	0	1	2	1	1	1									
		0.42%	0.38%	0.60%	0.49%	0.25%	1.03%	0.32%	0.34%	0.00%	0.57%	0.70%	0.31%	0.19%	0.18%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	25	0	0	4	0	0	0	2	0	1	1	1	15	1									
		0.44%	0.00%	0.00%	0.49%	0.00%	0.00%	0.00%	0.34%	0.00%	0.57%	0.35%	0.31%	2.81%	0.18%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	44	6	2	7	5	3	3	5	4	0	1	0	3	5									
		0.77%	1.15%	0.40%	0.86%	1.24%	0.62%	0.96%	0.84%	1.71%	0.00%	0.35%	0.00%	0.56%	0.90%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1364	116	142	230	92	132	71	151	51	44	61	91	86	97									
		23.83%	22.18%	28.63%	28.40%	22.89%	27.27%	22.61%	25.46%	21.79%	25.29%	21.25%	28.62%	16.14%	17.41%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	14	2	0	0	0	2	1	2	0	1	2	1	1	2									
		0.24%	0.38%	0.00%	0.00%	0.00%	0.41%	0.32%	0.34%	0.00%	0.57%	0.70%	0.31%	0.19%	0.36%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	261	26	37	51	24	45	6	12	6	7	11	8	15	13									
		4.56%	4.97%	7.46%	6.30%	5.97%	9.30%	1.91%	2.02%	2.56%	4.02%	3.83%	2.52%	2.81%	2.33%									
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
