Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																															
Дата голосования: 07.12.2003 0:00:00																																																																															
																																																																															
Наименование Избирательной комиссии:    Ленинская																																																																															
																																																																															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																															
																																																																															
		Сумма	УИК №1081	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098	УИК №1099	УИК №1100	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150	УИК №1151	УИК №1152					
1	"Число избирателей, внесенных в списки"	114208	1106	1525	2488	2456	1785	2189	1441	1919	1992	1779	2487	2071	2115	2014	909	1652	2685	1950	1675	800	873	1071	1757	1345	344	423	1397	1251	1703	481	1381	1403	2313	2642	256	104	484	527	415	1157	582	2684	2657	2538	293	835	2221	2120	1745	1169	2549	230	1997	179	2307	2199	2152	2713	2718	1253	547	2307	2256	2323	2886	1686	1967	1977	584	2087	1755	327					
2	"Число бюллетеней, полученных участковыми комиссиями"	113180	1020	1510	2470	2450	1740	2200	2710	1910	2000	1750	2350	1960	2100	1900	900	1600	2520	1850	1600	1440	850	1030	1700	1360	350	410	1420	1140	1600	480	1370	1400	2320	2570	250	100	470	520	390	1110	560	2600	2460	2440	290	780	2150	2110	1750	1150	2560	230	2000	200	2310	2180	2160	2520	2600	1220	550	2150	2170	2130	2770	1680	1840	2000	620	1980	1700	500					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	60998	605	925	1330	1303	904	1166	1428	991	1006	1002	1393	1120	1040	1019	483	818	1454	975	941	794	403	493	828	786	162	236	734	548	723	236	707	733	1215	1524	115	51	245	274	186	624	316	1427	1382	1392	146	384	1137	1224	980	662	1372	106	1164	94	1212	1138	1086	1400	1320	674	77	1330	1150	1873	1288	894	1046	1145	375	952	732	0					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1773	21	21	26	14	17	14	13	15	12	2	9	12	15	23	7	15	11	16	13	4	12	19	27	22	46	38	31	52	70	38	9	13	13	22	20	10	5	28	22	4	14	19	44	4	31	12	20	16	19	3	11	17	30	10	13	8	9	13	12	19	132	16	26	51	3	11	10	67	23	0	2	327					
6	Число погашенных бюллетеней	50409	394	564	1114	1133	819	1020	1269	904	982	746	948	828	1045	858	410	767	1055	859	646	642	435	518	845	552	142	136	655	540	807	206	654	654	1092	1024	115	39	220	218	182	482	230	1154	1034	1044	113	384	993	870	751	485	1177	107	806	96	1085	1034	1065	1107	1268	527	341	804	994	206	1479	775	784	788	222	1028	966	173					
7	Число бюллетеней в переносных ящиках для голосования	1773	21	21	26	14	17	14	13	15	12	2	9	12	15	23	7	15	11	16	13	4	12	19	27	22	46	38	31	52	70	38	9	13	13	22	20	10	5	28	22	4	14	19	44	4	31	12	20	16	19	3	11	17	30	10	13	8	9	13	12	19	132	16	26	51	3	11	10	67	23	0	2	327					
8	Число бюллетеней в стационарных ящиках для голосования	60868	603	925	1330	1303	902	1161	1427	991	1006	1002	1389	1120	1036	996	483	818	1447	975	941	794	403	492	828	786	162	236	734	548	723	236	705	733	1215	1502	113	51	245	274	186	621	316	1427	1382	1391	146	384	1137	1224	978	662	1372	106	1163	94	1212	1132	1086	1400	1320	674	77	1310	1150	1863	1287	894	1045	1135	375	952	732	0					
9	Число недействительных бюллетеней	1309	38	18	36	43	18	66	35	27	23	26	19	22	26	21	12	18	31	14	18	14	9	12	10	11	4	7	10	24	17	7	17	18	40	21	5	2	6	5	4	6	11	24	15	9	4	15	53	28	8	5	43	7	29	3	27	4	28	23	10	34	3	17	16	8	5	36	24	10	5	21	14	10					
10	Число действительных бюллетеней	61332	586	928	1320	1274	901	1109	1405	979	995	978	1379	1110	1025	998	478	815	1427	977	936	784	406	499	845	797	204	267	755	576	776	267	697	728	1188	1503	128	59	244	297	204	619	319	1422	1411	1386	173	381	1104	1212	989	660	1340	116	1164	101	1198	1136	1067	1390	1322	659	206	1309	1160	1906	1285	869	1031	1192	393	931	720	317					
