Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																										
Дата голосования: 02.12.2007																										
																										
Наименование Избирательной комиссии:    Оленегорская																										
																										
Сводная таблица результатов выборов																										
																										
		Сумма	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360					
1	"Число избирателей, внесенных в списки избирателей"	26443	1714	1874	80	2210	2038	1797	1704	1839	2259	1892	1533	1575	1415	1624	20	104	193	1792	780					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	25845	1700	1800	95	2200	2000	1700	1700	1800	2200	1900	1500	1500	1300	1500	20	100	250	1800	780					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	15538	834	976	6	1170	1093	1007	934	1043	1259	1063	814	852	948	1031	17	77	101	1571	742					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	581	29	41	73	22	34	43	41	36	34	19	39	20	7	8	0	0	82	49	4					
6	Число погашенных избирательных бюллетеней	9726	837	783	16	1008	873	650	725	721	907	818	647	628	345	461	3	23	67	180	34					
7	Число избирательных бюллетеней в переносных ящиках для голосования	580	29	40	73	22	34	43	41	36	34	19	39	20	7	8	0	0	82	49	4					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	15532	834	976	6	1170	1092	1007	934	1043	1259	1063	814	852	948	1030	17	77	101	1568	741					
9	Число недействительных избирательных бюллетеней	220	8	7	0	9	6	11	12	10	17	16	8	6	13	13	0	0	2	61	21					
10	Число действительных избирательных бюллетеней	15892	855	1009	79	1183	1120	1039	963	1069	1276	1066	845	866	942	1025	17	77	181	1556	724					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	650	30	30	0	40	40	30	30	30	40	40	30	30	50	50	10	20	50	50	50					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	238	10	14	0	10	12	13	11	14	16	16	6	8	28	29	0	2	7	22	20					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	133	2	1	59	4	5	9	2	14	4	4	1	1	6	8	3	6	1	1	2					
14	Число погашенных неиспользованных открепительных удостоверений	412	20	16	0	30	28	17	19	16	24	24	24	22	22	21	10	18	43	28	30					
