Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																												
Дата голосования: 18.09.2016																																												
																																												
Наименование Избирательной комиссии:    Чебоксарская-38																																												
																																												
Сводная таблица итогов голосования по федеральному избирательному округу																																												
																																												
		Сумма	УИК №1701	УИК №1702	УИК №1703	УИК №1704	УИК №1705	УИК №1706	УИК №1707	УИК №1708	УИК №1709	УИК №1710	УИК №1711	УИК №1712	УИК №1713	УИК №1714	УИК №1715	УИК №1716	УИК №1717	УИК №1718	УИК №1719	УИК №1720	УИК №1721	УИК №1722	УИК №1729	УИК №1730	УИК №1731	УИК №1732	УИК №1733	УИК №1734	УИК №1735	УИК №1752	УИК №1753	УИК №1754	УИК №1755									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	19875	345	363	640	345	503	833	441	698	446	769	353	513	378	153	515	225	1664	847	344	360	371	327	924	486	1028	716	1031	319	529	633	867	491	1418									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	20965	365	530	710	350	495	835	435	690	485	810	375	575	465	165	555	230	1710	925	365	375	385	340	950	520	1050	735	1070	360	555	680	875	525	1475									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	11652	209	300	397	244	281	430	298	476	199	445	254	403	241	93	270	138	922	543	171	210	210	158	519	281	590	360	642	226	310	300	495	345	692									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1665	52	63	73	10	8	48	23	40	92	84	43	55	41	26	58	29	65	32	55	76	44	56	27	62	107	56	55	34	45	75	14	30	87									
6	Число погашенных избирательных бюллетеней	7648	104	167	240	96	206	357	114	174	194	281	78	117	183	46	227	63	723	350	139	89	131	126	404	177	353	319	373	100	200	305	366	150	696									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1665	52	63	73	10	8	48	23	40	92	84	43	55	41	26	58	29	65	32	55	76	44	56	27	62	107	56	55	34	45	75	14	30	87									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	11652	209	300	397	244	281	430	298	476	199	445	254	403	241	93	270	138	922	543	171	210	210	158	519	281	590	360	642	226	310	300	495	345	692									
9	Число недействительных избирательных бюллетеней	501	15	12	14	9	8	24	16	28	10	9	3	13	12	14	20	14	53	20	7	6	14	10	22	20	20	11	11	9	17	12	21	3	24									
10	Число действительных избирательных бюллетеней	12816	246	351	456	245	281	454	305	488	281	520	294	445	270	105	308	153	934	555	219	280	240	204	524	323	677	405	686	251	338	363	488	372	755									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	885	10	15	15	10	15	20	10	20	25	35	30	60	35	15	30	10	55	30	15	15	15	15	36	40	30	20	40	34	25	40	25	35	60									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	874	10	15	15	10	15	20	10	9	25	35	30	60	35	15	30	10	55	30	15	15	15	15	36	40	30	20	40	34	25	40	25	35	60									
