Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																													
Дата голосования: 07.12.2003 0:00:00																													
																													
Наименование Избирательной комиссии:    Косинская																													
																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																													
																													
		Сумма	УИК №4901	УИК №4902	УИК №4903	УИК №4904	УИК №4905	УИК №4906	УИК №4907	УИК №4908	УИК №4909	УИК №4910	УИК №4911	УИК №4912	УИК №4913	УИК №4914	УИК №4915	УИК №4916	УИК №4917	УИК №4918	УИК №4919	УИК №4920	УИК №4921	УИК №4922					
1	"Число избирателей, внесенных в списки"	6161	1816	863	95	76	130	371	289	352	189	66	48	210	158	303	70	146	20	337	156	183	180	103					
2	"Число бюллетеней, полученных участковыми комиссиями"	6200	1760	840	100	90	150	360	260	360	190	75	60	210	160	320	80	150	25	340	160	200	170	140					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	3674	957	554	50	50	79	206	140	218	107	53	37	125	84	180	42	74	17	244	114	128	118	97					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	375	44	18	8	4	11	33	72	29	9	7	4	24	0	44	9	27	2	12	2	8	2	6					
6	Число погашенных бюллетеней	2151	759	268	42	36	60	121	48	113	74	15	19	61	76	96	29	49	6	84	44	64	50	37					
7	Число бюллетеней в переносных ящиках для голосования	375	44	18	8	4	11	33	72	29	9	7	4	24	0	44	9	27	2	12	2	8	2	6					
8	Число бюллетеней в стационарных ящиках для голосования	3674	957	554	50	50	79	206	140	218	107	53	37	125	84	180	42	74	17	244	114	128	118	97					
9	Число недействительных бюллетеней	137	33	12	0	5	4	7	6	11	0	2	3	1	11	2	3	7	1	8	5	3	11	2					
10	Число действительных бюллетеней	3912	968	560	58	49	86	232	206	236	116	58	38	148	73	222	48	94	18	248	111	133	109	101					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	200	68	20	5	5	5	10	5	10	5	3	3	5	5	10	3	5	3	10	5	5	5	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	44	21	7	0	1	0	1	1	2	0	0	0	1	0	5	0	1	0	1	0	2	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	24	5	1	0	0	0	2	1	4	1	0	0	0	0	2	0	0	2	1	0	0	1	4					
14	Число погашенных открепительных удостоверений	156	47	13	5	4	5	9	4	8	5	3	3	4	5	5	3	1	6	9	5	3	4	5					
15	Число открепительных удостоверений выданных ТИК	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																													
18	"1. ""ЕДИНЕНИЕ"""	121	30	16	2	2	5	3	8	4	6	1	1	6	3	6	1	7	0	5	4	7	3	1					
		2.98%	2.99%	2.79%	3.44%	3.70%	5.55%	1.25%	3.77%	1.61%	5.17%	1.66%	2.43%	4.02%	3.57%	2.67%	1.96%	6.93%	0.0%	1.95%	3.44%	5.14%	2.5%	0.97%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	249	94	39	1	3	10	16	8	9	4	1	2	5	9	5	0	5	0	11	7	10	8	2					
		6.14%	9.39%	6.81%	1.72%	5.55%	11.11%	6.69%	3.77%	3.64%	3.44%	1.66%	4.87%	3.35%	10.71%	2.23%	0.0%	4.95%	0.0%	4.29%	6.03%	7.35%	6.66%	1.94%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	112	25	8	5	0	2	6	8	7	1	0	0	2	3	7	0	4	0	9	5	7	12	1					
