Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																														
Дата голосования: 04.12.2011																																														
																																														
Наименование Избирательной комиссии:    Енисейская																																														
																																														
Сводная таблица результатов выборов																																														
																																														
		Сумма	УИК №1153	УИК №1154	УИК №1155	УИК №1156	УИК №1157	УИК №1158	УИК №1159	УИК №1160	УИК №1161	УИК №1162	УИК №1163	УИК №1164	УИК №1165	УИК №1166	УИК №1167	УИК №1168	УИК №1169	УИК №1170	УИК №1171	УИК №1172	УИК №1173	УИК №1174	УИК №1175	УИК №1176	УИК №1177	УИК №1178	УИК №1179	УИК №1180	УИК №1181	УИК №1182	УИК №1183	УИК №1184	УИК №1185	УИК №1186	УИК №1187	УИК №1188	УИК №1189	УИК №1190	УИК №2283					
1	"Число избирателей, внесенных в список избирателей"	21050	1249	1600	564	518	246	935	381	391	1055	1036	165	694	1042	1451	143	1435	369	154	258	279	1016	330	152	213	80	821	189	64	236	93	91	1321	439	578	21	81	198	84	1078					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	20604	1128	1673	556	513	242	923	379	382	952	1015	159	679	1026	1418	139	1391	369	161	253	278	1001	327	139	215	80	848	197	66	226	91	90	1313	443	516	21	82	198	81	1034					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	10046	630	731	306	259	98	387	180	210	479	497	79	279	383	612	78	781	169	91	150	154	455	156	102	136	69	359	106	25	130	61	71	538	202	319	17	63	154	30	500					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	653	14	36	21	27	46	22	4	18	55	39	9	19	43	23	7	17	8	4	1	4	21	13	3	0	0	31	7	0	7	25	0	54	7	24	0	0	0	2	42					
6	Число погашенных избирательных бюллетеней	9894	484	906	229	227	98	514	195	154	418	479	71	381	600	783	54	593	192	66	102	120	525	158	34	79	11	458	84	41	89	5	19	710	234	173	4	19	44	49	492					
7	Число избирательных бюллетеней в переносных ящиках для голосования	664	14	36	21	27	46	22	4	18	55	39	9	19	43	23	7	17	8	4	1	4	21	13	3	0	0	31	7	0	7	25	0	65	7	24	0	0	0	2	42					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	10043	630	731	306	259	98	387	180	210	479	497	79	279	382	611	78	780	169	91	150	154	455	156	102	136	69	359	106	25	130	61	71	538	202	319	17	63	154	30	500					
9	Число недействительных избирательных бюллетеней	171	10	11	2	8	3	6	5	6	13	8	0	4	6	23	2	4	3	2	3	4	7	1	0	1	0	1	3	0	1	0	2	12	2	4	0	0	1	0	13					
10	Число действительных избирательных бюллетеней	10536	634	756	325	278	141	403	179	222	521	528	88	294	419	611	83	793	174	93	148	154	469	168	105	135	69	389	110	25	136	86	69	591	207	339	17	63	153	32	529					
