Выборы Президента Российской Федерации																																										
																																										
Наименование Избирательной комиссии:    Тункинская																																										
																																										
Итоги голосования 																																										
																																										
		Сумма	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617					
1	"Число избирателей, внесенных в список"	14949	257	556	597	186	411	133	196	208	392	752	237	336	51	125	48	394	274	886	558	153	806	41	397	362	146	850	882	1001	837	838	368	432	120	455	664					
2	Число полученных избирательных бюллетеней	15404	265	616	633	186	404	133	204	208	398	775	245	339	51	121	52	404	306	899	472	159	855	42	402	421	154	860	916	1013	883	869	384	438	120	477	700					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	11628	205	445	463	160	340	128	149	182	255	531	201	291	45	108	47	348	237	678	457	115	665	37	356	323	135	607	619	712	613	603	283	339	98	375	478					
5	"Число избирательных бюллетеней, выданных вне помещения"	1347	33	54	42	20	46	0	32	19	79	69	15	19	6	13	1	39	28	57	15	38	74	4	17	15	5	32	119	59	49	117	78	36	22	16	79					
6	Число погашенных избирательных бюллетеней	2429	27	117	128	6	18	5	23	7	64	175	29	29	0	0	4	17	41	164	0	6	116	1	29	83	14	221	178	242	221	149	23	63	0	86	143					
7	Число избирательных бюллетеней в переносных ящиках	1347	33	54	42	20	46	0	32	19	79	69	15	19	6	13	1	39	28	57	15	38	74	4	17	15	5	32	119	59	49	117	78	36	22	16	79					
8	Число бюллетеней в стационарных ящиках для голосования	11628	205	445	463	160	340	128	149	182	255	531	201	291	45	108	47	348	237	678	457	115	665	37	356	323	135	607	619	712	613	603	283	339	98	375	478					
9	Число недействительных избирательных бюллетеней	190	4	11	4	3	3	0	1	3	7	18	3	7	0	0	1	0	7	10	10	8	11	1	1	4	10	5	10	17	9	5	3	1	2	7	4					
10	Число действительных избирательных бюллетеней	12785	234	488	501	177	383	128	180	198	327	582	213	303	51	121	47	387	258	725	462	145	728	40	372	334	130	634	728	754	653	715	358	374	118	384	553					
11	Число полученных открепительных  удостоверений	699	10	20	20	10	20	10	10	10	20	25	15	10	10	10	5	20	10	30	20	10	30	5	20	20	10	50	50	50	50	50	10	20	9	10	20					
12	Число выданных открепительных удостоверений	352	0	3	20	4	5	0	3	0	7	24	14	10	0	2	4	20	6	21	8	1	20	3	5	12	10	15	16	38	30	15	3	6	0	7	20					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	187	5	3	2	3	7	1	4	1	4	0	1	3	1	2	2	3	1	27	33	2	4	1	2	2	2	8	15	10	9	3	0	2	15	2	7					
14	Число неиспользованных открепительных удостоверений	347	10	17	0	6	15	10	7	10	13	1	1	0	10	8	1	0	4	9	12	9	10	2	15	8	0	35	34	12	20	35	7	14	9	3	0					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																										
18	. Глазьев Сергей Юрьевич	163	1	3	6	1	7	0	3	8	5	16	1	1	0	0	0	1	1	15	11	2	13	1	3	3	1	7	10	7	12	7	1	0	3	4	9					
		1.26%	0.42%	0.60%	1.19%	0.56%	1.81%	0.00%	1.66%	3.98%	1.50%	2.67%	0.46%	0.32%	0.00%	0.00%	0.00%	0.26%	0.38%	2.04%	2.33%	1.31%	1.76%	2.44%	0.80%	0.89%	0.71%	1.10%	1.36%	0.91%	1.81%	0.97%	0.28%	0.00%	2.50%	1.02%	1.62%					
19	. Малышкин Олег Александрович	67	2	0	0	0	1	0	2	2	2	6	1	0	2	1	0	0	0	4	6	2	2	0	0	0	0	2	4	6	7	1	4	0	4	1	5					
		0.52%	0.84%	0.00%	0.00%	0.00%	0.26%	0.00%	1.10%	1.00%	0.60%	1.00%	0.46%	0.00%	3.92%	0.83%	0.00%	0.00%	0.00%	0.54%	1.27%	1.31%	0.27%	0.00%	0.00%	0.00%	0.00%	0.31%	0.54%	0.78%	1.06%	0.14%	1.11%	0.00%	3.33%	0.26%	0.90%					
20	. Миронов Сергей Михайлович	62	0	3	0	1	1	0	1	1	3	3	0	0	1	0	2	0	0	2	4	1	2	1	0	2	0	6	1	7	4	2	0	0	0	10	4					
		0.48%	0.00%	0.60%	0.00%	0.56%	0.26%	0.00%	0.55%	0.50%	0.90%	0.50%	0.00%	0.00%	1.96%	0.00%	4.17%	0.00%	0.00%	0.27%	0.85%	0.65%	0.27%	2.44%	0.00%	0.59%	0.00%	0.94%	0.14%	0.91%	0.60%	0.28%	0.00%	0.00%	0.00%	2.56%	0.72%					
21	. Путин Владимир Владимирович	10745	207	409	425	147	335	112	159	170	278	494	191	279	39	107	39	366	234	559	336	117	644	37	339	286	105	493	617	603	503	602	328	333	97	306	449					
		82.81%	86.97%	81.96%	84.16%	81.67%	86.79%	87.50%	87.85%	84.58%	83.23%	82.33%	88.43%	90.00%	76.47%	88.43%	81.25%	94.57%	88.30%	76.05%	71.19%	76.47%	87.14%	90.24%	90.88%	84.62%	75.00%	77.15%	83.60%	78.21%	75.98%	83.61%	90.86%	88.80%	80.83%	78.26%	80.61%					
22	. Хакамада Ирина Муцуовна	516	6	22	19	6	10	0	1	3	4	3	6	8	4	1	0	12	11	65	34	2	24	0	1	19	3	41	29	43	28	49	8	4	2	18	30					
		3.98%	2.52%	4.41%	3.76%	3.33%	2.59%	0.00%	0.55%	1.49%	1.20%	0.50%	2.78%	2.58%	7.84%	0.83%	0.00%	3.10%	4.15%	8.84%	7.20%	1.31%	3.25%	0.00%	0.27%	5.62%	2.14%	6.42%	3.93%	5.58%	4.23%	6.81%	2.22%	1.07%	1.67%	4.60%	5.39%					
23	. Харитонов Николай Михайлович	1159	18	51	46	22	29	15	14	14	33	56	14	15	5	11	6	7	11	78	61	20	40	1	29	23	20	76	64	82	90	50	17	36	9	44	52					
		8.93%	7.56%	10.22%	9.11%	12.22%	7.51%	11.72%	7.73%	6.97%	9.88%	9.33%	6.48%	4.84%	9.80%	9.09%	12.50%	1.81%	4.15%	10.61%	12.92%	13.07%	5.41%	2.44%	7.77%	6.80%	14.29%	11.89%	8.67%	10.64%	13.60%	6.94%	4.71%	9.60%	7.50%	11.25%	9.34%					
																																										
24	Против всех	73	0	0	5	0	0	1	0	0	2	4	0	0	0	1	0	1	1	2	10	1	3	0	0	1	1	9	3	6	9	4	0	1	3	1	4					
		0.56%	0.00%	0.00%	0.99%	0.00%	0.00%	0.78%	0.00%	0.00%	0.60%	0.67%	0.00%	0.00%	0.00%	0.83%	0.00%	0.26%	0.38%	0.27%	2.12%	0.65%	0.41%	0.00%	0.00%	0.30%	0.71%	1.41%	0.41%	0.78%	1.36%	0.56%	0.00%	0.27%	2.50%	0.26%	0.72%					
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
