Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																							
Дата голосования: 18.09.2016																																																																							
																																																																							
Наименование Избирательной комиссии:    Луховицкая																																																																							
																																																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																																																							
																																																																							
		Сумма	УИК №1365	УИК №1366	УИК №1367	УИК №1368	УИК №1369	УИК №1370	УИК №1371	УИК №1372	УИК №1373	УИК №1374	УИК №1375	УИК №1376	УИК №1377	УИК №1378	УИК №1379	УИК №1380	УИК №1381	УИК №1382	УИК №1383	УИК №1384	УИК №1385	УИК №1386	УИК №1387	УИК №1388	УИК №1389	УИК №1390	УИК №1391	УИК №1392	УИК №1393	УИК №1394	УИК №1395	УИК №1396	УИК №1397	УИК №1398	УИК №1399	УИК №1400	УИК №1401	УИК №1402	УИК №1403	УИК №1404	УИК №1405	УИК №1406	УИК №1407	УИК №1408	УИК №1409	УИК №1410	УИК №1411	УИК №1412	УИК №1413	УИК №1414	УИК №1415	УИК №1416	УИК №1417	УИК №1418	УИК №1419	УИК №1420	УИК №1421	УИК №1422	УИК №1423	УИК №1424									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	49665	1379	270	948	1548	1414	1278	1374	970	582	1325	1296	1276	1353	1216	1289	1291	1244	1234	1365	1155	1229	1268	498	515	549	545	520	510	559	502	507	581	561	980	535	775	1071	620	776	710	691	288	353	551	597	551	586	628	324	268	305	544	526	268	1350	1409	811	313	841	843									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	44789	1247	240	853	1381	1253	1156	1168	868	513	1282	1200	1148	1214	1100	1166	1166	1123	1120	1227	1051	1103	1150	450	466	493	490	464	454	508	450	450	535	500	845	483	700	953	571	697	656	624	257	309	497	545	500	529	578	285	235	284	505	484	245	1212	1263	739	278	760	766									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	19856	527	125	355	740	543	481	397	411	193	558	513	446	438	458	511	492	466	551	577	473	462	542	204	219	194	212	203	168	173	199	191	350	182	412	160	311	500	266	297	259	250	147	184	222	314	242	237	237	128	52	94	210	237	89	657	686	266	142	376	327									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1557	8	4	23	25	9	8	4	9	5	4	10	6	25	4	4	12	6	5	0	3	8	6	37	9	33	15	41	34	38	14	21	0	60	26	88	11	40	39	87	85	69	23	25	38	10	20	45	29	38	65	50	46	24	35	38	3	38	26	35	34									
6	Число погашенных избирательных бюллетеней	23376	712	111	475	616	701	667	767	448	315	720	677	696	751	638	651	662	651	564	650	575	633	602	209	238	266	263	220	252	297	237	238	185	258	407	235	378	413	266	313	312	305	87	100	237	221	238	247	312	119	118	140	249	223	121	517	574	435	110	349	405									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1557	8	4	23	25	9	8	4	9	5	4	10	6	25	4	4	12	6	5	0	3	8	6	37	9	33	15	41	34	38	14	21	0	60	26	88	11	40	39	87	85	69	23	25	38	10	20	45	29	38	65	50	46	24	35	38	3	38	26	35	34									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	19788	526	125	355	740	543	481	397	409	193	558	513	446	438	458	511	479	466	551	577	471	462	541	204	219	194	212	203	168	173	199	191	350	182	411	160	311	500	266	297	211	250	147	184	222	314	242	237	237	128	52	94	210	237	89	657	686	266	142	376	327									
9	Число недействительных избирательных бюллетеней	813	15	3	24	32	13	19	21	9	8	17	26	13	14	16	22	17	19	27	20	16	15	16	10	9	12	10	8	7	7	15	11	7	6	20	8	14	26	10	12	9	11	6	4	14	16	8	11	7	5	2	6	0	14	6	23	26	14	10	23	24									
10	Число действительных избирательных бюллетеней	20532	519	126	354	733	539	470	380	409	190	545	497	439	449	446	493	474	453	529	557	458	455	531	231	219	215	217	236	195	204	198	201	343	236	417	240	308	514	295	372	287	308	164	205	246	308	254	271	259	161	115	138	256	247	118	672	663	290	158	388	337									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	648	15	10	10	10	15	11	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	11	10	10	10	10	10	10	10	10	10	15	10	10	10	10	10	10	10	20	10	10	10	10	15	10	13	10	10	10	10	10	10	10	13	10	10	10	15	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	346	13	2	8	5	6	11	2	8	1	4	2	7	3	5	9	9	2	8	4	6	5	11	0	7	4	1	4	0	4	1	2	11	0	9	1	2	2	10	5	20	10	2	3	0	10	4	13	3	0	0	10	10	8	2	13	2	10	2	15	15									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	222	4	4	6	4	4	8	5	2	4	5	2	2	1	7	2	2	2	4	4	0	2	4	1	4	7	0	1	2	1	0	8	5	5	7	1	0	12	0	7	8	7	5	1	0	2	0	4	2	5	3	2	4	6	4	9	0	5	3	10	3									
14	Число погашенных неиспользованных открепительных удостоверений	302	2	8	2	5	9	0	8	2	9	6	8	3	7	5	1	1	8	2	6	4	5	0	10	3	6	9	6	10	6	9	8	4	10	1	9	8	8	0	5	0	0	8	7	10	5	6	0	7	10	10	0	0	2	8	0	8	0	8	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	96	6	0	5	3	1	3	1	6	0	4	2	1	2	3	2	7	0	3	3	3	1	2	0	0	1	1	0	0	0	1	0	5	4	8	2	0	2	1	0	0	0	0	0	0	1	0	1	2	1	0	0	1	1	0	3	1	0	0	0	2									
