Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																	
Дата голосования: 18.09.2016																																																																																	
																																																																																	
Наименование Избирательной комиссии:    район Ясенево																																																																																	
																																																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																	
																																																																																	
		Сумма	УИК №2474	УИК №2475	УИК №2476	УИК №2477	УИК №2478	УИК №2479	УИК №2480	УИК №2481	УИК №2482	УИК №2483	УИК №2484	УИК №2485	УИК №2486	УИК №2487	УИК №2488	УИК №2489	УИК №2490	УИК №2491	УИК №2492	УИК №2493	УИК №2494	УИК №2495	УИК №2496	УИК №2497	УИК №2498	УИК №2499	УИК №2500	УИК №2501	УИК №2502	УИК №2503	УИК №2504	УИК №2505	УИК №2506	УИК №2507	УИК №2508	УИК №2509	УИК №2510	УИК №2511	УИК №2512	УИК №2513	УИК №2514	УИК №2515	УИК №2516	УИК №2517	УИК №2518	УИК №2519	УИК №2520	УИК №2521	УИК №2522	УИК №2523	УИК №2524	УИК №2525	УИК №2526	УИК №2527	УИК №2528	УИК №2529	УИК №2530	УИК №2531	УИК №2532	УИК №2533	УИК №2534	УИК №2535	УИК №2536	УИК №2537	УИК №2538	УИК №2539	УИК №2540	УИК №3749	УИК №3750	УИК №8374									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	116911	2210	2352	2097	652	1088	1483	2297	1629	1685	2542	2336	1769	1747	2729	1596	416	2073	1960	1017	1629	2302	1980	2120	1426	1272	1879	1849	109	1971	600	2558	2404	2298	1206	2205	1051	1930	2572	1571	2501	1311	1390	1198	1590	2362	1747	1553	1156	2358	1832	888	1951	1571	2460	1635	1604	1721	1200	2309	1629	1424	1135	1925	2100	1612	1681	2177	115	115	51									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	121300	2000	2000	2000	500	1000	1400	2000	1500	1500	2500	2000	1500	1500	2500	1500	400	2000	1900	1000	1500	2000	1500	2000	1400	1000	1500	1500	100	1900	500	2500	2000	2000	1000	2000	1000	1900	2500	1500	2500	1000	1000	1000	1500	2000	1500	1500	1000	2000	1500	800	1900	1500	2000	1500	1500	1500	1000	2000	1500	1400	1000	1900	2000	1500	1500	2000	500	500	15300									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	39065	823	874	699	247	330	479	734	632	579	852	825	504	586	928	521	158	722	518	345	625	721	702	762	523	475	603	519	48	669	209	624	780	766	376	707	318	685	733	458	796	453	483	353	438	720	527	441	420	843	560	275	653	546	770	602	585	703	441	885	598	452	369	667	685	563	621	766	86	55	50									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	944	21	11	13	0	9	10	20	16	7	16	14	13	23	21	8	3	19	4	11	17	14	21	16	4	5	15	17	2	14	6	4	19	18	9	23	13	14	11	10	10	24	9	16	0	26	29	10	12	18	15	5	17	5	9	13	24	7	8	16	19	7	10	12	12	11	15	19	15	59	1									
6	Число погашенных избирательных бюллетеней	81291	1156	1115	1288	253	661	911	1246	852	914	1632	1161	983	891	1551	971	239	1259	1378	644	858	1265	777	1222	873	520	882	964	50	1217	285	1872	1201	1216	615	1270	669	1201	1756	1032	1694	523	508	631	1062	1254	944	1049	568	1139	925	520	1230	949	1221	885	891	790	551	1099	883	941	621	1221	1303	926	864	1215	399	386	15249									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	944	21	11	13	0	9	10	20	16	7	16	14	13	23	21	8	3	19	4	11	17	14	21	16	4	5	15	17	2	14	6	4	19	18	9	23	13	14	11	10	10	24	9	16	0	26	29	10	12	18	15	5	17	5	9	13	24	7	8	16	19	7	10	12	12	11	15	19	15	59	1									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	38937	823	872	694	247	330	470	731	632	579	844	822	504	584	910	520	157	722	518	345	621	721	701	759	521	474	603	519	48	669	208	624	775	750	375	705	316	683	729	456	796	453	480	351	438	720	527	441	418	843	558	275	652	546	763	602	585	703	441	883	598	451	368	666	681	560	621	765	86	55	50									
9	Число недействительных избирательных бюллетеней	773	17	21	10	5	10	15	23	8	16	10	15	5	8	49	16	2	14	15	15	8	13	8	13	9	6	7	4	1	13	1	25	18	21	5	5	8	8	16	6	20	6	5	6	4	13	2	7	9	16	18	3	13	10	22	6	8	15	7	12	13	4	6	17	24	4	14	17	1	2	0									
10	Число действительных избирательных бюллетеней	39108	827	862	697	242	329	465	728	640	570	850	821	512	599	882	512	158	727	507	341	630	722	714	762	516	473	611	532	49	670	213	603	776	747	379	723	321	689	724	460	786	471	484	361	434	733	554	444	421	845	555	277	656	541	750	609	601	695	442	887	604	454	372	661	669	567	622	767	100	112	51									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1060	20	20	20	10	10	10	20	20	10	20	20	20	10	20	10	10	20	20	10	10	20	10	20	20	20	20	20	5	20	10	20	20	20	10	20	10	10	20	20	20	10	10	10	10	20	10	10	20	20	20	10	10	20	20	20	20	10	10	20	10	20	10	10	20	20	20	20	0	0	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	632	19	12	6	1	10	6	7	15	4	8	12	10	1	20	7	1	9	17	2	5	13	6	12	11	9	13	8	0	10	2	16	14	8	5	7	4	10	14	14	12	7	6	7	5	18	10	8	12	16	13	6	10	13	15	6	17	9	6	13	9	12	5	8	8	12	12	9	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	828	18	8	13	5	8	19	17	49	37	31	16	11	21	7	16	3	3	9	1	22	11	24	11	4	3	6	2	4	0	11	5	6	7	1	9	2	10	3	3	6	0	56	34	31	54	20	17	11	20	9	5	4	2	4	13	3	2	3	8	5	3	6	6	11	3	7	33	7	9	0									
14	Число погашенных неиспользованных открепительных удостоверений	428	1	8	14	9	0	4	13	5	6	12	8	10	9	0	3	9	11	3	8	5	7	4	8	9	11	7	12	5	10	8	4	6	12	5	13	6	0	6	6	8	3	4	3	5	2	0	2	8	4	7	4	0	7	5	14	3	1	4	7	1	8	5	2	12	8	8	11	0	0	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	99	3	1	0	0	0	2	2	0	1	0	0	1	0	4	1	0	5	1	2	4	0	0	1	2	0	3	0	0	2	1	2	4	2	1	1	0	2	3	2	1	1	0	1	0	2	1	1	1	0	2	0	6	3	0	2	1	1	2	8	3	0	0	2	1	0	1	6	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
