Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																			
Дата голосования: 04.12.2011																																																			
																																																			
Наименование Избирательной комиссии:    Асиновская																																																			
																																																			
Сводная таблица результатов выборов																																																			
																																																			
		Сумма	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292					
1	"Число избирателей, внесенных в список избирателей"	29590	308	2160	1767	1413	335	742	977	1532	637	1013	1379	1405	1202	2159	1502	736	676	668	104	666	694	140	83	154	587	231	287	843	325	916	359	310	432	328	172	135	121	229	128	453	133	621	330	198					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	28920	300	2000	1700	1400	300	750	900	1500	600	1000	1400	1400	1200	2000	1500	700	650	650	100	650	700	140	80	150	600	230	290	850	330	930	360	300	440	330	160	130	110	220	120	460	130	630	330	200					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	12520	111	900	687	671	161	372	408	639	165	319	746	573	456	708	514	210	272	154	64	305	321	78	52	68	266	105	163	317	172	433	170	114	237	166	85	77	52	114	73	276	75	353	193	125					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1526	24	181	57	57	17	22	34	27	65	71	43	40	49	89	76	54	23	47	6	32	19	7	4	14	19	2	16	80	16	32	17	29	24	19	12	6	19	14	7	43	14	63	26	10					
6	Число погашенных избирательных бюллетеней	14874	165	919	956	672	122	356	458	834	370	610	611	787	695	1203	910	436	355	449	30	313	360	55	24	68	315	123	111	453	142	465	173	157	179	145	63	47	39	92	40	141	41	214	111	65					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1526	24	181	57	57	17	22	34	27	65	71	43	40	49	89	76	54	23	47	6	32	19	7	4	14	19	2	16	80	16	32	17	29	24	19	12	6	19	14	7	43	14	63	26	10					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	12520	111	900	687	671	161	372	408	639	165	319	746	573	456	708	514	210	272	154	64	305	321	78	52	68	266	105	163	317	172	433	170	114	237	166	85	77	52	114	73	276	75	353	193	125					
9	Число недействительных избирательных бюллетеней	195	4	15	4	9	3	7	4	4	2	9	15	10	7	14	3	0	6	2	0	8	7	1	1	0	7	4	4	6	2	6	1	3	6	4	1	1	0	1	1	2	1	4	6	0					
10	Число действительных избирательных бюллетеней	13851	131	1066	740	719	175	387	438	662	228	381	774	603	498	783	587	264	289	199	70	329	333	84	55	82	278	103	175	391	186	459	186	140	255	181	96	82	71	127	79	317	88	412	213	135					
