Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																														
Дата голосования: 04.12.2011																																																														
																																																														
Наименование Избирательной комиссии:    район Южное Бутово																																																														
																																																														
Сводная таблица результатов выборов																																																														
																																																														
		Сумма	УИК №2315	УИК №2316	УИК №2317	УИК №2318	УИК №2319	УИК №2320	УИК №2321	УИК №2322	УИК №2323	УИК №2324	УИК №2325	УИК №2326	УИК №2327	УИК №2328	УИК №2329	УИК №2330	УИК №2331	УИК №2332	УИК №2333	УИК №2334	УИК №2335	УИК №2336	УИК №2337	УИК №2338	УИК №2339	УИК №2340	УИК №2341	УИК №2342	УИК №2343	УИК №2344	УИК №2345	УИК №2346	УИК №2347	УИК №2348	УИК №2349	УИК №2350	УИК №2351	УИК №2352	УИК №2353	УИК №2354	УИК №2355	УИК №2356	УИК №2357	УИК №2358	УИК №2359	УИК №2360	УИК №2361	УИК №2362	УИК №2363	УИК №2364	УИК №2365	УИК №2366	УИК №2367	УИК №2368	УИК №2369					
1	"Число избирателей, внесенных в список избирателей"	125529	2393	2224	2171	2083	2161	1392	1390	1905	2250	2530	2328	2377	2257	1993	1748	2393	2540	2267	2488	2691	2682	2704	2412	2268	2283	2264	2168	2737	2033	1786	2653	2435	2286	2063	1972	1977	2294	2042	2607	2066	2317	2133	1605	2733	2723	2773	2156	2202	2183	2550	2188	2809	2702	2680	2462					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	108100	2000	2000	2000	2000	2000	1000	1000	1900	2000	2000	2000	2000	2000	1400	1200	2000	1800	2000	1800	2000	2100	2100	1800	2000	2000	2000	2000	2500	2000	1500	2100	2000	2000	2000	1900	1900	2000	2000	2100	2000	2000	2000	1500	2500	2500	2500	2000	2000	2000	2000	2000	2500	2500	2000	2000					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	64281	997	1106	1076	1125	1126	463	473	717	1129	1108	1251	1059	933	973	991	1257	1665	1084	1413	1123	1728	1456	1352	1422	1144	1102	1319	1700	1265	1140	1391	1266	1187	915	841	905	1541	734	1100	1214	1490	1140	987	1637	1584	1587	858	963	878	1334	1029	1279	1243	1315	1166					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1321	9	11	8	4	17	3	1	17	18	78	79	72	22	15	6	35	17	29	14	24	13	8	11	29	12	7	15	8	21	25	93	23	24	13	17	9	65	45	38	15	20	14	9	21	17	9	8	22	5	28	30	48	60	30	30					
6	Число погашенных избирательных бюллетеней	42498	994	883	916	871	857	534	526	1166	853	814	670	869	1045	412	203	708	118	887	373	853	359	636	437	549	844	891	666	792	714	335	616	711	789	1072	1042	986	394	1221	962	771	490	846	504	842	899	904	1134	1015	1117	638	941	1173	1197	655	804					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1320	9	11	8	4	17	3	1	17	18	77	79	72	22	15	6	35	17	29	14	24	13	8	11	29	12	7	15	8	21	25	93	23	24	13	17	9	65	45	38	15	20	14	9	21	17	9	8	22	5	28	30	48	60	30	30					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	64129	994	1105	1072	1125	1126	463	471	717	1124	1107	1250	1054	929	973	989	1257	1665	1082	1413	1121	1695	1451	1352	1421	1130	1102	1309	1700	1262	1140	1391	1266	1186	911	841	905	1541	734	1100	1212	1486	1140	987	1637	1581	1580	846	959	873	1334	1029	1271	1239	1315	1166					
9	Число недействительных избирательных бюллетеней	934	24	21	24	12	25	9	8	17	26	22	19	22	11	12	14	8	13	8	19	21	18	22	23	2	21	26	20	30	17	7	13	19	16	12	16	24	6	13	5	19	16	16	0	20	17	10	10	18	25	53	13	14	20	17	21					
10	Число действительных избирательных бюллетеней	64515	979	1095	1056	1117	1118	457	464	717	1116	1162	1310	1104	940	976	981	1284	1669	1103	1408	1124	1690	1437	1340	1448	1121	1083	1304	1678	1266	1158	1471	1270	1194	912	842	890	1600	766	1133	1208	1490	1138	996	1638	1581	1579	844	963	853	1309	1046	1305	1279	1328	1175					
