Выборы Президента Российской Федерации																																																													
																																																													
Наименование Избирательной комиссии:    Узловская																																																													
																																																													
Итоги голосования 																																																													
																																																													
		Сумма	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365					
1	"Число избирателей, внесенных в список"	73440	2752	2166	2743	2763	2222	2839	2151	2596	2263	2197	2445	2616	2607	2195	2019	2028	2235	2281	1454	1932	1629	431	1170	1661	1996	1195	2456	2076	1697	1979	2420	640	245	233	146	214	577	224	531	466	272	298	267	331	342	583	985	606	426	539	109	30	78	84					
2	Число полученных избирательных бюллетеней	74120	2780	2150	2750	2780	2250	2850	2150	2600	2280	2200	2450	2650	2600	2200	2050	2050	2250	2300	1470	1940	1600	440	1200	1700	2050	1200	2500	2100	1730	2000	2450	660	250	240	150	220	570	220	530	470	280	300	270	330	350	590	1020	630	420	540	130	50	80	100					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	32620	1307	808	1224	1221	1122	1339	942	1285	959	839	931	1231	1147	984	857	1036	1058	749	583	680	849	149	440	804	936	452	944	860	677	903	1159	314	115	133	105	105	180	129	257	291	175	174	127	146	162	379	588	215	125	124	109	30	78	84					
5	"Число избирательных бюллетеней, выданных вне помещения"	2944	48	71	131	38	38	42	36	32	39	46	40	25	34	42	39	35	24	46	75	49	27	6	51	58	106	70	37	33	29	46	77	110	77	34	12	44	170	45	56	47	40	27	42	58	53	84	136	177	108	154	0	0	0	0					
6	Число погашенных избирательных бюллетеней	38556	1425	1271	1395	1521	1090	1469	1172	1283	1282	1315	1479	1394	1419	1174	1154	979	1168	1505	812	1211	724	285	709	838	1008	678	1519	1207	1024	1051	1214	236	58	73	33	71	220	46	217	132	65	99	101	126	135	127	296	238	187	262	21	20	2	16					
7	Число избирательных бюллетеней в переносных ящиках	2944	48	71	131	38	38	42	36	32	39	46	40	25	34	42	39	35	24	46	75	49	27	6	51	58	106	70	37	33	29	46	77	110	77	34	12	44	170	45	56	47	40	27	42	58	53	84	136	177	108	154	0	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	32610	1306	808	1224	1220	1122	1339	942	1284	959	838	931	1231	1147	984	857	1036	1058	749	581	680	849	149	440	804	936	452	944	860	677	899	1159	314	115	133	105	105	180	129	257	291	175	174	127	146	162	379	588	215	125	124	109	30	78	84					
9	Число недействительных избирательных бюллетеней	258	9	4	6	8	8	8	7	10	7	6	3	10	7	8	5	12	6	1	5	7	10	1	6	6	8	9	18	5	6	7	15	7	1	1	0	1	2	1	0	0	0	2	2	0	2	3	3	1	0	3	1	0	0	0					
10	Число действительных избирательных бюллетеней	35296	1345	875	1349	1250	1152	1373	971	1306	991	878	968	1246	1174	1018	891	1059	1076	794	651	722	866	154	485	856	1034	513	963	888	700	938	1221	417	191	166	117	148	348	173	313	338	215	199	167	204	213	460	721	391	233	275	108	30	78	84					
