Выборы Президента Российской Федерации																																											
																																											
Наименование Избирательной комиссии:    Баргузинская																																											
																																											
Итоги голосования 																																											
																																											
		Сумма	УИК  1	УИК  2	УИК  3	УИК  4	УИК  5	УИК  6	УИК  7	УИК  8	УИК  9	УИК  10	УИК  11	УИК  12	УИК  13	УИК  14	УИК  15	УИК  16	УИК  17	УИК  18	УИК  19	УИК  20	УИК  21	УИК  22	УИК  23	УИК  24	УИК  25	УИК  26	УИК  27	УИК  28	УИК  29	УИК  30	УИК  31	УИК  32	УИК  33	УИК  34	УИК  35	УИК  36					
1	"Число избирателей, внесенных в список"	17705	1220	1273	730	712	208	992	1134	1122	1076	1021	193	107	262	205	171	137	438	143	625	161	151	665	265	333	219	680	267	951	794	277	130	471	176	198	94	104					
2	Число полученных избирательных бюллетеней	17968	1150	1170	690	690	220	1040	1160	1160	1100	1000	185	155	255	210	185	145	445	155	620	165	155	670	270	340	205	730	280	1000	850	280	140	526	190	200	120	112					
3	"Число избирательных бюллетеней, выданных  досрочно"	25	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	12016	670	781	443	385	129	715	805	806	721	679	155	76	201	134	140	120	281	105	459	94	111	391	205	226	128	512	186	649	520	229	92	423	146	135	81	83					
5	"Число избирательных бюллетеней, выданных вне помещения"	1301	110	92	40	27	21	70	46	51	76	53	18	0	25	29	15	11	26	14	32	31	13	81	25	38	26	22	23	61	89	33	17	31	18	17	7	13					
6	Число погашенных избирательных бюллетеней	4626	370	297	207	278	70	255	309	303	303	268	12	54	29	47	30	14	138	36	129	40	31	198	40	76	51	196	71	290	241	18	31	72	26	48	32	16					
7	Число избирательных бюллетеней в переносных ящиках	1326	110	92	40	27	21	70	46	51	76	53	18	25	25	29	15	11	26	14	32	31	13	81	25	38	26	22	23	61	89	33	17	31	18	17	7	13					
8	Число бюллетеней в стационарных ящиках для голосования	12016	670	781	443	385	129	715	805	806	721	679	155	76	201	134	140	120	281	105	459	94	111	391	205	226	128	512	186	649	520	229	92	423	146	135	81	83					
9	Число недействительных избирательных бюллетеней	181	5	4	7	4	0	6	13	7	14	19	0	0	0	1	8	0	1	1	2	0	1	11	4	12	2	13	4	13	6	0	1	16	4	1	0	1					
10	Число действительных избирательных бюллетеней	13161	775	869	476	408	150	779	838	850	783	713	173	101	226	162	147	131	306	118	489	125	123	461	226	252	152	521	205	697	603	262	108	438	160	151	88	95					
