Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																						
Дата голосования: 18.09.2016																																						
																																						
Наименование Избирательной комиссии:    Харабалинская																																						
																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																						
																																						
		Сумма	УИК №1501	УИК №1502	УИК №1503	УИК №1504	УИК №1505	УИК №1506	УИК №1507	УИК №1508	УИК №1509	УИК №1510	УИК №1511	УИК №1512	УИК №1513	УИК №1514	УИК №1515	УИК №1516	УИК №1517	УИК №1518	УИК №1519	УИК №1520	УИК №1521	УИК №1522	УИК №1523	УИК №1524	УИК №1525	УИК №1526	УИК №1527									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	29763	736	204	1750	1875	1412	1118	1686	968	1183	1177	1004	1237	1409	911	1662	1477	1761	186	915	1468	1403	270	206	1594	502	1044	605									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	29296	700	200	1750	1800	1400	1100	1700	950	1100	1100	1000	1200	1400	900	1650	1450	1750	200	896	1450	1400	250	200	1600	500	1050	600									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8834	181	151	408	419	384	258	383	280	396	259	223	311	451	316	428	334	566	121	549	525	385	146	103	551	204	257	245									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1126	32	20	47	39	28	65	60	51	28	38	36	35	61	26	31	58	37	13	107	31	68	32	2	39	12	89	41									
6	Число погашенных избирательных бюллетеней	19336	487	29	1295	1342	988	777	1257	619	676	803	741	854	888	558	1191	1058	1147	66	240	894	947	72	95	1010	284	704	314									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1126	32	20	47	39	28	65	60	51	28	38	36	35	61	26	31	58	37	13	107	31	68	32	2	39	12	89	41									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	8834	181	151	408	419	384	258	383	280	396	259	223	311	451	316	428	334	566	121	549	525	385	146	103	551	204	257	245									
9	Число недействительных избирательных бюллетеней	326	9	0	14	13	16	11	13	11	16	12	2	9	17	16	12	17	35	0	20	32	8	0	6	25	9	3	0									
10	Число действительных избирательных бюллетеней	9634	204	171	441	445	396	312	430	320	408	285	257	337	495	326	447	375	568	134	636	524	445	178	99	565	207	343	286									
