Выборы Президента Российской Федерации																																																																
																																																																
Наименование Избирательной комиссии:    Ухтинская городская																																																																
																																																																
Итоги голосования 																																																																
																																																																
		Сумма	УИК  308	УИК  309	УИК  310	УИК  311	УИК  312	УИК  313	УИК  314	УИК  315	УИК  316	УИК  317	УИК  318	УИК  319	УИК  320	УИК  321	УИК  322	УИК  323	УИК  324	УИК  325	УИК  326	УИК  327	УИК  328	УИК  329	УИК  330	Участок  №331	УИК  332	УИК  333	УИК  334	УИК  335	УИК  336	УИК  337	УИК  338	УИК  339	УИК  340	УИК  341	УИК  342	УИК  343	УИК  344	УИК  345	УИК  346	УИК  347	УИК  348	УИК  349	УИК  350	УИК  351	УИК  352	УИК  353	УИК  354	УИК  355	УИК  356	УИК  357	УИК  358	УИК  359	УИК  360	УИК  361	УИК  362	УИК  363	УИК  364					
1	"Число избирателей, внесенных в список"	96892	2872	696	1698	2459	2119	2046	2203	1910	2008	2143	2883	1375	1207	1532	767	380	1602	2170	2105	1556	263	2183	2100	3183	862	2013	2176	1703	1711	1586	2127	1866	1151	581	2666	880	1690	2043	2393	1818	1194	2946	1836	2338	2961	788	293	1585	1725	1419	114	2091	1066	2107	118	1730	1855					
2	Число полученных избирательных бюллетеней	95280	2800	690	1650	2400	2100	2050	2200	1900	1950	2100	2850	1300	1200	1500	780	380	1600	2200	2050	1550	250	2150	2050	3100	860	2000	2150	1700	1700	1550	2100	1850	1100	570	2650	870	1650	2050	2300	1750	1150	2850	1800	2300	2800	740	280	1550	1700	1450	120	2100	1050	2050	140	1700	1850					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	55145	1706	248	810	1293	1305	1241	1278	1169	1143	1209	1666	755	677	925	512	273	821	1051	1101	823	121	1319	1187	1673	497	1198	1338	950	1018	904	1264	1103	729	245	1598	564	912	1212	1431	963	715	1701	1029	1356	1544	409	236	804	935	849	73	984	553	1363	57	1086	1219					
5	"Число избирательных бюллетеней, выданных вне помещения"	1460	51	41	3	14	14	20	32	26	39	20	49	27	21	29	28	0	31	28	21	18	6	19	12	67	2	24	17	20	18	3	12	16	8	5	29	2	30	8	17	8	8	21	9	17	230	15	0	65	40	32	12	60	23	16	6	32	39					
6	Число погашенных избирательных бюллетеней	38675	1043	401	837	1093	781	789	890	705	768	871	1135	518	502	546	240	107	748	1121	928	709	123	812	851	1360	361	778	795	730	664	643	824	731	363	320	1023	304	708	830	852	779	427	1128	762	927	1026	316	44	681	725	569	35	1056	474	671	77	582	592					
7	Число избирательных бюллетеней в переносных ящиках	1460	51	41	3	14	14	20	32	26	39	20	49	27	21	29	28	0	31	28	21	18	6	19	12	67	2	24	17	20	18	3	12	16	8	5	29	2	30	8	17	8	8	21	9	17	230	15	0	65	40	32	12	60	23	16	6	32	39					
8	Число бюллетеней в стационарных ящиках для голосования	55115	1706	248	809	1293	1304	1241	1278	1168	1143	1208	1666	755	677	925	512	273	821	1051	1101	823	121	1319	1187	1673	497	1198	1338	950	1018	893	1260	1103	729	245	1598	564	912	1212	1431	962	715	1698	1029	1356	1543	408	236	804	934	849	73	982	553	1361	57	1086	1219					
9	Число недействительных избирательных бюллетеней	351	7	3	6	2	13	5	8	7	9	3	10	2	5	10	1	2	7	8	6	6	2	3	20	10	2	7	4	4	5	4	1	4	5	0	5	3	8	5	10	9	4	3	10	7	10	3	3	11	8	7	1	13	10	6	2	13	9					
10	Число действительных избирательных бюллетеней	56224	1750	286	806	1305	1305	1256	1302	1187	1173	1225	1705	780	693	944	539	271	845	1071	1116	835	125	1335	1179	1730	497	1215	1351	966	1031	892	1271	1115	732	250	1622	563	934	1215	1438	961	719	1716	1028	1366	1763	420	233	858	966	874	84	1029	566	1371	61	1105	1249					
