Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																										
Дата голосования: 07.12.2003 0:00:00																																										
																																										
Наименование Избирательной комиссии:    Мишкинская																																										
																																										
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																										
																																										
		Сумма	УИК  647	УИК  648	УИК  649	УИК  650	УИК  651	УИК  652	УИК  653	УИК  654	УИК  655	УИК  656	УИК  657	УИК  658	УИК  659	УИК  660	УИК  661	УИК  662	УИК  663	УИК  664	УИК  665	УИК  666	УИК  667	УИК  668	УИК  669	УИК  670	УИК  671	УИК  672	УИК  673	УИК  674	УИК  675	УИК  676	УИК  677	УИК  678	УИК  679	УИК  680	УИК  681					
1	"Число избирателей, внесенных в списки"	17014	1795	1635	618	524	1289	1402	199	395	581	84	127	59	794	82	243	135	568	322	1560	523	840	152	361	89	371	276	254	264	151	130	377	160	289	256	109					
2	"Число бюллетеней, полученных участковыми комиссиями"	17019	1746	1660	613	529	1270	1389	195	389	566	83	115	55	805	87	251	137	589	330	1545	533	848	154	348	95	362	284	246	271	161	145	386	167	292	262	111					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	8792	672	642	265	147	551	622	118	271	409	64	96	42	434	66	161	77	220	193	849	282	500	114	222	77	219	197	206	185	114	64	251	82	194	156	30					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1012	39	47	22	73	31	15	16	12	0	8	0	0	69	4	10	0	124	21	76	77	54	0	42	0	14	26	19	31	16	27	13	45	16	6	59					
6	Число погашенных бюллетеней	7215	1035	971	326	309	688	752	61	106	157	11	19	13	302	17	80	60	245	116	620	174	294	40	84	18	129	61	21	55	31	54	122	40	82	100	22					
7	Число бюллетеней в переносных ящиках для голосования	1012	39	47	22	73	31	15	16	12	0	8	0	0	69	4	10	0	124	21	76	77	54	0	42	0	14	26	19	31	16	27	13	45	16	6	59					
8	Число бюллетеней в стационарных ящиках для голосования	8789	672	642	265	147	551	620	118	271	409	64	96	42	434	66	161	77	220	193	849	282	500	114	222	77	219	197	206	185	114	63	251	82	194	156	30					
9	Число недействительных бюллетеней	90	8	6	2	0	3	3	1	0	8	0	0	0	10	0	1	0	3	1	11	4	5	5	0	0	8	0	0	0	2	0	5	0	1	3	0					
10	Число действительных бюллетеней	9711	703	683	285	220	579	632	133	283	401	72	96	42	493	70	170	77	341	213	914	355	549	109	264	77	225	223	225	216	128	90	259	127	209	159	89					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	324	30	30	10	10	25	25	4	7	11	2	2	2	15	2	5	3	11	6	25	11	16	3	7	2	7	5	5	5	3	12	7	3	6	5	2					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	51	6	1	4	0	1	0	0	0	2	0	0	0	5	0	1	0	2	0	2	3	0	0	0	0	3	4	0	0	3	10	3	1	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	46	12	4	1	0	3	4	1	1	0	1	2	0	1	1	1	0	1	2	2	1	3	0	0	0	1	0	1	2	0	0	1	0	0	0	0					
14	Число погашенных открепительных удостоверений	273	24	29	6	10	24	25	4	7	9	2	2	2	10	2	4	3	9	6	23	8	16	3	7	2	4	1	5	5	0	2	4	2	6	5	2					
15	Число открепительных удостоверений выданных ТИК	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																										
18	"1. ""ЕДИНЕНИЕ"""	104	10	6	2	5	6	9	1	2	3	0	2	1	4	1	0	0	3	2	8	4	8	1	3	3	3	1	3	0	2	3	3	1	4	0	0					
		1.06%	1.40%	0.87%	0.69%	2.27%	1.03%	1.41%	0.74%	0.70%	0.73%	0.0%	2.08%	2.38%	0.79%	1.42%	0.0%	0.0%	0.87%	0.93%	0.86%	1.11%	1.44%	0.87%	1.13%	3.89%	1.28%	0.44%	1.33%	0.0%	1.53%	3.33%	1.13%	0.78%	1.90%	0.0%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	45	7	8	1	0	4	0	0	1	0	0	0	0	1	0	1	0	1	2	7	0	2	2	3	2	0	0	2	0	0	0	0	0	1	0	0					
		0.45%	0.98%	1.16%	0.34%	0.0%	0.68%	0.0%	0.0%	0.35%	0.0%	0.0%	0.0%	0.0%	0.19%	0.0%	0.58%	0.0%	0.29%	0.93%	0.75%	0.0%	0.36%	1.75%	1.13%	2.59%	0.0%	0.0%	0.88%	0.0%	0.0%	0.0%	0.0%	0.0%	0.47%	0.0%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	263	13	22	10	9	12	13	5	2	9	3	0	1	9	0	6	4	16	2	38	11	14	2	9	2	11	4	7	7	4	2	5	2	1	7	1					
		2.68%	1.82%	3.19%	3.48%	4.09%	2.06%	2.04%	3.73%	0.70%	2.20%	4.16%	0.0%	2.38%	1.78%	0.0%	3.50%	5.19%	4.65%	0.93%	4.10%	3.06%	2.52%	1.75%	3.40%	2.59%	4.72%	1.79%	3.11%	3.24%	3.07%	2.22%	1.89%	1.57%	0.47%	4.32%	1.12%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	116	14	5	7	8	10	10	0	2	4	0	4	0	6	0	4	2	5	0	6	1	0	0	2	0	3	2	0	4	0	0	7	2	5	2	1					
		1.18%	1.96%	0.72%	2.43%	3.63%	1.71%	1.57%	0.0%	0.70%	0.97%	0.0%	4.16%	0.0%	1.19%	0.0%	2.33%	2.59%	1.45%	0.0%	0.64%	0.27%	0.0%	0.0%	0.75%	0.0%	1.28%	0.89%	0.0%	1.85%	0.0%	0.0%	2.65%	1.57%	2.38%	1.23%	1.12%					
22	"5. ""За Русь Святую"""	20	3	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	8	1	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0					
