Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																													
Дата голосования: 02.12.2007																																													
																																													
Наименование Избирательной комиссии:    Шатковская																																													
																																													
Сводная таблица результатов выборов																																													
																																													
		Сумма	УИК №2410	УИК №2411	УИК №2412	УИК №2413	УИК №2414	УИК №2415	УИК №2416	УИК №2417	УИК №2418	УИК №2419	УИК №2420	УИК №2421	УИК №2422	УИК №2423	УИК №2424	УИК №2425	УИК №2426	УИК №2427	УИК №2428	УИК №2429	УИК №2430	УИК №2431	УИК №2432	УИК №2433	УИК №2434	УИК №2435	УИК №2436	УИК №2437	УИК №2438	УИК №2439	УИК №2440	УИК №2441	УИК №2442	УИК №2443	УИК №2444	УИК №2445	УИК №2446	УИК №2447					
1	"Число избирателей, внесенных в списки избирателей"	21388	1256	1198	1695	2265	1676	877	1768	170	243	832	114	200	544	98	108	228	107	322	86	430	108	987	456	528	640	538	303	615	340	343	195	308	160	349	583	202	248	268					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	21450	1253	1212	1607	2274	1650	877	1737	154	253	836	114	200	562	98	110	225	97	319	86	434	104	993	439	550	640	542	304	631	379	362	201	338	157	372	599	222	254	265					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	11611	649	587	858	1292	825	532	805	100	141	469	71	132	301	56	52	100	53	210	48	200	57	634	189	395	390	275	138	297	213	175	116	178	111	196	346	139	142	139					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1693	36	34	114	30	43	38	126	19	30	49	12	19	60	10	16	53	25	29	18	51	30	59	82	40	125	60	35	91	25	42	25	32	14	50	76	15	24	56					
6	Число погашенных избирательных бюллетеней	8146	568	591	635	952	782	307	806	35	82	318	31	49	201	32	42	72	19	80	20	183	17	300	168	115	125	207	131	243	141	145	60	128	32	126	177	68	88	70					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1693	36	34	114	30	43	38	126	19	30	49	12	19	60	10	16	53	25	29	18	51	30	59	82	40	125	60	35	91	25	42	25	32	14	50	76	15	24	56					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	11609	649	587	856	1292	825	532	805	100	141	469	71	132	301	56	52	100	53	210	48	200	57	634	189	395	390	275	138	297	213	175	116	178	111	196	346	139	142	139					
9	Число недействительных избирательных бюллетеней	161	4	6	11	8	10	6	7	2	0	4	3	0	7	0	1	2	0	2	0	5	1	7	1	4	41	3	2	1	5	2	1	2	2	5	5	1	0	0					
10	Число действительных избирательных бюллетеней	13141	681	615	959	1314	858	564	924	117	171	514	80	151	354	66	67	151	78	237	66	246	86	686	270	431	474	332	171	387	233	215	140	208	123	241	417	153	166	195					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	497	30	27	39	48	37	20	39	4	6	19	3	6	15	3	3	5	3	7	2	10	3	23	10	13	15	12	7	14	10	8	5	8	4	8	14	5	6	6					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	362	28	13	37	37	15	18	24	2	6	13	1	6	15	0	3	3	3	7	0	10	0	23	6	9	4	5	5	8	10	3	4	7	0	8	14	5	6	4					
