Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																				
Дата голосования: 04.12.2011																																				
																																				
Наименование Избирательной комиссии:    Намская																																				
																																				
Сводная таблица результатов выборов																																				
																																				
		Сумма	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367					
1	"Число избирателей, внесенных в список избирателей"	14648	733	501	471	594	259	159	208	106	491	535	618	1162	863	988	1038	994	786	457	499	501	161	382	584	664	104	248	87	291	164					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	12510	700	450	400	500	210	170	230	100	500	400	500	900	700	700	850	850	600	450	450	400	150	350	500	550	100	250	70	300	180					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	8843	456	308	300	459	188	117	146	85	275	317	361	749	415	501	570	468	347	305	351	321	134	259	375	436	68	177	52	198	105					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	694	47	42	19	22	15	0	6	0	61	22	37	32	38	26	37	25	82	30	18	21	5	13	33	28	8	12	0	10	5					
6	Число погашенных избирательных бюллетеней	2973	197	100	81	19	7	53	78	15	164	61	102	119	247	173	243	357	171	115	81	58	11	78	92	86	24	61	18	92	70					
7	Число избирательных бюллетеней в переносных ящиках для голосования	694	47	42	19	22	15	0	6	0	61	22	37	32	38	26	37	25	82	30	18	21	5	13	33	28	8	12	0	10	5					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	8843	456	308	300	459	188	117	146	85	275	317	361	749	415	501	570	468	347	305	351	321	134	259	375	436	68	177	52	198	105					
9	Число недействительных избирательных бюллетеней	41	3	0	1	1	1	0	0	1	3	3	3	3	2	2	2	2	1	4	2	1	0	1	3	0	0	1	1	0	0					
10	Число действительных избирательных бюллетеней	9496	500	350	318	480	202	117	152	84	333	336	395	778	451	525	605	491	428	331	367	341	139	271	405	464	76	188	51	208	110					
