Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва															
Дата голосования: 18.09.2016															
															
Наименование Избирательной комиссии:    Пелымская поселковая															
															
Сводная таблица итогов голосования по федеральному избирательному округу															
															
		Сумма	УИК №2588	УИК №2589	УИК №2600	УИК №2601									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	3129	1075	627	1015	412									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	3150	1050	600	1050	450									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	1507	541	254	508	204									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	70	22	33	8	7									
6	Число погашенных избирательных бюллетеней	1573	487	313	534	239									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	70	22	33	8	7									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	1507	541	254	508	204									
9	Число недействительных избирательных бюллетеней	53	18	13	13	9									
10	Число действительных избирательных бюллетеней	1524	545	274	503	202									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	224	74	50	70	30									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	33	11	8	13	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	16	2	0	0	14									
14	Число погашенных неиспользованных открепительных удостоверений	191	63	42	57	29									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	26	8	3	14	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0									
															
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	14	6	3	5	0									
		0.89%	1.07%	1.05%	0.97%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	38	9	14	13	2									
		2.41%	1.60%	4.88%	2.52%	0.95%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	31	14	7	10	0									
		1.97%	2.49%	2.44%	1.94%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	814	304	136	263	111									
		51.62%	53.99%	47.39%	50.97%	52.61%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	5	2	3	0	0									
		0.32%	0.36%	1.05%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	5	4	1	0	0									
		0.32%	0.71%	0.35%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	374	133	66	114	61									
		23.72%	23.62%	22.99%	22.09%	28.91%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	2	2	0	0	0									
		0.13%	0.36%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	7	1	1	5	0									
		0.44%	0.18%	0.35%	0.97%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	7	2	0	4	1									
		0.44%	0.36%	0.00%	0.78%	0.47%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	8	1	1	4	2									
		0.51%	0.18%	0.35%	0.78%	0.95%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	123	27	32	48	16									
		7.80%	4.80%	11.15%	9.30%	7.58%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	10	5	1	4	0									
		0.63%	0.89%	0.35%	0.78%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	86	35	9	33	9									
		5.45%	6.22%	3.14%	6.40%	4.27%									
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
