Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																					
Дата голосования: 07.12.2003 0:00:00																					
																					
Наименование Избирательной комиссии:    Каменская 																					
																					
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																					
																					
		Сумма	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832					
1	"Число избирателей, внесенных в списки"	8112	1410	1315	236	364	400	540	658	885	182	719	458	405	391	149					
2	"Число бюллетеней, полученных участковыми комиссиями"	8126	1410	1335	235	365	400	550	660	890	180	710	460	400	380	151					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	3786	736	609	118	184	243	178	269	399	73	351	216	133	209	68					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1144	64	132	19	51	41	119	124	97	54	133	116	108	61	25					
6	Число погашенных бюллетеней	3196	610	594	98	130	116	253	267	394	53	226	128	159	110	58					
7	Число бюллетеней в переносных ящиках для голосования	1144	64	132	19	51	41	119	124	97	54	133	116	108	61	25					
8	Число бюллетеней в стационарных ящиках для голосования	3785	736	609	118	184	243	178	268	399	73	351	216	133	209	68					
9	Число недействительных бюллетеней	87	13	5	4	4	7	3	14	7	2	16	2	7	3	0					
10	Число действительных бюллетеней	4842	787	736	133	231	277	294	378	489	125	468	330	234	267	93					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	99	25	24	3	4	4	4	5	7	3	5	4	4	4	3					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	33	10	7	0	0	3	2	1	1	0	2	4	1	1	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	23	3	1	3	1	2	0	2	2	0	3	1	3	1	1					
14	Число погашенных открепительных удостоверений	66	15	17	3	4	1	2	4	6	3	3	0	3	3	2					
15	Число открепительных удостоверений выданных ТИК	26	25	1	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																					
18	"1. ""ЕДИНЕНИЕ"""	79	15	10	4	5	6	2	8	5	1	6	5	3	9	0					
		1.60%	1.87%	1.34%	2.91%	2.12%	2.11%	0.67%	2.04%	1.00%	0.78%	1.23%	1.50%	1.24%	3.33%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	68	11	11	4	0	3	4	2	11	1	4	10	2	5	0					
		1.37%	1.37%	1.48%	2.91%	0.0%	1.05%	1.34%	0.51%	2.21%	0.78%	0.82%	3.01%	0.82%	1.85%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	149	18	25	8	3	4	23	14	7	7	9	8	9	8	6					
		3.02%	2.25%	3.37%	5.83%	1.27%	1.40%	7.74%	3.57%	1.41%	5.51%	1.85%	2.40%	3.73%	2.96%	6.45%					
